time,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x
10,-0.954071,-0.239854,1.152,-0.104526,-0.112575,1.024,-0.026259,-0.118165,1.024,0.008194,-0.00715,1.152,0.023081,0.079407,1.28,-0.205642,-0.123502,1.152,-0.243378,-0.004005,1.152,-0.224997,0.065431,1.28,-0.098724,0.099769,1.152,-0.048409,0.096624,1.152,-0.043306,0.275075,1.28,-0.057282,0.446284,1.28,-0.145894,0.099769,1.152,-0.155254,0.271835,1.408,-0.135825,0.439105,1.536,-0.571333,-0.148913,1.024,0,0,0,-0.083001,-0.227276,1.152,-0.161617,-0.220986,1.152,-0.074753,0.376403,1.28,-0.135825,0.434912,1.536,-0.135825,0.455876,1.536,-0.016889,0.475539,1.408,-0.016889,0.490913,1.408,-0.074753,0.467249,1.28
11,-0.903756,-0.239854,1.152,-0.104526,-0.118165,1.024,-0.03185,-0.120961,1.024,0.00505,-0.013439,1.152,0.019587,0.072419,1.28,-0.205642,-0.126647,1.152,-0.243378,-0.010294,1.152,-0.224997,0.058443,1.28,-0.098724,0.090335,1.152,-0.051554,0.090335,1.152,-0.043306,0.264593,1.28,-0.057282,0.435802,1.28,-0.145894,0.093479,1.152,-0.155254,0.260304,1.408,-0.131632,0.430719,1.536,nan,nan,nan,0,0,0,-0.083001,-0.23042,1.152,-0.161617,-0.224131,1.152,-0.071259,0.369415,1.28,-0.131632,0.426526,1.536,-0.135825,0.443298,1.536,-0.016889,0.467852,1.408,-0.016889,0.483226,1.408,-0.074753,0.456766,1.28
12,-0.76141,-0.215999,1.024,-0.120737,-0.136081,1.152,-0.038975,-0.14237,1.152,0.001905,-0.019728,1.152,0.019587,0.065431,1.28,-0.205642,-0.132936,1.152,-0.243378,-0.019728,1.152,-0.224997,0.047961,1.28,-0.098724,0.084045,1.152,-0.054699,0.084045,1.152,-0.039812,0.254111,1.28,-0.057282,0.42532,1.28,-0.162104,0.093384,1.28,-0.155254,0.252617,1.408,-0.131632,0.422333,1.536,-0.384475,-0.117974,0.768,0,0,0,-0.086145,-0.233565,1.152,-0.161617,-0.227276,1.152,-0.071259,0.362427,1.28,-0.135825,0.41814,1.536,-0.135825,0.439105,1.536,-0.016889,0.460165,1.408,-0.016889,0.471695,1.408,-0.074753,0.44279,1.28
13,-0.722277,-0.215999,1.024,-0.123881,-0.14237,1.152,-0.04212,-0.145515,1.152,-0.00124,-0.026018,1.152,0.019587,0.058443,1.28,-0.205642,-0.136081,1.152,-0.240234,-0.026018,1.152,-0.221503,0.037479,1.28,-0.098724,0.077756,1.152,-0.060776,0.082902,1.28,-0.036318,0.240134,1.28,-0.057282,0.411344,1.28,-0.165598,0.086396,1.28,-0.155254,0.244931,1.408,-0.131632,0.413948,1.536,-0.421649,-0.142528,0.896,0,0,0,-0.08929,-0.23671,1.152,-0.161617,-0.23042,1.152,-0.074753,0.358933,1.28,-0.135825,0.413948,1.536,-0.135825,0.430719,1.536,-0.016889,0.448634,1.408,-0.016889,0.460165,1.408,-0.074753,0.428814,1.28
14,-0.59775,-0.191445,0.896,-0.123881,-0.145515,1.152,-0.045265,-0.148659,1.152,-0.004384,-0.029162,1.152,0.016093,0.054949,1.28,-0.205642,-0.14237,1.152,-0.266926,-0.035897,1.28,-0.221503,0.026997,1.28,-0.113187,0.079407,1.28,-0.06427,0.075913,1.28,-0.03995,0.248774,1.408,-0.057282,0.393873,1.28,-0.165598,0.079407,1.28,-0.155254,0.237244,1.408,-0.131632,0.409755,1.536,nan,nan,nan,0,0,0,-0.08929,-0.242999,1.152,-0.161617,-0.233565,1.152,-0.074753,0.355439,1.28,-0.135825,0.409755,1.536,-0.135825,0.426526,1.536,-0.016889,0.437104,1.408,-0.016889,0.444791,1.408,-0.074753,0.411344,1.28
15,-0.565954,-0.191445,0.896,-0.127026,-0.151804,1.152,-0.048409,-0.154949,1.152,-0.010674,-0.035452,1.152,0.016093,0.051455,1.28,-0.205642,-0.148659,1.152,-0.266926,-0.042885,1.28,-0.218009,0.020008,1.28,-0.113187,0.068925,1.28,-0.067765,0.065431,1.28,-0.036106,0.2334,1.408,-0.063011,0.414043,1.408,-0.165598,0.072419,1.28,-0.155254,0.229557,1.408,-0.131632,0.405562,1.536,nan,nan,nan,0,0,0,-0.092435,-0.246144,1.152,-0.161617,-0.23671,1.152,-0.078247,0.351944,1.28,-0.140018,0.405562,1.536,-0.135825,0.422333,1.536,-0.016889,0.417887,1.408,-0.016889,0.429417,1.408,-0.074753,0.393873,1.28
16,-0.531712,-0.191445,0.896,-0.127026,-0.154949,1.152,-0.051554,-0.158093,1.152,-0.013818,-0.038596,1.152,0.012599,0.047961,1.28,-0.205642,-0.151804,1.152,-0.263432,-0.049873,1.28,-0.214515,0.009526,1.28,-0.113187,0.061937,1.28,-0.067765,0.058443,1.28,-0.036106,0.214183,1.408,-0.063011,0.394826,1.408,-0.165598,0.061937,1.28,-0.155254,0.225713,1.408,-0.135825,0.405562,1.536,-0.857688,-0.375839,2.176,0,0,0,-0.095579,-0.249288,1.152,-0.164762,-0.242999,1.152,-0.089915,0.379452,1.408,-0.144211,0.405562,1.536,-0.135825,0.422333,1.536,-0.018424,0.439105,1.536,-0.018424,0.447491,1.536,-0.082228,0.414043,1.408
17,-0.574128,-0.22159,1.024,-0.130171,-0.161238,1.152,-0.057843,-0.164383,1.152,-0.016963,-0.041741,1.152,0.009105,0.047961,1.28,-0.205642,-0.158093,1.152,-0.259938,-0.056861,1.28,-0.211021,-0.000956,1.28,-0.113187,0.054949,1.28,-0.071259,0.051455,1.28,-0.032263,0.198809,1.408,nan,nan,nan,-0.165598,0.054949,1.28,-0.155254,0.218026,1.408,-0.135825,0.401369,1.536,nan,nan,nan,0,0,0,-0.095579,-0.252433,1.152,-0.164762,-0.246144,1.152,-0.093758,0.375609,1.408,-0.144211,0.401369,1.536,nan,nan,nan,-0.018424,0.41814,1.536,-0.018424,0.426526,1.536,-0.082228,0.394826,1.408
18,-0.53779,-0.22159,1.024,-0.130171,-0.164383,1.152,-0.057843,-0.167527,1.152,-0.020108,-0.044886,1.152,nan,nan,nan,-0.202498,-0.161238,1.152,-0.256444,-0.063849,1.28,-0.207527,-0.011438,1.28,-0.113187,0.047961,1.28,-0.071259,0.044467,1.28,-0.032263,0.187278,1.408,-0.068739,0.392983,1.536,-0.165598,0.047961,1.28,-0.155254,0.210339,1.408,-0.135825,0.397176,1.536,nan,nan,nan,0,0,0,-0.109693,-0.283975,1.28,-0.164762,-0.249288,1.152,-0.097602,0.371765,1.408,-0.148403,0.401369,1.536,-0.135825,0.41814,1.536,-0.018424,0.392983,1.536,-0.018424,0.405562,1.536,-0.082228,0.375609,1.408
19,-0.567278,-0.249288,1.152,-0.130171,-0.170672,1.152,-0.060988,-0.170672,1.152,-0.023252,-0.04803,1.152,nan,nan,nan,-0.224997,-0.186141,1.28,-0.25295,-0.070837,1.28,-0.204033,-0.018426,1.28,-0.113187,0.040973,1.28,-0.074753,0.037479,1.28,-0.036106,0.171905,1.408,-0.068739,0.372019,1.536,-0.165598,0.044467,1.28,-0.155254,0.206496,1.408,-0.135825,0.397176,1.536,nan,nan,nan,0,0,0,-0.109693,-0.287469,1.28,-0.161617,-0.252433,1.152,-0.11486,0.401369,1.536,-0.152596,0.397176,1.536,-0.135825,0.413948,1.536,-0.018424,0.372019,1.536,-0.018424,0.384597,1.536,-0.089703,0.38879,1.536
