time,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x
119,-0.368805,-0.402457,1.792,-0.422614,-0.343757,1.792,-0.424223,-0.301033,1.664,-0.417722,-0.187223,1.792,-0.35413,-0.079605,1.792,-0.388372,-0.35354,1.792,-0.415901,-0.292236,2.048,-0.376556,-0.274861,2.176,-0.388372,-0.162764,1.792,-0.422614,-0.133414,1.792,-0.226946,-0.108956,1.792,-0.138335,0.050977,1.92,-0.368805,-0.177439,1.792,-0.21171,-0.148185,1.92,nan,nan,nan,-0.38348,-0.41224,1.792,nan,nan,nan,-0.427505,-0.41224,1.792,-0.363913,-0.41224,1.792,-0.065372,0.048594,2.304,nan,nan,nan,-0.148817,0.040495,1.92,nan,nan,nan,-0.075441,0.071941,1.92,-0.148817,0.061459,1.92
120,-0.363913,-0.402457,1.792,-0.422614,-0.338865,1.792,-0.419681,-0.301033,1.664,-0.417722,-0.187223,1.792,-0.35413,-0.079605,1.792,-0.388372,-0.35354,1.792,-0.415901,-0.292236,2.048,-0.376556,-0.268921,2.176,-0.388372,-0.162764,1.792,-0.422614,-0.133414,1.792,-0.226946,-0.108956,1.792,-0.138335,0.050977,1.92,-0.368805,-0.177439,1.792,-0.21171,-0.148185,1.92,nan,nan,nan,-0.38348,-0.41224,1.792,-0.548803,-0.640119,2.816,-0.427505,-0.41224,1.792,-0.363913,-0.41224,1.792,-0.065372,0.048594,2.304,nan,nan,nan,-0.148817,0.040495,1.92,nan,nan,nan,nan,nan,nan,-0.148817,0.061459,1.92
121,-0.363913,-0.402457,1.792,-0.422614,-0.338865,1.792,-0.419681,-0.301033,1.664,-0.417722,-0.187223,1.792,-0.359022,-0.079605,1.792,-0.38348,-0.35354,1.792,-0.41031,-0.292236,2.048,-0.376556,-0.268921,2.176,-0.388372,-0.157872,1.792,-0.422614,-0.133414,1.792,-0.226946,-0.108956,1.792,-0.138335,0.050977,1.92,-0.363913,-0.177439,1.792,-0.21171,-0.148185,1.92,nan,nan,nan,-0.378588,-0.41224,1.792,nan,nan,nan,-0.427505,-0.41224,1.792,-0.359022,-0.41224,1.792,-0.065372,0.054883,2.304,nan,nan,nan,-0.143576,0.040495,1.92,nan,nan,nan,-0.075441,0.077182,1.92,-0.148817,0.061459,1.92
122,-0.359022,-0.402457,1.792,-0.417722,-0.338865,1.792,-0.447072,-0.32419,1.792,-0.417722,-0.187223,1.792,-0.359022,-0.079605,1.792,-0.38348,-0.35354,1.792,-0.40472,-0.286645,2.048,-0.376556,-0.268921,2.176,-0.388372,-0.157872,1.792,-0.422614,-0.133414,1.792,-0.231838,-0.108956,1.792,-0.138335,0.050977,1.92,-0.363913,-0.177439,1.792,-0.21171,-0.148185,1.92,-0.136376,0.015242,2.048,-0.378588,-0.41224,1.792,-0.541116,-0.640119,2.816,-0.422614,-0.41224,1.792,-0.35413,-0.41224,1.792,-0.065372,0.054883,2.304,-0.058109,0.026423,2.048,-0.143576,0.040495,1.92,nan,nan,nan,-0.075441,0.077182,1.92,nan,nan,nan
123,-0.359022,-0.402457,1.792,-0.417722,-0.338865,1.792,-0.415138,-0.301033,1.664,-0.417722,-0.187223,1.792,-0.359022,-0.079605,1.792,-0.38348,-0.35354,1.792,-0.40472,-0.286645,2.048,-0.376556,-0.268921,2.176,-0.388372,-0.157872,1.792,-0.422614,-0.133414,1.792,-0.231838,-0.108956,1.792,-0.138335,0.050977,1.92,-0.363913,-0.177439,1.792,-0.21171,-0.153426,1.92,-0.136376,0.015242,2.048,-0.378588,-0.41224,1.792,nan,nan,nan,-0.422614,-0.41224,1.792,nan,nan,nan,-0.065372,0.054883,2.304,nan,nan,nan,-0.143576,0.040495,1.92,nan,nan,nan,nan,nan,nan,-0.148817,0.0667,1.92
124,-0.35413,-0.402457,1.792,-0.417722,-0.338865,1.792,-0.415138,-0.301033,1.664,-0.417722,-0.187223,1.792,-0.359022,-0.079605,1.792,-0.378588,-0.35354,1.792,-0.40472,-0.286645,2.048,nan,nan,nan,-0.388372,-0.157872,1.792,-0.422614,-0.133414,1.792,-0.231838,-0.108956,1.792,-0.138335,0.050977,1.92,-0.363913,-0.177439,1.792,-0.21171,-0.153426,1.92,-0.136376,0.015242,2.048,-0.373697,-0.41224,1.792,-0.533429,-0.640119,2.816,-0.422614,-0.41224,1.792,-0.541116,-0.640119,2.816,-0.065372,0.054883,2.304,nan,nan,nan,-0.143576,0.040495,1.92,nan,nan,nan,nan,nan,nan,nan,nan,nan
125,-0.35413,-0.397565,1.792,-0.417722,-0.338865,1.792,-0.415138,-0.301033,1.664,-0.417722,-0.192114,1.792,-0.359022,-0.079605,1.792,-0.378588,-0.35354,1.792,-0.399129,-0.286645,2.048,-0.376556,-0.262981,2.176,-0.388372,-0.157872,1.792,-0.422614,-0.133414,1.792,-0.231838,-0.108956,1.792,-0.138335,0.050977,1.92,-0.363913,-0.177439,1.792,-0.21171,-0.153426,1.92,nan,nan,nan,-0.373697,-0.41224,1.792,-0.533429,-0.640119,2.816,-0.417722,-0.41224,1.792,nan,nan,nan,-0.065372,0.054883,2.304,nan,nan,nan,-0.143576,0.040495,1.92,-0.052794,0.067462,2.304,-0.075441,0.077182,1.92,-0.148817,0.0667,1.92
126,-0.349238,-0.397565,1.792,-0.417722,-0.338865,1.792,-0.410596,-0.301033,1.664,-0.417722,-0.192114,1.792,-0.359022,-0.079605,1.792,nan,nan,nan,-0.399129,-0.286645,2.048,nan,nan,nan,-0.388372,-0.152981,1.792,-0.422614,-0.133414,1.792,-0.231838,-0.108956,1.792,-0.138335,0.050977,1.92,-0.363913,-0.177439,1.792,-0.21171,-0.153426,1.92,nan,nan,nan,-0.368805,-0.41224,1.792,-0.533429,-0.640119,2.816,-0.417722,-0.41224,1.792,-0.533429,-0.640119,2.816,-0.065372,0.054883,2.304,nan,nan,nan,-0.143576,0.040495,1.92,nan,nan,nan,-0.075441,0.077182,1.92,nan,nan,nan
127,-0.349238,-0.397565,1.792,-0.41283,-0.338865,1.792,-0.44218,-0.32419,1.792,-0.417722,-0.192114,1.792,-0.359022,-0.079605,1.792,-0.378588,-0.35354,1.792,-0.399129,-0.286645,2.048,-0.354405,-0.241921,2.048,-0.388372,-0.152981,1.792,-0.422614,-0.133414,1.792,-0.231838,-0.108956,1.792,-0.143576,0.050977,1.92,-0.363913,-0.177439,1.792,-0.216951,-0.153426,1.92,-0.136376,0.015242,2.048,-0.368805,-0.41224,1.792,-0.533429,-0.640119,2.816,-0.41283,-0.41224,1.792,-0.533429,-0.640119,2.816,-0.065372,0.054883,2.304,nan,nan,nan,-0.143576,0.040495,1.92,nan,nan,nan,-0.075441,0.077182,1.92,nan,nan,nan
128,nan,nan,nan,-0.41283,-0.338865,1.792,-0.410596,-0.301033,1.664,-0.417722,-0.192114,1.792,-0.359022,-0.079605,1.792,-0.378588,-0.35354,1.792,-0.399129,-0.281055,2.048,nan,nan,nan,-0.388372,-0.152981,1.792,-0.422614,-0.133414,1.792,-0.231838,-0.108956,1.792,-0.143576,0.050977,1.92,-0.359022,-0.177439,1.792,-0.216951,-0.153426,1.92,-0.136376,0.015242,2.048,-0.363913,-0.41224,1.792,nan,nan,nan,-0.41283,-0.41224,1.792,-0.525742,-0.640119,2.816,-0.065372,0.054883,2.304,nan,nan,nan,-0.143576,0.040495,1.92,nan,nan,nan,nan,nan,nan,-0.154058,0.0667,1.92
129,nan,nan,nan,-0.41283,-0.338865,1.792,-0.410596,-0.301033,1.664,-0.417722,-0.192114,1.792,-0.359022,-0.079605,1.792,-0.378588,-0.35354,1.792,-0.399129,-0.281055,2.048,nan,nan,nan,-0.388372,-0.152981,1.792,-0.422614,-0.133414,1.792,-0.231838,-0.108956,1.792,-0.143576,0.050977,1.92,-0.359022,-0.172548,1.792,-0.216951,-0.153426,1.92,-0.136376,0.009651,2.048,-0.359022,-0.407349,1.792,-0.525742,-0.640119,2.816,-0.407939,-0.41224,1.792,-0.525742,-0.640119,2.816,-0.065372,0.054883,2.304,nan,nan,nan,-0.143576,0.040495,1.92,nan,nan,nan,-0.075441,0.082424,1.92,nan,nan,nan
130,nan,nan,nan,-0.41283,-0.338865,1.792,-0.437289,-0.32419,1.792,-0.417722,-0.192114,1.792,-0.359022,-0.079605,1.792,-0.378588,-0.35354,1.792,-0.399129,-0.281055,2.048,nan,nan,nan,-0.388372,-0.152981,1.792,-0.422614,-0.133414,1.792,-0.231838,-0.108956,1.792,-0.143576,0.050977,1.92,-0.359022,-0.172548,1.792,-0.216951,-0.153426,1.92,-0.136376,0.009651,2.048,-0.35413,-0.407349,1.792,-0.525742,-0.640119,2.816,-0.407939,-0.41224,1.792,-0.525742,-0.640119,2.816,-0.065372,0.054883,2.304,nan,nan,nan,-0.143576,0.040495,1.92,-0.052794,0.067462,2.304,-0.075441,0.082424,1.92,-0.154058,0.0667,1.92
131,-0.533429,-0.624745,2.816,-0.41283,-0.338865,1.792,-0.406054,-0.301033,1.664,-0.422614,-0.192114,1.792,-0.359022,-0.079605,1.792,-0.378588,-0.35354,1.792,-0.399129,-0.281055,2.048,nan,nan,nan,-0.388372,-0.152981,1.792,-0.422614,-0.133414,1.792,-0.231838,-0.108956,1.792,-0.143576,0.050977,1.92,-0.363913,-0.172548,1.792,-0.216951,-0.153426,1.92,-0.136376,0.009651,2.048,-0.35413,-0.407349,1.792,-0.525742,-0.640119,2.816,-0.403047,-0.41224,1.792,-0.525742,-0.640119,2.816,nan,nan,nan,-0.063699,0.026423,2.048,-0.143576,0.035254,1.92,-0.052794,0.067462,2.304,-0.075441,0.082424,1.92,-0.148817,0.0667,1.92
132,nan,nan,nan,-0.41283,-0.338865,1.792,-0.406054,-0.301033,1.664,-0.422614,-0.192114,1.792,-0.35413,-0.079605,1.792,-0.378588,-0.35354,1.792,-0.40472,-0.286645,2.048,nan,nan,nan,-0.388372,-0.152981,1.792,-0.422614,-0.133414,1.792,-0.231838,-0.108956,1.792,-0.143576,0.050977,1.92,-0.363913,-0.172548,1.792,-0.216951,-0.153426,1.92,-0.136376,0.009651,2.048,-0.349238,-0.407349,1.792,-0.525742,-0.640119,2.816,-0.398155,-0.41224,1.792,-0.525742,-0.640119,2.816,nan,nan,nan,-0.063699,0.026423,2.048,-0.143576,0.035254,1.92,nan,nan,nan,nan,nan,nan,-0.148817,0.0667,1.92
133,nan,nan,nan,-0.41283,-0.338865,1.792,-0.437289,-0.32419,1.792,-0.422614,-0.192114,1.792,-0.35413,-0.084497,1.792,-0.378588,-0.35354,1.792,-0.40472,-0.286645,2.048,nan,nan,nan,-0.388372,-0.152981,1.792,-0.422614,-0.133414,1.792,-0.231838,-0.108956,1.792,-0.143576,0.050977,1.92,-0.363913,-0.172548,1.792,-0.216951,-0.153426,1.92,-0.136376,0.009651,2.048,-0.349238,-0.407349,1.792,-0.525742,-0.640119,2.816,-0.398155,-0.41224,1.792,-0.525742,-0.640119,2.816,nan,nan,nan,nan,nan,nan,-0.143576,0.035254,1.92,nan,nan,nan,nan,nan,nan,-0.154058,0.0667,1.92
134,-0.525742,-0.624745,2.816,-0.41283,-0.338865,1.792,-0.437289,-0.32419,1.792,-0.422614,-0.187223,1.792,-0.35413,-0.084497,1.792,-0.378588,-0.35354,1.792,-0.40472,-0.286645,2.048,nan,nan,nan,-0.388372,-0.152981,1.792,-0.422614,-0.133414,1.792,-0.231838,-0.104064,1.792,-0.143576,0.050977,1.92,-0.363913,-0.172548,1.792,-0.216951,-0.153426,1.92,-0.136376,0.009651,2.048,-0.344347,-0.407349,1.792,nan,nan,nan,-0.393263,-0.41224,1.792,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.143576,0.035254,1.92,nan,nan,nan,-0.080682,0.087665,1.92,-0.154058,0.0667,1.92
135,-0.525742,-0.624745,2.816,-0.41283,-0.343757,1.792,-0.437289,-0.32419,1.792,-0.422614,-0.187223,1.792,-0.35413,-0.084497,1.792,-0.378588,-0.35354,1.792,-0.41031,-0.286645,2.048,-0.365586,-0.236331,2.048,-0.388372,-0.152981,1.792,-0.422614,-0.133414,1.792,-0.231838,-0.104064,1.792,-0.143576,0.056218,1.92,-0.363913,-0.172548,1.792,-0.216951,-0.153426,1.92,-0.136376,0.009651,2.048,-0.344347,-0.407349,1.792,-0.525742,-0.640119,2.816,-0.393263,-0.41224,1.792,-0.525742,-0.640119,2.816,nan,nan,nan,nan,nan,nan,-0.143576,0.035254,1.92,nan,nan,nan,-0.080682,0.092906,1.92,-0.154058,0.0667,1.92
136,-0.525742,-0.624745,2.816,-0.41283,-0.343757,1.792,-0.437289,-0.32419,1.792,-0.422614,-0.187223,1.792,-0.35413,-0.079605,1.792,-0.378588,-0.35354,1.792,-0.41031,-0.286645,2.048,-0.365586,-0.236331,2.048,-0.388372,-0.152981,1.792,-0.422614,-0.133414,1.792,-0.231838,-0.104064,1.792,-0.148817,0.056218,1.92,-0.363913,-0.172548,1.792,-0.216951,-0.153426,1.92,-0.130785,0.015242,2.048,-0.344347,-0.407349,1.792,nan,nan,nan,-0.388372,-0.41224,1.792,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.143576,0.035254,1.92,nan,nan,nan,nan,nan,nan,-0.154058,0.071941,1.92
137,-0.525742,-0.624745,2.816,-0.41283,-0.343757,1.792,-0.406054,-0.301033,1.664,-0.422614,-0.187223,1.792,-0.35413,-0.079605,1.792,nan,nan,nan,-0.41031,-0.286645,2.048,-0.365586,-0.236331,2.048,-0.388372,-0.152981,1.792,-0.422614,-0.133414,1.792,-0.231838,-0.104064,1.792,-0.148817,0.056218,1.92,-0.368805,-0.177439,1.792,-0.216951,-0.148185,1.92,nan,nan,nan,-0.339455,-0.407349,1.792,nan,nan,nan,-0.388372,-0.41224,1.792,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.138335,0.035254,1.92,-0.054477,0.077182,1.92,nan,nan,nan,-0.159299,0.071941,1.92
138,-0.525742,-0.624745,2.816,-0.41283,-0.343757,1.792,-0.437289,-0.32419,1.792,-0.422614,-0.187223,1.792,-0.35413,-0.079605,1.792,-0.378588,-0.35354,1.792,-0.415901,-0.292236,2.048,-0.371177,-0.236331,2.048,-0.393263,-0.152981,1.792,-0.427505,-0.133414,1.792,-0.231838,-0.104064,1.792,nan,nan,nan,-0.368805,-0.177439,1.792,-0.216951,-0.148185,1.92,-0.130785,0.015242,2.048,-0.339455,-0.407349,1.792,nan,nan,nan,-0.388372,-0.41224,1.792,nan,nan,nan,-0.065372,0.054883,2.304,nan,nan,nan,-0.138335,0.035254,1.92,-0.059718,0.077182,1.92,nan,nan,nan,-0.159299,0.071941,1.92
139,-0.525742,-0.617058,2.816,-0.41283,-0.343757,1.792,-0.406054,-0.301033,1.664,-0.422614,-0.187223,1.792,-0.35413,-0.079605,1.792,-0.378588,-0.35354,1.792,-0.415901,-0.292236,2.048,nan,nan,nan,-0.393263,-0.157872,1.792,-0.427505,-0.133414,1.792,-0.231838,-0.099172,1.792,-0.154058,0.061459,1.92,-0.368805,-0.177439,1.792,-0.216951,-0.148185,1.92,-0.130785,0.015242,2.048,-0.339455,-0.407349,1.792,nan,nan,nan,-0.388372,-0.41224,1.792,nan,nan,nan,-0.065372,0.054883,2.304,nan,nan,nan,-0.138335,0.035254,1.92,-0.059718,0.082424,1.92,nan,nan,nan,nan,nan,nan
140,-0.525742,-0.617058,2.816,-0.41283,-0.343757,1.792,-0.406054,-0.305576,1.664,-0.422614,-0.187223,1.792,-0.359022,-0.079605,1.792,-0.378588,-0.35354,1.792,-0.415901,-0.292236,2.048,-0.371177,-0.236331,2.048,-0.393263,-0.157872,1.792,-0.427505,-0.133414,1.792,-0.231838,-0.099172,1.792,-0.154058,0.061459,1.92,-0.368805,-0.177439,1.792,-0.216951,-0.148185,1.92,-0.130785,0.015242,2.048,-0.339455,-0.407349,1.792,nan,nan,nan,-0.38348,-0.41224,1.792,nan,nan,nan,-0.065372,0.054883,2.304,nan,nan,nan,-0.143576,0.035254,1.92,-0.064959,0.082424,1.92,-0.10926,0.123113,2.176,nan,nan,nan
141,-0.518055,-0.617058,2.816,-0.41283,-0.343757,1.792,-0.437289,-0.329082,1.792,-0.422614,-0.187223,1.792,-0.359022,-0.079605,1.792,-0.378588,-0.35354,1.792,-0.415901,-0.292236,2.048,-0.371177,-0.236331,2.048,-0.393263,-0.157872,1.792,-0.427505,-0.133414,1.792,-0.231838,-0.099172,1.792,-0.154058,0.061459,1.92,-0.368805,-0.177439,1.792,-0.216951,-0.148185,1.92,nan,nan,nan,-0.339455,-0.407349,1.792,nan,nan,nan,-0.38348,-0.41224,1.792,nan,nan,nan,-0.065372,0.054883,2.304,nan,nan,nan,-0.143576,0.035254,1.92,-0.064959,0.082424,1.92,-0.10926,0.123113,2.176,nan,nan,nan
142,-0.518055,-0.624745,2.816,-0.41283,-0.343757,1.792,-0.406054,-0.305576,1.664,-0.422614,-0.187223,1.792,-0.359022,-0.079605,1.792,-0.378588,-0.35354,1.792,-0.395148,-0.273971,1.92,-0.371177,-0.236331,2.048,-0.393263,-0.157872,1.792,-0.427505,-0.133414,1.792,-0.231838,-0.099172,1.792,-0.154058,0.061459,1.92,-0.368805,-0.177439,1.792,-0.216951,-0.148185,1.92,nan,nan,nan,-0.339455,-0.407349,1.792,nan,nan,nan,-0.38348,-0.407349,1.792,nan,nan,nan,-0.065372,0.054883,2.304,nan,nan,nan,-0.143576,0.035254,1.92,nan,nan,nan,-0.10926,0.123113,2.176,nan,nan,nan
143,-0.518055,-0.624745,2.816,-0.41283,-0.343757,1.792,-0.406054,-0.305576,1.664,-0.422614,-0.187223,1.792,-0.359022,-0.079605,1.792,-0.378588,-0.35354,1.792,nan,nan,nan,-0.371177,-0.236331,2.048,-0.393263,-0.162764,1.792,-0.427505,-0.133414,1.792,-0.231838,-0.099172,1.792,-0.154058,0.061459,1.92,-0.368805,-0.177439,1.792,-0.216951,-0.148185,1.92,nan,nan,nan,-0.339455,-0.407349,1.792,nan,nan,nan,-0.38348,-0.407349,1.792,nan,nan,nan,-0.065372,0.054883,2.304,nan,nan,nan,-0.143576,0.035254,1.92,-0.059718,0.082424,1.92,nan,nan,nan,nan,nan,nan
144,-0.518055,-0.624745,2.816,-0.407939,-0.343757,1.792,-0.432397,-0.329082,1.792,-0.422614,-0.187223,1.792,-0.359022,-0.079605,1.792,-0.378588,-0.35354,1.792,nan,nan,nan,-0.376767,-0.236331,2.048,-0.393263,-0.162764,1.792,-0.427505,-0.133414,1.792,-0.231838,-0.104064,1.792,-0.148817,0.056218,1.92,-0.368805,-0.177439,1.792,-0.216951,-0.148185,1.92,-0.136376,0.015242,2.048,nan,nan,nan,nan,nan,nan,-0.38348,-0.407349,1.792,nan,nan,nan,-0.065372,0.054883,2.304,-0.063699,0.026423,2.048,-0.143576,0.035254,1.92,-0.054477,0.077182,1.92,nan,nan,nan,-0.159299,0.071941,1.92
145,-0.510368,-0.624745,2.816,-0.407939,-0.343757,1.792,-0.432397,-0.329082,1.792,-0.422614,-0.187223,1.792,-0.359022,-0.079605,1.792,-0.378588,-0.35354,1.792,-0.421491,-0.286645,2.048,-0.376767,-0.236331,2.048,-0.393263,-0.162764,1.792,-0.427505,-0.133414,1.792,-0.231838,-0.104064,1.792,-0.143576,0.056218,1.92,-0.368805,-0.177439,1.792,-0.216951,-0.148185,1.92,-0.136376,0.015242,2.048,-0.334563,-0.407349,1.792,-0.334563,-0.407349,1.792,-0.378588,-0.407349,1.792,-0.334563,-0.407349,1.792,-0.065372,0.054883,2.304,nan,nan,nan,-0.143576,0.035254,1.92,nan,nan,nan,nan,nan,nan,-0.154058,0.071941,1.92
146,-0.510368,-0.624745,2.816,-0.407939,-0.348648,1.792,-0.401511,-0.305576,1.664,-0.422614,-0.182331,1.792,-0.359022,-0.079605,1.792,-0.378588,-0.35354,1.792,nan,nan,nan,-0.376767,-0.236331,2.048,-0.393263,-0.162764,1.792,-0.427505,-0.133414,1.792,-0.231838,-0.104064,1.792,-0.143576,0.056218,1.92,-0.368805,-0.177439,1.792,-0.216951,-0.148185,1.92,-0.136376,0.015242,2.048,-0.334563,-0.407349,1.792,-0.334563,-0.407349,1.792,-0.378588,-0.407349,1.792,-0.334563,-0.407349,1.792,-0.065372,0.054883,2.304,-0.063699,0.026423,2.048,-0.143576,0.035254,1.92,nan,nan,nan,nan,nan,nan,-0.148817,0.071941,1.92
147,-0.502681,-0.624745,2.816,-0.407939,-0.348648,1.792,-0.401511,-0.305576,1.664,-0.392427,-0.169307,1.664,-0.359022,-0.079605,1.792,-0.378588,-0.35354,1.792,nan,nan,nan,-0.376767,-0.236331,2.048,-0.393263,-0.162764,1.792,-0.427505,-0.133414,1.792,-0.231838,-0.104064,1.792,-0.138335,0.050977,1.92,-0.368805,-0.177439,1.792,-0.216951,-0.148185,1.92,nan,nan,nan,-0.334563,-0.407349,1.792,-0.334563,-0.407349,1.792,-0.378588,-0.407349,1.792,-0.334563,-0.407349,1.792,-0.065372,0.054883,2.304,nan,nan,nan,-0.143576,0.035254,1.92,nan,nan,nan,nan,nan,nan,-0.148817,0.071941,1.92
148,-0.502681,-0.624745,2.816,-0.407939,-0.348648,1.792,-0.401511,-0.305576,1.664,-0.392427,-0.169307,1.664,-0.359022,-0.079605,1.792,-0.378588,-0.35354,1.792,nan,nan,nan,-0.376767,-0.236331,2.048,-0.393263,-0.162764,1.792,-0.427505,-0.133414,1.792,-0.231838,-0.104064,1.792,-0.133093,0.050977,1.92,-0.368805,-0.177439,1.792,-0.216951,-0.148185,1.92,-0.136376,0.009651,2.048,-0.334563,-0.407349,1.792,-0.329672,-0.407349,1.792,-0.378588,-0.407349,1.792,-0.334563,-0.407349,1.792,-0.065372,0.054883,2.304,nan,nan,nan,-0.143576,0.035254,1.92,-0.046504,0.073751,2.304,-0.075441,0.087665,1.92,nan,nan,nan
149,-0.502681,-0.624745,2.816,-0.403047,-0.348648,1.792,-0.401511,-0.305576,1.664,-0.417722,-0.182331,1.792,-0.359022,-0.079605,1.792,-0.378588,-0.35354,1.792,nan,nan,nan,-0.371177,-0.236331,2.048,-0.388372,-0.162764,1.792,-0.427505,-0.133414,1.792,-0.231838,-0.104064,1.792,-0.133093,0.050977,1.92,-0.368805,-0.177439,1.792,-0.216951,-0.148185,1.92,-0.136376,0.009651,2.048,-0.329672,-0.407349,1.792,-0.329672,-0.407349,1.792,-0.373697,-0.407349,1.792,-0.334563,-0.407349,1.792,nan,nan,nan,-0.075643,0.0181,2.432,-0.143576,0.035254,1.92,-0.046504,0.073751,2.304,-0.0702,0.087665,1.92,nan,nan,nan
150,-0.494994,-0.624745,2.816,-0.403047,-0.348648,1.792,-0.401511,-0.305576,1.664,-0.417722,-0.182331,1.792,-0.359022,-0.079605,1.792,-0.378588,-0.35354,1.792,nan,nan,nan,-0.371177,-0.236331,2.048,-0.388372,-0.162764,1.792,-0.427505,-0.133414,1.792,-0.231838,-0.104064,1.792,-0.133093,0.050977,1.92,-0.368805,-0.177439,1.792,-0.216951,-0.148185,1.92,-0.136376,0.009651,2.048,-0.329672,-0.407349,1.792,-0.329672,-0.407349,1.792,-0.373697,-0.407349,1.792,-0.334563,-0.407349,1.792,nan,nan,nan,nan,nan,nan,-0.143576,0.035254,1.92,-0.046504,0.073751,2.304,-0.0702,0.087665,1.92,-0.143576,0.0667,1.92
151,-0.494994,-0.624745,2.816,-0.403047,-0.348648,1.792,-0.401511,-0.305576,1.664,-0.417722,-0.182331,1.792,-0.359022,-0.079605,1.792,-0.378588,-0.35354,1.792,-0.395148,-0.263489,1.92,-0.371177,-0.236331,2.048,-0.388372,-0.162764,1.792,-0.427505,-0.133414,1.792,-0.231838,-0.104064,1.792,-0.133093,0.050977,1.92,-0.368805,-0.177439,1.792,-0.216951,-0.148185,1.92,-0.136376,0.009651,2.048,-0.329672,-0.407349,1.792,-0.329672,-0.407349,1.792,-0.373697,-0.407349,1.792,-0.334563,-0.407349,1.792,nan,nan,nan,-0.075643,0.0181,2.432,-0.143576,0.035254,1.92,-0.046504,0.073751,2.304,-0.0702,0.087665,1.92,-0.147557,0.071147,2.048
152,-0.487307,-0.624745,2.816,-0.403047,-0.348648,1.792,-0.401511,-0.305576,1.664,-0.417722,-0.182331,1.792,-0.35413,-0.079605,1.792,-0.378588,-0.358432,1.792,nan,nan,nan,-0.365586,-0.236331,2.048,-0.388372,-0.162764,1.792,-0.427505,-0.138306,1.792,-0.231838,-0.104064,1.792,-0.133093,0.050977,1.92,-0.368805,-0.177439,1.792,-0.216951,-0.148185,1.92,-0.136376,0.009651,2.048,-0.32478,-0.407349,1.792,-0.32478,-0.407349,1.792,-0.368805,-0.407349,1.792,-0.334563,-0.407349,1.792,nan,nan,nan,-0.069004,0.0181,2.432,-0.143576,0.035254,1.92,-0.046504,0.073751,2.304,-0.0702,0.087665,1.92,-0.143576,0.071941,1.92
153,-0.487307,-0.624745,2.816,-0.398155,-0.348648,1.792,-0.401511,-0.305576,1.664,-0.387885,-0.169307,1.664,-0.35413,-0.079605,1.792,-0.378588,-0.358432,1.792,-0.415901,-0.275464,2.048,-0.365586,-0.236331,2.048,-0.388372,-0.162764,1.792,-0.427505,-0.138306,1.792,-0.231838,-0.104064,1.792,-0.133093,0.056218,1.92,-0.368805,-0.177439,1.792,-0.216951,-0.148185,1.92,-0.136376,0.009651,2.048,-0.32478,-0.407349,1.792,-0.32478,-0.407349,1.792,-0.368805,-0.407349,1.792,-0.334563,-0.407349,1.792,-0.065372,0.054883,2.304,nan,nan,nan,-0.143576,0.035254,1.92,-0.046504,0.073751,2.304,-0.075441,0.092906,1.92,nan,nan,nan
154,-0.47962,-0.617058,2.816,-0.398155,-0.348648,1.792,-0.396969,-0.305576,1.664,-0.387885,-0.169307,1.664,-0.35413,-0.079605,1.792,-0.378588,-0.358432,1.792,nan,nan,nan,nan,nan,nan,-0.388372,-0.162764,1.792,-0.427505,-0.138306,1.792,-0.231838,-0.099172,1.792,-0.138335,0.056218,1.92,-0.368805,-0.177439,1.792,-0.216951,-0.148185,1.92,nan,nan,nan,-0.32478,-0.407349,1.792,-0.319888,-0.407349,1.792,-0.363913,-0.407349,1.792,-0.334563,-0.407349,1.792,-0.059083,0.054883,2.304,nan,nan,nan,-0.143576,0.035254,1.92,nan,nan,nan,-0.080682,0.092906,1.92,nan,nan,nan
155,-0.47962,-0.617058,2.816,-0.398155,-0.348648,1.792,-0.396969,-0.305576,1.664,-0.417722,-0.182331,1.792,-0.35413,-0.084497,1.792,-0.378588,-0.358432,1.792,-0.41031,-0.275464,2.048,nan,nan,nan,-0.388372,-0.162764,1.792,-0.422614,-0.138306,1.792,-0.231838,-0.099172,1.792,-0.143576,0.061459,1.92,-0.368805,-0.177439,1.792,-0.216951,-0.148185,1.92,-0.136376,0.015242,2.048,-0.319888,-0.407349,1.792,-0.319888,-0.407349,1.792,-0.363913,-0.407349,1.792,-0.334563,-0.407349,1.792,-0.059083,0.054883,2.304,nan,nan,nan,-0.143576,0.035254,1.92,nan,nan,nan,nan,nan,nan,-0.148817,0.077182,1.92
