,frame,Nose_x,Nose_y,Nose_z,Nose_s,Neck_x,Neck_y,Neck_z,Neck_s,Rshoulder_x,Rshoulder_y,Rshoulder_z,Rshoulder_s,Relbow_x,Relbow_y,Relbow_z,Relbow_s,Rwrist_x,Rwrist_y,Rwrist_z,Rwrist_s,Lshoulder_x,Lshoulder_y,Lshoulder_z,Lshoulder_s,Lelbow_x,Lelbow_y,Lelbow_z,Lelbow_s,Lwrist_x,Lwrist_y,Lwrist_z,Lwrist_s,Rhip_x,Rhip_y,Rhip_z,Rhip_s,Rknee_x,Rknee_y,Rknee_z,Rknee_s,Rankle_x,Rankle_y,Rankle_z,Rankle_s,Lhip_x,Lhip_y,Lhip_z,Lhip_s,Lknee_x,Lknee_y,Lknee_z,Lknee_s,Lankle_x,Lankle_y,Lankle_z,Lankle_s,Reye_x,Reye_y,Reye_z,Reye_s,Leye_x,Leye_y,Leye_z,Leye_s,Rear_x,Rear_y,Rear_z,Rear_s,Lear_x,Lear_y,Lear_z,Lear_s
C:\Users\ynishida\Documents\python\test0111\hiranokun_test\smalljpegs_json\000000_s_keypoints.json,,,,0.0,,,,0.209141,,,,0.152692,,,,0.0,,,,0.0,,,,0.19156099999999998,,,,0.15068399999999998,,,,0.185952,,,,0.285984,,,,0.35825,,,,0.35083400000000003,,,,0.27605799999999997,,,,0.32111,,,,0.321213,,,,0.0,,,,0.0,,,,0.0,,,,0.0828564,
C:\Users\ynishida\Documents\python\test0111\hiranokun_test\smalljpegs_json\000001_s_keypoints.json,,,,0.0,,,,0.180033,,,,0.0,,,,0.0,,,,0.0,,,,0.166511,,,,0.111733,,,,0.143645,,,,0.274532,,,,0.300371,,,,0.299408,,,,0.27083,,,,0.31566700000000003,,,,0.292147,,,,0.0,,,,0.0,,,,0.0,,,,0.07837419999999999,
C:\Users\ynishida\Documents\python\test0111\hiranokun_test\smalljpegs_json\000002_s_keypoints.json,,,,0.0,,,,0.199734,,,,0.141301,,,,0.0,,,,0.0,,,,0.18438800000000002,,,,0.160882,,,,0.203191,,,,0.290623,,,,0.369004,,,,0.327059,,,,0.26818000000000003,,,,0.325788,,,,0.29702,,,,0.0,,,,0.0,,,,0.0,,,,0.0668281,
C:\Users\ynishida\Documents\python\test0111\hiranokun_test\smalljpegs_json\000003_s_keypoints.json,,,,0.0,,,,0.16084500000000002,,,,0.0,,,,0.0,,,,0.0,,,,0.143042,,,,0.12295,,,,0.165958,,,,0.272785,,,,0.31106100000000003,,,,0.325387,,,,0.271966,,,,0.31893299999999997,,,,0.29873,,,,0.0,,,,0.0,,,,0.0,,,,0.0,
C:\Users\ynishida\Documents\python\test0111\hiranokun_test\smalljpegs_json\000004_s_keypoints.json,,,,0.0,,,,0.195609,,,,0.145673,,,,0.0,,,,0.0,,,,0.180298,,,,0.140375,,,,0.16789600000000002,,,,0.303115,,,,0.342488,,,,0.339964,,,,0.28423400000000004,,,,0.30617300000000003,,,,0.30557399999999996,,,,0.0,,,,0.0,,,,0.0,,,,0.0740415,
C:\Users\ynishida\Documents\python\test0111\hiranokun_test\smalljpegs_json\000005_s_keypoints.json,,,,0.0,,,,0.181795,,,,0.0,,,,0.0,,,,0.0,,,,0.15520899999999999,,,,0.133381,,,,0.162694,,,,0.291671,,,,0.34161199999999997,,,,0.344333,,,,0.272152,,,,0.313335,,,,0.32108000000000003,,,,0.0,,,,0.0,,,,0.0,,,,0.0,
C:\Users\ynishida\Documents\python\test0111\hiranokun_test\smalljpegs_json\000006_s_keypoints.json,,,,0.0,,,,0.177063,,,,0.137913,,,,0.0,,,,0.0,,,,0.173585,,,,0.15481199999999998,,,,0.208175,,,,0.27629499999999996,,,,0.352559,,,,0.320791,,,,0.259754,,,,0.31406,,,,0.288815,,,,0.0,,,,0.0,,,,0.0,,,,0.07538910000000001,
C:\Users\ynishida\Documents\python\test0111\hiranokun_test\smalljpegs_json\000007_s_keypoints.json,,,,0.0,,,,0.236432,,,,0.17463599999999999,,,,0.0,,,,0.0,,,,0.214391,,,,0.146603,,,,0.168874,,,,0.335696,,,,0.393627,,,,0.394396,,,,0.32517199999999996,,,,0.356483,,,,0.365102,,,,0.0,,,,0.0,,,,0.0,,,,0.08582000000000001,
C:\Users\ynishida\Documents\python\test0111\hiranokun_test\smalljpegs_json\000008_s_keypoints.json,,,,0.0,,,,0.193512,,,,0.14974200000000001,,,,0.0,,,,0.0,,,,0.186647,,,,0.130089,,,,0.164875,,,,0.292551,,,,0.34763499999999997,,,,0.34005799999999997,,,,0.29033600000000004,,,,0.33169299999999996,,,,0.34120700000000004,,,,0.0,,,,0.0,,,,0.0,,,,0.07194199999999999,
C:\Users\ynishida\Documents\python\test0111\hiranokun_test\smalljpegs_json\000010_s_keypoints.json,,,,0.0,,,,0.169317,,,,0.1214,,,,0.0,,,,0.0,,,,0.16702,,,,0.160593,,,,0.216493,,,,0.28475,,,,0.343776,,,,0.325685,,,,0.282119,,,,0.31253400000000003,,,,0.31595100000000004,,,,0.0,,,,0.0,,,,0.0,,,,0.061614999999999996,
C:\Users\ynishida\Documents\python\test0111\hiranokun_test\smalljpegs_json\000011_s_keypoints.json,,,,0.0,,,,0.169712,,,,0.121226,,,,0.0,,,,0.0,,,,0.15474000000000002,,,,0.141475,,,,0.20646199999999998,,,,0.279801,,,,0.33347,,,,0.299272,,,,0.25295500000000004,,,,0.28976399999999997,,,,0.264847,,,,0.0,,,,0.0,,,,0.0,,,,0.056628,
C:\Users\ynishida\Documents\python\test0111\hiranokun_test\smalljpegs_json\000012_s_keypoints.json,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.11165599999999999,,,,0.234042,,,,0.358966,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,
C:\Users\ynishida\Documents\python\test0111\hiranokun_test\smalljpegs_json\000013_s_keypoints.json,,,,0.0504661,,,,0.218002,,,,0.160436,,,,0.0,,,,0.0,,,,0.19459300000000002,,,,0.127442,,,,0.150008,,,,0.305987,,,,0.363433,,,,0.331365,,,,0.285722,,,,0.324806,,,,0.311172,,,,0.0,,,,0.0,,,,0.0,,,,0.0724781,
C:\Users\ynishida\Documents\python\test0111\hiranokun_test\smalljpegs_json\000014_s_keypoints.json,,,,0.0,,,,0.168712,,,,0.119571,,,,0.0,,,,0.0,,,,0.158391,,,,0.136947,,,,0.21417600000000003,,,,0.265773,,,,0.32922399999999996,,,,0.32476700000000003,,,,0.254917,,,,0.284326,,,,0.282615,,,,0.0,,,,0.0,,,,0.0,,,,0.059664699999999994,
C:\Users\ynishida\Documents\python\test0111\hiranokun_test\smalljpegs_json\000016_s_keypoints.json,,,,0.0,,,,0.17968199999999998,,,,0.142401,,,,0.0,,,,0.0,,,,0.163659,,,,0.13235,,,,0.181551,,,,0.28723699999999996,,,,0.356668,,,,0.337231,,,,0.265034,,,,0.325753,,,,0.310377,,,,0.0,,,,0.0,,,,0.0,,,,0.0726812,
C:\Users\ynishida\Documents\python\test0111\hiranokun_test\smalljpegs_json\000017_s_keypoints.json,,,,0.0,,,,0.171163,,,,0.12898199999999999,,,,0.0,,,,0.0,,,,0.159089,,,,0.130954,,,,0.193501,,,,0.283323,,,,0.345182,,,,0.30308,,,,0.26325,,,,0.312203,,,,0.27933800000000003,,,,0.0,,,,0.0,,,,0.0,,,,0.0579538,
