,frame,Nose_x,Nose_y,Nose_z,Nose_s,Neck_x,Neck_y,Neck_z,Neck_s,Rshoulder_x,Rshoulder_y,Rshoulder_z,Rshoulder_s,Relbow_x,Relbow_y,Relbow_z,Relbow_s,Rwrist_x,Rwrist_y,Rwrist_z,Rwrist_s,Lshoulder_x,Lshoulder_y,Lshoulder_z,Lshoulder_s,Lelbow_x,Lelbow_y,Lelbow_z,Lelbow_s,Lwrist_x,Lwrist_y,Lwrist_z,Lwrist_s,Rhip_x,Rhip_y,Rhip_z,Rhip_s,Rknee_x,Rknee_y,Rknee_z,Rknee_s,Rankle_x,Rankle_y,Rankle_z,Rankle_s,Lhip_x,Lhip_y,Lhip_z,Lhip_s,Lknee_x,Lknee_y,Lknee_z,Lknee_s,Lankle_x,Lankle_y,Lankle_z,Lankle_s,Reye_x,Reye_y,Reye_z,Reye_s,Leye_x,Leye_y,Leye_z,Leye_s,Rear_x,Rear_y,Rear_z,Rear_s,Lear_x,Lear_y,Lear_z,Lear_s
C:\Users\ynishida\Documents\python\test0111\hiranokun_test\smalljpegs_json\000024_s_keypoints.json,,,,0.0,,,,0.0,-0.528554,0.427017,4.334,0.164946,,,,0.280486,,,,0.376354,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,
C:\Users\ynishida\Documents\python\test0111\hiranokun_test\smalljpegs_json\000031_s_keypoints.json,,,,0.056873900000000005,,,,0.24975799999999998,0.014403999999999972,0.368989,4.360333333333333,0.170441,,,,0.0,,,,0.0,0.923992,0.257608,3.529,0.21919299999999997,0.9492389999999999,0.0681621,3.016,0.169631,1.00427,-0.0595115,2.803,0.218425,0.762104,-0.16286,2.911,0.31624,0.980244,-0.5811029999999999,3.793,0.360181,0.838233,-0.802541,3.21,0.367149,0.751821,-0.171604,2.906,0.313299,0.952399,-0.578218,3.7760000000000002,0.355016,0.82458,-0.818785,3.3160000000000003,0.34533800000000003,,,,0.0,,,,0.057661199999999996,,,,0.0,0.985273,0.506467,4.218,0.0908645,
C:\Users\ynishida\Documents\python\test0111\hiranokun_test\smalljpegs_json\000032_s_keypoints.json,,,,0.0,,,,0.146668,0.5573619999999999,0.310961,4.386666666666667,0.0,,,,0.0,,,,0.0,0.9778450000000001,0.243248,3.486,0.13866900000000001,0.9458865,0.0396361,2.9619999999999997,0.126288,0.9750559999999999,-0.09106130000000001,2.698,0.17256,0.7615725,-0.1672615,2.909,0.266556,1.00053,-0.5907479999999999,3.781,0.32154099999999997,0.8391209999999999,-0.803247,3.213,0.29485300000000003,0.7917339999999999,-0.180458,2.9035,0.25644,1.0005700000000002,-0.590501,3.781,0.29359,0.8391209999999999,-0.8031590000000001,3.213,0.278045,,,,0.0,,,,0.0,,,,0.0,0.9849646666666666,0.50641,4.216666666666667,0.0,
C:\Users\ynishida\Documents\python\test0111\hiranokun_test\smalljpegs_json\000033_s_keypoints.json,,,,0.0,0.918643,0.21195,3.509,0.163353,1.10032,0.252933,4.413,0.11786500000000001,,,,0.0,,,,0.0,1.0640399999999999,0.200969,3.7119999999999997,0.166776,0.942534,0.0111101,2.908,0.13475399999999998,0.972512,-0.09105210000000001,2.6910000000000003,0.18931900000000002,0.761041,-0.171663,2.907,0.28941,0.953975,-0.591304,3.783,0.328004,0.838398,-0.802826,3.2110000000000003,0.316449,0.8316469999999999,-0.18931199999999998,2.9010000000000002,0.281384,0.841995,-0.46922299999999995,3.005,0.324868,0.845223,-0.790371,3.161,0.323329,,,,0.0,,,,0.0,,,,0.0,0.9846563333333334,0.5063529999999999,4.215333333333333,0.0,
C:\Users\ynishida\Documents\python\test0111\hiranokun_test\smalljpegs_json\000034_s_keypoints.json,,,,0.0708084,1.0709,0.32169699999999996,4.405,0.247981,1.0900101764705883,0.2525777647058824,4.361235294117647,0.174213,,,,0.0,,,,0.0,0.925105,0.258237,3.533,0.22610100000000002,0.9434646666666666,0.023472766666666665,2.9203333333333332,0.157106,0.976189,-0.0749082,2.7239999999999998,0.190029,0.7507,-0.162364,2.9019999999999997,0.338303,0.978031,-0.59135,3.785,0.39612600000000003,0.835419,-0.809649,3.199,0.389901,0.7987,-0.1855365,2.9130000000000003,0.32682,0.8423729999999999,-0.469354,3.0060000000000002,0.38516,0.8382879999999999,-0.802762,3.1719999999999997,0.37082600000000004,,,,0.0,,,,0.07508889999999999,,,,0.0,0.984348,0.506296,4.2139999999999995,0.11809700000000001,
C:\Users\ynishida\Documents\python\test0111\hiranokun_test\smalljpegs_json\000035_s_keypoints.json,,,,0.0,1.0764533333333333,0.31745399999999996,4.4093333333333335,0.156067,1.0797003529411764,0.2522225294117647,4.309470588235294,0.12049800000000001,,,,0.0,,,,0.0,0.9498190000000001,0.24441500000000002,3.503,0.136381,0.9443953333333334,0.03583543333333333,2.9326666666666665,0.128813,0.980698,-0.082912,2.714,0.184601,1.1729100000000001,-0.24477600000000002,4.376,0.279712,0.9770179999999999,-0.590679,3.7809999999999997,0.34645,0.837111,-0.7921239999999999,3.168,0.343539,0.765753,-0.18176099999999998,2.925,0.26423,0.759165,-0.472876,3.0860000000000003,0.342721,0.810262,-0.814867,3.3,0.321207,,,,0.0,,,,0.0,,,,0.0,0.9952840000000001,0.508743,4.233,0.0,
C:\Users\ynishida\Documents\python\test0111\hiranokun_test\smalljpegs_json\000036_s_keypoints.json,,,,0.0,1.0820066666666668,0.31321099999999996,4.413666666666667,0.23503800000000002,1.0693905294117647,0.2518672941176471,4.2577058823529415,0.162858,,,,0.0,,,,0.0,0.9497899999999999,0.24477800000000002,3.503,0.201219,0.945326,0.0481981,2.945,0.15270799999999998,0.992642,-0.07561060000000001,2.747,0.20085699999999998,0.778339,-0.173414,2.938,0.29634299999999997,0.9760049999999999,-0.590008,3.7769999999999997,0.33011599999999997,0.83542,-0.799912,3.199,0.340208,0.76563,-0.17714249999999998,2.9245,0.273847,0.835675,-0.47612899999999997,3.05,0.288992,0.846551,-0.810289,3.281,0.29886,,,,0.0,,,,0.0,,,,0.0,1.0062200000000001,0.5111899999999999,4.252,0.118473,
C:\Users\ynishida\Documents\python\test0111\hiranokun_test\smalljpegs_json\000037_s_keypoints.json,,,,0.0,1.08756,0.30896799999999996,4.418,0.25793299999999997,1.0590807058823528,0.25151205882352945,4.2059411764705885,0.0,,,,0.0,,,,0.0,0.924226,0.257364,3.53,0.21861799999999998,0.9464525,0.038987,2.9485,0.148952,0.9775130000000001,-0.07891300000000001,2.7165,0.14811,1.1795200000000001,-0.24608200000000002,4.4,0.324777,0.836405,-0.476739,3.053,0.400673,0.8386459999999999,-0.803221,3.173,0.44260200000000005,0.7655069999999999,-0.172524,2.924,0.303494,0.77571,-0.477062,3.114,0.373732,0.8075829999999999,-0.82225,3.2889999999999997,0.386517,,,,0.0,,,,0.0,,,,0.0,1.00794,0.528909,4.288,0.06987389999999999,
C:\Users\ynishida\Documents\python\test0111\hiranokun_test\smalljpegs_json\000038_s_keypoints.json,,,,0.0,0.9206770000000001,0.24889899999999998,3.5589999999999997,0.183025,1.0487708823529411,0.25115682352941177,4.154176470588236,0.0,,,,0.0,,,,0.0,0.9732059999999999,0.24499,3.509,0.16175499999999998,0.9475790000000001,0.0297759,2.952,0.11880399999999999,0.962384,-0.0822154,2.6860000000000004,0.159844,1.20754,-0.25968,4.4030000000000005,0.28530900000000003,0.9192575000000001,-0.5340834999999999,3.42,0.31648699999999996,0.845758,-0.790794,3.1630000000000003,0.299981,1.1744700000000001,-0.272294,4.381,0.269557,0.998218,-0.589137,3.772,0.30139099999999996,0.845575,-0.819166,3.3169999999999997,0.26248299999999997,,,,0.0,,,,0.0,,,,0.0,1.00966,0.546628,4.324,0.058383000000000004,
C:\Users\ynishida\Documents\python\test0111\hiranokun_test\smalljpegs_json\000040_s_keypoints.json,,,,0.0,0.9375100000000001,0.219628,3.5389999999999997,0.185372,1.0384610588235295,0.25080158823529414,4.102411764705883,0.12160399999999999,,,,0.0,,,,0.0,0.96891,0.24398699999999998,3.4930000000000003,0.174713,0.9457620000000001,0.0390692,2.946,0.14669300000000002,0.9861620000000001,-0.0833702,2.7289999999999996,0.212727,1.1836,-0.24393499999999999,4.365,0.269866,1.00211,-0.591428,3.787,0.271219,0.844958,-0.7801319999999999,3.16,0.25004499999999996,1.000285,-0.2368575,3.6630000000000003,0.271667,0.845209,-0.46163699999999996,3.016,0.289028,0.885834,-0.780261,3.201,0.252017,,,,0.0,,,,0.0,,,,0.0,1.01156,0.5134029999999999,4.274,0.06349339999999999,
