,frame,Nose_x,Nose_y,Nose_z,Nose_s,Neck_x,Neck_y,Neck_z,Neck_s,Rshoulder_x,Rshoulder_y,Rshoulder_z,Rshoulder_s,Relbow_x,Relbow_y,Relbow_z,Relbow_s,Rwrist_x,Rwrist_y,Rwrist_z,Rwrist_s,Lshoulder_x,Lshoulder_y,Lshoulder_z,Lshoulder_s,Lelbow_x,Lelbow_y,Lelbow_z,Lelbow_s,Lwrist_x,Lwrist_y,Lwrist_z,Lwrist_s,Rhip_x,Rhip_y,Rhip_z,Rhip_s,Rknee_x,Rknee_y,Rknee_z,Rknee_s,Rankle_x,Rankle_y,Rankle_z,Rankle_s,Lhip_x,Lhip_y,Lhip_z,Lhip_s,Lknee_x,Lknee_y,Lknee_z,Lknee_s,Lankle_x,Lankle_y,Lankle_z,Lankle_s,Reye_x,Reye_y,Reye_z,Reye_s,Leye_x,Leye_y,Leye_z,Leye_s,Rear_x,Rear_y,Rear_z,Rear_s,Lear_x,Lear_y,Lear_z,Lear_s
C:\Users\ynishida\Documents\python\test0111\hiranokun_test\smalljpegs_json\000152_s_keypoints.json,,,,0,,,,0.30390700000000004,,,,0.0,,,,0.0,,,,0.0,,,,0,,,,0,,,,0,,,,0.405437,,,,0.400351,,,,0.34426999999999996,,,,0.355315,,,,0.350181,,,,0.30741799999999997,,,,0,,,,0,,,,0,,,,0,
C:\Users\ynishida\Documents\python\test0111\hiranokun_test\smalljpegs_json\000171_s_keypoints.json,,,,0,,,,0.0,,,,0.21356999999999998,,,,0.157328,,,,0.34525900000000004,,,,0,,,,0,,,,0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0,,,,0,,,,0,,,,0,
C:\Users\ynishida\Documents\python\test0111\hiranokun_test\smalljpegs_json\000176_s_keypoints.json,,,,0,,,,0.260804,,,,0.0,,,,0.0,,,,0.0,,,,0,,,,0,,,,0,,,,0.329228,,,,0.34482199999999996,,,,0.30761,,,,0.300138,,,,0.296383,,,,0.257657,,,,0,,,,0,,,,0,,,,0,
