,Nosex,Nosey,Neckx,Necky,RSholderx,RSholdery,RElbowx,RElbowy,RWristx,RWristy,LSholderx,LSholdery,LElbowx,LElbowy,LWristx,LWristy,RHipx,RHipy,RKneex,RKneey,RAnklex,RAnkley,LHipx,LHipy,LKneex,LKneey,LAnklex,LAnkley,REyex,REyey,LEyex,LEyey,REarx,REary,LEarx,LEary
0,541.95,312.342,583.181,371.312,562.512,371.283,556.663,483.089,527.142,556.684,606.776,371.299,624.277,486.161,606.658,594.936,539.06,580.292,541.983,727.323,586.056,856.719,580.174,586.109,583.161,733.246,603.882,880.376,536.133,294.831,550.904,294.747,432.949,312.326,588.998,294.85
1,538.994,309.538,583.146,374.206,556.763,374.186,556.631,483.242,524.364,559.632,609.647,374.259,624.252,488.971,603.878,594.974,539.027,580.189,530.133,721.459,577.184,839.259,580.198,583.177,588.99,736.08,603.856,877.439,536.079,294.784,550.827,294.713,0,0,583.234,294.868
2,536.111,312.342,580.281,374.188,556.635,374.19,553.799,483.186,524.346,562.568,609.599,374.214,624.248,488.951,603.875,594.949,539.055,580.171,524.333,718.503,571.358,836.124,580.215,583.158,591.91,736.21,603.844,880.258,533.255,294.803,550.768,294.721,0,0,583.15,294.863
3,533.208,312.369,580.198,371.257,553.869,371.334,550.836,483.214,524.252,568.404,603.865,368.426,624.226,488.958,603.808,597.709,538.968,577.401,515.437,718.506,556.711,839.277,580.167,583.152,589.058,736.189,603.78,880.264,530.359,294.846,550.681,294.72,0,0,580.271,294.872
4,530.379,312.395,577.328,371.288,553.666,371.274,541.978,483.054,0,0,603.767,371.271,621.505,488.974,603.775,597.727,530.271,577.244,506.676,715.505,550.62,853.879,577.42,580.252,589.02,736.182,603.76,880.273,530.209,294.881,547.893,294.739,0,0,580.183,294.871
5,530.286,312.362,577.336,371.332,553.687,371.314,544.871,480.238,0,0,603.75,371.318,621.445,488.954,603.722,597.726,530.139,577.302,503.796,715.587,530.343,856.878,577.366,583.119,586.15,736.136,603.806,880.362,530.089,294.867,547.814,294.705,0,0,577.433,294.863
6,530.232,312.428,574.374,377.124,547.752,377.124,530.312,477.244,0,0,600.961,374.224,621.409,488.981,600.974,597.815,527.267,577.29,503.572,715.637,524.196,859.863,577.343,580.299,586.13,736.193,603.782,880.431,527.322,294.925,547.739,294.788,0,0,577.319,294.873
7,527.305,315.251,574.18,380.141,541.944,380.124,530.27,480.184,0,0,600.774,380.064,621.335,491.904,600.897,597.9,524.332,583.125,497.777,718.511,503.782,865.695,577.25,591.972,586.107,739.062,603.828,883.237,527.067,297.683,536.156,294.887,0,0,574.445,294.937
8,527.193,312.486,565.515,383.06,530.173,383.007,527.218,480.141,0,0,600.756,383.014,621.269,491.986,600.831,597.872,521.305,580.286,486.178,730.25,486.129,880.295,574.451,589.006,583.186,739.142,603.796,880.426,524.254,294.928,533.233,294.884,0,0,574.299,297.743
9,524.286,312.48,559.669,383.028,527.333,382.998,524.339,480.231,0,0,597.909,380.162,618.469,488.987,600.786,597.883,512.595,586.146,483.147,736.124,480.042,880.349,574.307,594.883,580.335,741.967,603.79,880.449,521.29,294.943,530.305,294.911,0,0,571.411,297.813
