Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0.04,1.950075457,396.7186822,-1.01E-14,-205.0649148,417.5197173,-95.63042327,157.465532,440.2297421,-55.61412218,-252.1726469,69.47071299,-90.00645397,-295.8707844,-55.56945054,105.2797042,248.795515,86.21608381,-42.22828351,280.7683417,-7.275871125,144.946409,-175.7830605,-0.86406375,-1.31E-15,175.7830605,0.86406375,1.31E-15,-36.91153821,-490.7023069,124.9015767,-79.44723105,-873.1655303,67.74142655,35.8196913,-473.8110337,141.6834154,104.7640912,-852.4611013,113.0463814,-14.25209437,704.7295843,-87.98080998,0,0,0
0.044,1.769213098,396.6297198,-1.20E-14,-205.3326829,417.3204677,-95.56674537,157.2610913,440.1475082,-55.70322816,-252.3515615,69.08998394,-88.9836274,-295.9474816,-55.41063163,106.212554,248.7445025,86.20750943,-42.72782031,281.1498774,-7.467302637,144.3480108,-175.8007526,-0.784179749,-6.79E-16,175.8007526,0.784179749,6.79E-16,-36.26594523,-490.7770292,124.6202919,-78.22839165,-873.4085445,67.41479582,36.44511836,-473.7432228,141.9596603,105.9228381,-852.3139787,113.0213882,-14.66266308,704.6576447,-88.34309257,0,0,0
0.048,1.601648647,396.531159,2.19E-14,-205.5799653,417.1124788,-95.49502915,157.0570613,440.0543202,-55.80570127,-252.4134239,68.53809522,-87.7101977,-296.0094369,-55.25431912,107.2010228,248.6904459,86.1947136,-43.22303455,281.5358815,-7.634172433,143.761428,-175.8260444,-0.710187686,1.01E-15,175.8260444,0.710187686,-1.01E-15,-35.63778597,-490.9286179,124.4023247,-77.07240529,-873.6181789,67.16436969,37.10498367,-473.6782438,142.2624745,107.1017418,-852.178852,113.0417438,-15.06264408,704.561955,-88.71605849,0,0,0
0.052,1.476971772,396.4439078,-5.48E-16,-205.7809533,416.9237502,-95.40397304,156.8836675,439.9673176,-55.92693603,-252.403842,67.9002772,-86.26896638,-296.0600203,-55.08647151,108.2499067,248.6419283,86.17810909,-43.71545451,281.9310282,-7.756515591,143.180127,-175.859175,-0.655172225,-2.64E-15,175.859175,0.655172225,2.64E-15,-35.06178042,-491.1378787,124.2460714,-76.03924264,-873.7792841,67.02048659,37.76499971,-473.5926758,142.607108,108.2374989,-852.0355334,113.1247849,-15.40693177,704.456619,-89.11149602,0,0,0
0.056,1.407679678,396.3771282,-1.96E-14,-205.927324,416.7796653,-95.28311765,156.7557135,439.8972019,-56.06480243,-252.3707363,67.26400349,-84.77678295,-296.0991462,-54.90825751,109.345415,248.6101555,86.15051175,-44.21398984,282.3360763,-7.825790234,142.6008891,-175.8999314,-0.624684779,-2.25E-15,175.8999314,0.624684779,2.25E-15,-34.54666752,-491.3837371,124.1339108,-75.14194603,-873.8903898,66.97595886,38.41085653,-473.4764358,142.9915594,109.3077964,-851.8754628,113.2634391,-15.67904589,704.3501462,-89.52882288,0,0,0
0.06,1.394565106,396.3347864,-1.97E-14,-206.0211172,416.7037235,-95.1180192,156.6767189,439.8497939,-56.21641216,-252.3484911,66.6941777,-83.32559407,-296.1244803,-54.72473706,110.4756175,248.6047877,86.10389304,-44.72788612,282.7515108,-7.836800932,142.0219585,-175.9464273,-0.619094655,-6.24E-16,175.9464273,0.619094655,6.24E-16,-34.08398112,-491.6382916,124.0508388,-74.36410284,-873.9536399,67.01434401,39.0421315,-473.3267222,143.4085903,110.315963,-851.6949246,113.4467431,-15.88130511,704.24882,-89.96152347,0,0,0
0.064,1.429438178,396.3185172,2.94E-14,-206.0709015,416.712976,-94.89038406,156.6420203,439.8273984,-56.3777391,-252.3557978,66.22691375,-81.95559393,-296.1349058,-54.53594812,111.6404233,248.6287249,86.03437121,-45.26010043,283.1781994,-7.789677006,141.4433292,-175.9963897,-0.634782246,-3.70E-16,175.9963897,0.634782246,3.70E-16,-33.6589801,-491.8700879,123.9933509,-73.67954638,-873.9705339,67.12482466,39.66321453,-473.1432121,143.8530832,111.2745588,-851.4921509,113.6707829,-16.02586784,704.1595659,-90.40134291,0,0,0
0.068,1.500801534,396.3278537,4.60E-15,-206.0883284,416.8111223,-94.58769781,156.6436605,439.8281068,-56.54298881,-252.3979062,65.8761561,-80.66783619,-296.1318577,-54.3361745,112.8495751,248.6770488,85.94502538,-45.80917562,283.6170584,-7.690656579,140.8670845,-176.0476088,-0.666651407,1.27E-16,176.0476088,0.666651407,-1.27E-16,-33.25948929,-492.0522129,123.9700393,-73.06662632,-873.942879,67.30727881,40.2759453,-472.9263315,144.3248394,112.1922409,-851.2666774,113.9419192,-16.12614698,704.0886129,-90.84216603,0,0,0
0.072,1.597507058,396.361765,5.20E-15,-206.0880181,416.9845039,-94.2116045,156.6716551,439.847208,-56.70863976,-252.4681055,65.6448849,-79.44570971,-296.1167761,-54.11813183,114.1155261,248.7397543,85.84553636,-46.36875753,284.0695808,-7.548889063,140.2981803,-176.0981483,-0.709750687,9.33E-16,176.0981483,0.709750687,-9.33E-16,-32.876608,-492.1673873,123.9969908,-72.50920588,-873.8736068,67.57083315,40.87939745,-472.6773068,144.8279489,113.0732343,-851.0187245,114.2745849,-16.19489785,704.0378652,-91.28357882,0,0,0
0.076,1.709435292,396.4187378,-5.78E-15,-206.0850493,417.2046907,-93.77981348,156.7140389,439.8788151,-56.8777276,-252.5554825,65.52857616,-78.26278387,-296.0876552,-53.8753703,115.4493997,248.8040792,85.74843785,-46.9268834,284.5375985,-7.372235302,139.742691,-176.145823,-0.759575312,-1.69E-16,176.145823,0.759575312,1.69E-16,-32.50172981,-492.2084123,124.09261,-71.99086132,-873.7665849,67.93189261,41.47391553,-472.3994834,145.3693207,113.9237537,-850.7484837,114.6884285,-16.24578076,704.0025315,-91.73371258,0,0,0
