Time,R11,R12,R13,R21,R22,R23,R31,R32,R33
0.0,0.9914536579520038,0.05622625701151746,0.1177210777901133,-0.055782799175790335,0.9984179584154141,-0.007061135157310724,-0.1179318593498151,0.00043397703988573214,0.9930215950392137
0.004,0.9915239552632645,0.05643583318983998,0.11702667589596913,-0.05599506635853656,0.9984061310634029,-0.007053367884228012,-0.1172382134058462,0.0004406667399828995,0.9931037242555429
0.008,0.9916018389277477,0.05658899591317523,0.1162904922022778,-0.05615120861736475,0.9983974570529565,-0.007039852342148608,-0.11650250986961001,0.0004508788403882409,0.9931902949094663
0.012,0.9916945534775784,0.05664226313815125,0.11547106403551799,-0.056207943470562634,0.9983944286259641,-0.007016550394947717,-0.11568310029436583,0.00046788377107648884,0.9932860622152414
0.016,0.9918056406763618,0.05657649232385762,0.11454550029957605,-0.056146114816243264,0.9983981451961373,-0.006982654219837468,-0.11475706912252912,0.0004941510306233768,0.9933934622802619
0.02,0.9919323277525822,0.05640910998921421,0.11352651439011323,-0.055982962983426386,0.9984075981899908,-0.0069408740148743315,-0.1137372630888407,0.0005293266654725738,0.9935107220349165
0.024,0.9920635793138248,0.0562120025168474,0.11247250940602338,-0.05579018317336051,0.9984186942386835,-0.006896843930761312,-0.11268234138730418,0.0005672457741903391,0.99363090137722
0.028,0.9921816010016924,0.056106971600620344,0.11147949753890105,-0.05568947065920977,0.9984245852853778,-0.006857868139471426,-0.11168864531104168,0.0005960163827831792,0.9937430710566266
0.032,0.9922682470147556,0.05622445777306476,0.11064599547380374,-0.055811195134643735,0.9984179719723915,-0.00683108631037834,-0.11085502453162355,0.0006029847941502423,0.9938364050211842
0.036000000000000004,0.9923152393509819,0.05663276555034093,0.11001452457709245,-0.05622361748274059,0.9983949072382032,-0.006820120085016504,-0.11022418332180116,0.0005822945471975823,0.9939065802901711
0.04,0.9923309262406382,0.05728554588113249,0.109534008689071,-0.05688043126817048,0.9983576890158408,-0.006822120029487541,-0.10974492865341776,0.0005394590350202912,0.9939596368157039
0.044,0.9923348303897899,0.05804645308366961,0.10909717539731295,-0.057645422350433934,0.9983137640728938,-0.006828890440655098,-0.10930960468918922,0.00048759308416045837,0.9940076320510207
0.048,0.9923457116612949,0.05877193083978874,0.10860869529094345,-0.05837515102921359,0.9982713393350536,-0.006831896114163066,-0.10882247143744908,0.0004395538207105206,0.9940611030025691
0.052000000000000005,0.9923747667314797,0.05935837212908818,0.10802271063450507,-0.05896608186003154,0.9982366558338993,-0.006824964441611448,-0.1082373481969943,0.0004032464976780803,0.9941249991060204
0.056,0.9924290120039214,0.05973365247783777,0.107315175509232,-0.05934632222564541,0.998214278063194,-0.006802140035787453,-0.10752985711517629,0.00038188012975628696,0.9942017823341278
0.06,0.9925150020348182,0.05984678809672562,0.1064534296785695,-0.05946539155844944,0.9982075040213669,-0.006756191399977155,-0.1066669486890143,0.0003753264425199501,0.9942947355726252
0.064,0.9926378605266729,0.05967748025858027,0.10539770490393276,-0.05930359940892354,0.9982176382218757,-0.006680556854531823,-0.10560852686301259,0.00038091039296650334,0.9944077101275397
0.068,0.9927981032983001,0.0592384567887452,0.1041284366759915,-0.05887400088864652,0.998243782418522,-0.006572889937185542,-0.10433493234129045,0.0003950949894305916,0.9945421387720521
0.07200000000000001,0.9929902677816675,0.05858089897335254,0.10265771459742205,-0.05822762218653597,0.998282578436409,-0.0064372047394052915,-0.10285850526521337,0.00041456703783555063,0.9946959113361115
0.076,0.9932041342626207,0.05779066388336282,0.10102369450558758,-0.05744976707771578,0.998328627585583,-0.006282961547108278,-0.10121794280834949,0.000436475665324691,0.994864180450095
0.08,0.9934282293612787,0.05696843580932523,0.09927210297738841,-0.056640433309346476,0.9983758746213691,-0.006121624665543285,-0.09945961201736057,0.0004585798241356523,0.9950414942513207
0.084,0.9936533680626138,0.056203093194641666,0.09743816733281596,-0.05588795675037401,0.9984192419321011,-0.005962686474819032,-0.09761926258731803,0.00047922341667320134,0.9952237185260534
0.08800000000000001,0.9938745048869065,0.0555424225022763,0.09554322497375302,-0.055239825625116215,0.9984562040835226,-0.005811212612690448,-0.09571849455937606,0.0004978249710188996,0.9954083192185933
0.092,0.9940896298673437,0.054994837317712895,0.09360222037219976,-0.0547043583619042,0.998486506313482,-0.005668323042079896,-0.0937722825061858,0.0005143717481589943,0.9955935387773893
0.096,0.9942974123076835,0.054546934153958455,0.09163671672778412,-0.05426811745928353,0.9985110676284475,-0.005533466447286095,-0.09180210948376859,0.0005289592626614745,0.9957771301332585
0.1,0.9944951006585045,0.05418395781207316,0.089686082989785,-0.05391626770095093,0.9985308236693884,-0.005406501579781973,-0.08984726397298094,0.0005412004732686863,0.9959554087702005
0.104,0.9946785155964778,0.05389380572482434,0.08780722245511838,-0.053636591280057405,0.9985465213113298,-0.005287802274884855,-0.08796457631708246,0.0005499832152878817,0.9961234516021692
0.108,0.9948431321305209,0.05366655317122345,0.08606418258169442,-0.05341904343263844,0.9985587585958394,-0.005177975499960589,-0.08621802741583037,0.0005538070571498325,0.996276138952583
