Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0.044,95.933685,9.83841,384.727265,19.232515,-201.12595,430.578825,44.329015,163.31894,438.534395,-56.227385,-254.84775,91.765105,105.043545,-291.55209,-75.862335,-33.597685,248.08914,90.908055,123.275055,287.51383,-45.790005,9.047945,-175.56198,1.424955,-9.047945,175.56198,-1.424955,3.827975,-40.22403,-505.886285,-142.030125,-92.65628,-862.644145,20.931065,33.55997,-494.477075,-102.412075,93.84482,-855.545215,85.778475,-4.53818,705.184665,0,0,0
0.048,95.638335,9.954065,384.696225,19.108795,-201.130775,430.398375,43.786045,163.379665,438.479305,-54.999175,-254.860015,90.914365,106.311615,-291.516755,-75.841005,-34.325835,248.032805,90.962215,122.464445,287.949185,-45.765325,9.196195,-175.578765,1.524845,-9.196195,175.578765,-1.524845,3.934965,-39.876135,-505.978185,-141.704195,-92.096775,-862.882755,21.530425,33.990505,-494.482785,-101.885225,94.486355,-855.511015,84.918425,-4.511325,705.242735,0,0,0
0.052,95.371095,10.07864,384.6694,19.020385,-201.11648,430.23923,43.268255,163.43759,438.42477,-53.645625,-254.79288,89.9548,107.612305,-291.47098,-75.81619,-35.026675,247.97867,91.0029,121.688355,288.38315,-45.72,9.326475,-175.60428,1.61343,-9.326475,175.60428,-1.61343,4.051945,-39.54782,-506.13974,-141.324885,-91.58542,-863.08687,22.142945,34.45261,-494.48166,-101.346675,95.15195,-855.48202,84.080145,-4.48361,705.29111,0,0,0
0.056,95.13132,10.214535,384.65637,18.98044,-201.084285,430.12488,42.77707,163.496525,438.38013,-52.25711,-254.699765,89.0011,108.93228,-291.414365,-75.78345,-35.71158,247.935305,91.02368,120.94614,288.816775,-45.64557,9.43741,-175.638485,1.68634,-9.43741,175.638485,-1.68634,4.17044,-39.235535,-506.34607,-140.89316,-91.112545,-863.25397,22.77274,34.944215,-494.46359,-100.79501,95.841245,-855.44966,83.26139,-4.456485,705.33875,0,0,0
0.06,94.914795,10.364045,384.66223,19.003235,-201.033415,430.07605,42.310425,163.561795,438.3501,-50.906255,-254.618015,88.13928,110.260075,-291.345675,-75.74206,-36.393555,247.912075,91.01721,120.237485,289.250825,-45.53637,9.529115,-175.679535,1.7442,-9.529115,175.679535,-1.7442,4.289005,-38.932465,-506.56637,-140.414735,-90.665315,-863.38379,23.419985,35.462985,-494.42413,-100.228885,96.554225,-855.40973,82.460815,-4.429295,705.39148,0,0,0
0.064,94.71872,10.52527,384.68942,19.10483,-200.96375,430.10458,41.87039,163.63653,438.33676,-49.62589,-254.56604,87.41293,111.59335,-291.26612,-75.69205,-37.07498,247.91363,90.9808,119.56558,289.68518,-45.39066,9.60062,-175.72522,1.79007,-9.60062,175.72522,-1.79007,4.4155,-38.63202,-506.76944,-139.89438,-90.2323,-863.47675,24.08469,36.00433,-494.36151,-99.64304,97.289,-855.36025,81.68191,-4.40167,705.4548,0,0,0
0.068,94.543555,10.692445,384.737515,19.295075,-200.879025,430.208945,41.465125,163.720395,438.338585,-48.418055,-254.547245,86.832975,112.937955,-291.179565,-75.633575,-37.749175,247.937495,90.919885,118.935945,290.119135,-45.211945,9.649995,-175.773435,1.826935,-9.649995,175.773435,-1.826935,4.563635,-38.329715,-506.931645,-139.334805,-89.805425,-863.535385,24.767425,36.561155,-494.275705,-99.029325,98.040775,-855.301065,80.932345,-4.375005,705.533165,0,0,0
0.072,94.39322,10.859065,384.80469,19.57065,-200.788515,430.37353,41.10379,163.809505,438.35193,-47.26956,-254.552915,86.39514,114.30271,-291.089295,-75.56769,-38.40256,247.976195,90.84619,118.35513,290.553035,-45.00763,9.67569,-175.822325,1.85712,-9.67569,175.822325,-1.85712,4.74759,-38.022525,-507.04056,-138.73758,-89.379215,-863.56438,25.46823,37.125425,-494.16858,-98.37985,98.803285,-855.23335,80.21982,-4.352545,705.62744,0,0,0
0.076,94.274415,11.02048,384.887905,19.913815,-200.70273,430.572725,40.791435,163.89822,438.372775,-46.157475,-254.57004,86.086645,115.695985,-290.99472,-75.495945,-39.016115,248.01974,90.772435,117.828975,290.98825,-44.785975,9.677125,-175.86972,1.883025,-9.677125,175.86972,-1.883025,4.977715,-37.70828,-507.093995,-138.103585,-88.94913,-863.569745,26.185295,37.69015,-494.045075,-97.688965,99.5712,-855.159095,79.547725,-4.33798,705.733495,0,0,0
0.08,94.19314,11.173955,384.981635,20.29934,-200.629885,430.777285,40.52804,163.982485,438.398135,-45.05075,-254.591795,85.884345,117.12741,-290.890135,-75.417235,-39.57059,248.057925,90.708925,117.36172,291.426085,-44.554195,9.65439,-175.913085,1.907045,-9.65439,175.913085,-1.907045,5.25839,-37.385435,-507.098535,-137.43344,-88.510065,-863.559085,26.91488,38.250305,-493.913485,-96.95432,100.341615,-855.080615,78.91519,-4.331965,705.843815,0,0,0
0.084,94.15326,11.317205,385.0791,20.7049,-200.572695,430.96142,40.30994,164.061465,438.42688,-43.91876,-254.622255,85.75793,118.61096,-290.768245,-75.3255,-40.05121,248.082395,90.66357,116.95654,291.864935,-44.31769,9.60828,-175.949765,1.93085,-9.60828,175.949765,-1.93085,5.58905,-37.055355,-507.0679,-136.72772,-88.056825,-863.54267,27.65344,38.800725,-493.78452,-96.17596,101.112545,-855.0008,78.32001,-4.332395,705.95178,0,0,0
0.088,94.156225,11.448115,385.17374,21.115515,-200.531185,431.10806,40.130225,164.135805,438.45743,-42.742585,-254.669375,85.68008,120.161655,-290.625065,-75.21262,-40.447355,248.090695,90.64004,116.614845,292.299315,-44.08054,9.540495,-175.977475,1.95419,-9.540495,175.977475,-1.95419,5.967805,-36.721685,-507.01596,-135.987635,-87.584775,-863.53275,28.398475,39.334715,-493.66962,-95.356595,101.882015,-854.92351,77.760715,-4.338135,706.05386,0,0,0
0.092,94.19946,11.563015,385.259945,21.52161,-200.503755,431.208675,39.97998,164.204745,438.487365,-41.51654,-254.742885,85.630915,121.78882,-290.460055,-75.072395,-40.75336,248.085115,90.634455,116.33545,292.720125,-43.843875,9.45343,-175.994235,1.975035,-9.45343,175.994235,-1.975035,6.39313,-36.387485,-506.949645,-135.21497,-87.091885,-863.540835,29.14612,39.842805,-493.579375,-94.50128,102.646755,-854.853605,77.23523,-4.351775,706.149475,0,0,0
0.096,94.2741,11.657475,385.33041,21.91491,-200.487365,431.26132,39.85034,164.266415,438.51389,-40.23865,-254.860415,85.59299,123.49334,-290.274715,-74.90268,-40.97406,248.069395,90.64035,116.11602,293.119385,-43.60391,9.35022,-175.998715,1.99094,-9.35022,175.998715,-1.99094,6.8609,-36.053345,-506.87048,-134.4123,-86.576595,-863.57457,29.88812,40.315975,-493.52258,-93.61786,103.404485,-854.79614,76.73999,-4.376835,706.24008,0,0,0
0.1,94.366705,11.728425,385.377105,22.288395,-200.477815,431.269805,39.735415,164.318335,438.535195,-38.903315,-255.047145,85.546545,125.269955,-290.070955,-74.703455,-41.123225,248.045935,90.655555,115.954835,293.493685,-43.351165,9.236145,-175.990265,2.000945,-9.236145,175.990265,-2.000945,7.362615,-35.717865,-506.779755,-133.583185,-86.036895,-863.635905,30.613165,40.749055,-493.505005,-92.715575,104.154385,-854.754865,76.268375,-4.416595,706.328405,0,0,0
