Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0.0,23.640717202029055,394.13078021495727,-2.7053909155159684e-17,-190.25745467660363,430.0683230280348,-71.48463185070489,174.06756848205026,430.06832302803485,-71.48463185070489,-251.9664006047608,81.32655537615534,-62.710244830839564,-283.21968100711365,-42.46783895801364,129.7205187619427,247.49776439095444,70.83943243126747,-67.57574402021496,291.54758401244067,-22.721831391130543,118.83594381673788,-174.40253366782002,9.812522686574203,20.744908151582433,174.40253366782002,-9.812522686574203,-20.744908151582433,-51.93218146458903,-489.14997060290506,133.90407866854855,-127.29025943899741,-864.574786995924,76.62620237250553,23.578692888144364,-477.8814383204058,133.03402112758866,64.65815760566284,-860.9749551719946,99.42492290361014,16.03910553851454,704.2502665759994,-80.4080606795701,0.0,0.0,0.0
0.004,23.770535324594803,394.3912722212304,-4.84202582066056e-18,-190.2175221681528,430.08208375949016,-71.59989118015164,174.20376972805693,430.08208375949016,-71.59989118015164,-252.42372377226312,81.93225012835074,-62.938975055942315,-283.523324613528,-41.9794104231666,130.4158124096419,247.4608278187832,70.86736696994706,-67.56958904671535,291.7643843665836,-23.22408865822728,118.15028075399644,-174.41295734119228,9.849752059208269,20.622662120233127,174.41295734119228,-9.849752059208269,-20.622662120233127,-51.99494350918003,-489.2645626694672,132.99324928929778,-126.79266089888681,-864.9481207554015,76.68455351996943,23.45846546543149,-477.80671861172414,133.30367997858448,64.74642713046714,-860.758261746114,99.40396291760348,16.083040723292065,704.3281240982398,-80.93266289017986,0.0,0.0,0.0
0.008,23.89101007297178,394.6527832638469,-2.981379719832605e-17,-190.186661177997,430.1008532128925,-71.71455191670874,174.3345009897481,430.1008532128925,-71.71455191670876,-252.87274444659872,82.5070851226958,-63.123971479415495,-283.8171232659876,-41.48769611993513,131.11277347139048,247.41678994883458,70.89420044193243,-67.58232284344031,291.98761474829405,-23.689226387041575,117.48609190052647,-174.42154622581253,9.876928667336367,20.492648473321363,174.42154622581253,-9.876928667336367,-20.492648473321363,-52.037822666243166,-489.34819544088384,132.12158008835553,-126.27197620306174,-865.3067158068536,76.73820374263772,23.353274994301504,-477.7135512963441,133.59515159617138,64.85875881079342,-860.5238544477842,99.41376307219804,16.124982426279583,704.4101449555525,-81.4648518422091,0.0,0.0,0.0
0.012,23.996928611619893,394.9164082628592,5.7848300267473345e-18,-190.16984764039307,430.1283276565827,-71.82831996965352,174.45683191632463,430.1283276565827,-71.82831996965352,-253.3116805543398,83.0448667616722,-63.24181906721028,-284.0913073771465,-40.988874275939125,131.81267969690367,247.3649189647054,70.92120530273603,-67.62448847581017,292.22062483647665,-24.08908194865616,116.8592750444945,-174.42717306859322,9.886302843137678,20.34726931331583,174.42717306859322,-9.886302843137678,-20.34726931331583,-52.045545478366094,-489.37494479817013,131.32203109517764,-125.71130761179218,-865.6367774645104,76.78143994449906,23.277101178866733,-477.5841316958324,133.92651422848775,65.01626174634157,-860.2581316506058,99.47878198640188,16.162153544560145,704.501227036373,-82.0100543535835,0.0,0.0,0.0
0.016,24.090109276503735,395.18119220470544,-1.2822238478924174e-17,-190.1649151334159,430.1667893999251,-71.94036213950281,174.57272599521463,430.1667893999251,-71.94036213950281,-253.74981341043312,83.56391742620839,-63.29141547922999,-284.3372764603922,-40.47993757189606,132.52121625697347,247.3110510778958,70.95213328551372,-67.701013230999,292.4658699617676,-24.404675009320076,116.2781718063417,-174.42916005872897,9.874434310818781,20.18236069336496,174.42916005872897,-9.874434310818781,-20.18236069336496,-52.00675914441326,-489.3275680964887,130.61943456334137,-125.10473836612286,-865.928213670506,76.81151075320128,23.24145949405405,-477.40598894996145,134.30934906628204,65.23379278130285,-859.9552293574774,99.61440697095992,16.194716372949248,704.6059332677983,-82.57037884342915,0.0,0.0,0.0
0.02,24.17675882420078,395.4405673809964,-5.3150286600481375e-17,-190.16483270195266,430.2155313400705,-72.04650548696091,174.68666538653048,430.2155313400705,-72.0465054869609,-254.2033638097813,84.08537760969551,-63.28263155069657,-284.54848576416236,-39.96288123395917,133.2479551173997,247.26138250408434,70.99036252044053,-67.81776211225917,292.7238670213286,-24.631036024073804,115.7435700534502,-174.4276476716516,9.84439791877001,20.00027894861259,174.4276476716516,-9.84439791877001,-20.00027894861259,-51.91555104380348,-489.2020459359675,130.02595379170924,-124.45680249311927,-866.1775298179888,76.82115806846173,23.2543732041653,-477.1784625324554,134.74227586865902,65.51760024273874,-859.6193909556987,99.81822080708918,16.2258220595693,704.7257465118439,-83.13967101833066,0.0,0.0,0.0
0.024,24.26308208920269,395.6780457689321,2.4215532335222678e-17,-190.1597820918096,430.2679613584864,-72.13968646144608,174.80260971725744,430.2679613584864,-72.13968646144608,-254.67780258789134,84.60653744298484,-63.219811526478686,-284.7241325477348,-39.44996427047043,133.99767342741956,247.21918181481422,71.03329619196717,-67.98471670690923,292.9897078632642,-24.78930962783696,115.24556470278222,-174.42383490563515,9.808985938094875,19.811720257399102,174.42383490563515,-9.808985938094875,-19.811720257399102,-51.77652933145888,-489.0126101631604,129.5317851517906,-123.78605979761821,-866.3914890285218,76.78602533933703,23.315714967327057,-476.9180015011253,135.20380317900768,65.85944915748384,-859.2678609511952,100.05967274567261,16.262764905694862,704.8545409235526,-83.70117100761615,0.0,0.0,0.0
0.028,24.35253399364343,395.8676658982297,-1.0872877035242978e-17,-190.14266864641775,430.3082271635176,-72.2135770071359,174.92360555008221,430.30822716351753,-72.2135770071359,-255.1504967514713,85.0859929425692,-63.08681223149296,-284.86947105744906,-38.96638937986596,134.76312792652456,247.18570003278978,71.06946303644044,-68.21223857111477,293.2537491429723,-24.92553145399034,114.76418205257998,-174.41987236998838,9.789891643752636,19.634227484828717,174.41987236998838,-9.789891643752636,-19.634227484828717,-51.605085364368996,-488.79527486386564,129.10474497042827,-123.12252772194827,-866.5895279378398,76.66289916835032,23.41767922718521,-476.65844796404434,135.65407496678785,66.2394474952324,-858.9317651640913,100.28083055422232,16.313710764424613,704.9745324839242,-84.2312721258115,0.0,0.0,0.0
0.032,24.44715922388518,395.9809825157287,-9.79177150719781e-18,-190.10990594208982,430.31300927308973,-72.26557358056418,175.05294470627098,430.31300927308973,-72.26557358056418,-255.57173705885694,85.449603461771,-62.83878210894499,-284.9907046180398,-38.54322417092397,135.53213805608536,247.16152890367482,71.0809265314696,-68.50358917539606,293.50878474825447,-25.091596727814736,114.27638711925987,-174.41895717209954,9.81038190348175,19.48587776970935,174.41895717209954,-9.81038190348175,-19.48587776970935,-51.41881594740083,-488.60379718096186,128.7051143936643,-122.49608687462619,-866.7987115788516,76.41238513069868,23.552255588995074,-476.4414323731866,136.05064386529543,66.6391199933015,-858.6488076826025,100.42032687356966,16.385005032429145,705.0600304745633,-84.7091626903124,0.0,0.0,0.0
0.036000000000000004,24.549471593890825,396.00452959094935,1.93387703054343e-18,-190.05963072036778,430.2642456885484,-72.29880531429811,175.19294725920005,430.2642456885484,-72.29880531429811,-255.8843873873074,85.62012233490012,-62.411956943123826,-285.0905596247443,-38.1975041743559,136.3018484962509,247.14474322170818,71.05410047240017,-68.84999484001307,293.75459655250114,-25.31901116586172,113.77005364992021,-174.42363521069984,9.882673728209097,19.37459184411358,174.42363521069984,-9.882673728209097,-19.37459184411358,-51.23075216959326,-488.48880796846936,128.31143206300803,-121.92619002138031,-867.0365577507163,76.03355207699659,23.715997949599934,-476.2954658303017,136.3737230188716,67.05072443890992,-858.4445085087699,100.45169079931114,16.47985281782533,705.0898503541822,-85.12857449399108,0.0,0.0,0.0
