Time,LegRFlex,LegRAdd,LegRRot,LegRKnee,LegLFlex,LegLAdd,LegLRot,LegLKnee
0.0,19.766889004816676,42.85581346875746,-1.745067222828909,32.60636034847187,26.222240744901946,52.64770398327977,-4.828218642595626,32.54716895724412
0.004,19.714807630515477,43.105541370001106,-1.743868276638392,32.384124068185734,26.23479526025626,52.589747034394044,-4.826345525918284,32.62625121784487
0.008,19.66752663775582,43.346974376435995,-1.7417586561977778,32.171869234266005,26.249698026614816,52.52796057425749,-4.824328724165596,32.70567200645012
0.012,19.627304103015,43.567431492882974,-1.739493996924513,31.976776525208845,26.267818935687465,52.45835893192343,-4.821386601903967,32.785209100725666
0.016,19.597184216416665,43.76119874942289,-1.7372633550266259,31.806070660419824,26.290476323802228,52.37862890319128,-4.81823045221646,32.8644388422384
0.02,19.577241852285784,43.92376182756888,-1.7372396288648384,31.66332624132229,26.317521929669297,52.28804468922671,-4.815904477507226,32.94300130168962
0.024,19.56394894031163,44.05213121286736,-1.7446180153542263,31.54869669997584,26.346988465041733,52.188608895596715,-4.816379915959064,33.02039587008199
0.028,19.549669080678303,44.14894215894446,-1.7678461599952244,31.45884230461618,26.3747145011576,52.084351652997405,-4.8218516513329615,33.096011903805014
0.032,19.525472204014843,44.2148950540067,-1.8159880704596898,31.38796309365458,26.39689234380683,51.981643274620986,-4.83598926011134,33.17005111901156
0.036000000000000004,19.487494486256683,44.25783072501413,-1.890973967225307,31.330898378109804,26.411631950662596,51.883047617572046,-4.8608709561384105,33.241697141247606
0.04,19.439995076689147,44.285973852389986,-1.984373082254125,31.28375552700946,26.42039732376009,51.78744598545658,-4.896155142803384,33.30998522307638
0.044,19.391733074502284,44.306551014013344,-2.082224421414293,31.245794188548288,26.42751129525675,51.691006481724926,-4.939100139755676,33.373577607829496
0.048,19.350347473280692,44.32627443283515,-2.1717957135586103,31.215131316060816,26.43508763620358,51.587470954789325,-4.983829584164647,33.432792723551
0.052000000000000005,19.319331082107496,44.351031746241325,-2.246488722671587,31.189530281740904,26.445752475366344,51.4763057985104,-5.028209424369967,33.488226409735155
0.056,19.298620341628006,44.38609517617431,-2.304893907433455,31.167261120541706,26.458643926337135,51.3564629278112,-5.069556620379289,33.54062525572459
0.06,19.287343063052784,44.43231815067252,-2.3492341393154925,31.147487200202864,26.4728835076442,51.23034667967817,-5.107849576706476,33.58971273366217
0.064,19.28563521374268,44.489113467857976,-2.3815330386657325,31.13026627988432,26.4893055550157,51.09713684560048,-5.143756706882012,33.63722088287298
0.068,19.29437988687079,44.55411842787523,-2.4035011177436685,31.116671307858027,26.508799874559145,50.96010050911298,-5.1796478425214545,33.68186171154899
0.07200000000000001,19.31521655888902,44.623171024839976,-2.4160812235352043,31.108869483697802,26.53380838463169,50.821090046399995,-5.217846446747659,33.724430855164194
0.076,19.349947020871365,44.69311403307716,-2.41950651295654,31.107738851448488,26.565868628065147,50.680534566693765,-5.260195554944268,33.763685031944476
0.08,19.399655735614814,44.761103746230084,-2.4139817516140156,31.113447408933226,26.607643047279858,50.54118942813359,-5.310142286019889,33.800366143399756
0.084,19.46414387337541,44.824041006349454,-2.39989716366742,31.124355415915264,26.660594613398235,50.40452995916799,-5.36979729995122,33.83447813119311
0.08800000000000001,19.542748315123596,44.8799020622794,-2.377264187534497,31.13854919446353,26.725109878280033,50.27141096926585,-5.439477989375584,33.86668328741796
0.092,19.63425026368862,44.926631164153704,-2.3460678071006598,31.15490441007316,26.801222696114134,50.14383629973782,-5.518811406311099,33.89844082076072
0.096,19.73501751672466,44.95985415215387,-2.3091348755950385,31.17129406861274,26.888084927700476,50.02661838852022,-5.607044540669404,33.93014615097912
0.1,19.846249848540438,44.99289122411267,-2.2619439727146227,31.18772298738108,26.982780991044578,49.923487003017556,-5.702552377829705,33.96124989226107
0.104,19.959138004398667,45.01448540361013,-2.214215728325408,31.200864516885822,27.084337642461787,49.83785643668434,-5.805453574033072,33.99338363207848
0.108,20.07149702299078,45.03179684566904,-2.167296122962272,31.210019247194122,27.188819189662258,49.76871834530433,-5.913781222258496,34.02447634751094
0.112,20.17887295253393,45.043760365135256,-2.125568762274593,31.2134143874161,27.295078088348696,49.714589694654265,-6.027753147791304,34.05577141342851
0.116,20.277939448076733,45.05003375574837,-2.0913546251848167,31.20937303900085,27.400310880588638,49.67474737974135,-6.145185024767966,34.08550984940365
0.12,20.367214117262122,45.051014707393314,-2.0647618473291525,31.196788230395033,27.503596221049467,49.643293318915056,-6.264943967200103,34.112563291537676
0.124,20.447898812118577,45.049151023823995,-2.0436971382038145,31.175325334781384,27.605782997887957,49.61814005055438,-6.386802038161458,34.1355630059012
0.128,20.521690257834948,45.04946581855776,-2.0254564210839576,31.143477543499916,27.70914822949001,49.59777658026876,-6.511728375890783,34.15424127968255
0.132,20.590682118308738,45.05608945958439,-2.0078622869554135,31.10113310260138,27.81627812427215,49.582195830687226,-6.64159009678994,34.168630262144255
0.136,20.656814640548962,45.07249201747006,-1.9892637434123672,31.047521343787945,27.9298815727238,49.57373657344218,-6.779109242121721,34.179176140617884
0.14,20.72223732228496,45.10059800253895,-1.9691204996768068,30.98352871921601,28.05132257056525,49.57179741024155,-6.9253700889629615,34.188306648260664
0.14400000000000002,20.790269524213773,45.1416392690037,-1.9467087736782969,30.913136872307497,28.181753496819486,49.57830974232475,-7.081289442074647,34.19678064550793
0.14800000000000002,20.8651274041787,45.198651709758614,-1.9198982500888158,30.840346377428496,28.321986289240776,49.59502436437607,-7.2465513597677464,34.20631728345378
