Frame#,sternumU,,,shoulderR,,,shoulderL,,,elbowRin,,,wristRin,,,elbowLin,,,wristLin,,,pvsR,,,pvsL,,,kneeRin,,,heelR,,,kneeLin,,,heelL,,,headT,,,pvCenter,,
Time,X3,Y3,Z3,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X9,Y9,Z9,X13,Y13,Z13,X15,Y15,Z15,X22,Y22,Z22,X23,Y23,Z23,X26,Y26,Z26,X28,Y28,Z28,X33,Y33,Z33,X35,Y35,Z35,X40,Y40,Z40,X41,Y41,Z41
0.496,855.19043,-882.66943,1321.58252,809.94873,-1085.1272,1381.3031,800.66663,-748.73035,1391.50806,901.33862,-1182.96082,1069.69275,1121.28601,-1111.54443,1015.09161,884.85901,-610.23853,1083.97314,1097.43335,-676.05511,1120.07385,737.40186,-1072.6239,949.74835,689.36475,-725.03088,958.07697,834.30396,-925.81854,471.87735,716.63788,-957.33051,104.28922,829.99304,-854.50214,480.52606,704.90979,-794.36151,120.02157,820.08197,-910.16711,1643.41943,713.383305,-898.82739,953.91266
0.5,854.04517,-882.39386,1319.50635,808.9281,-1084.39441,1379.65222,800.06458,-748.75421,1389.75391,902.1189,-1182.41406,1069.18237,1121.9928,-1109.4585,1016.2868,887.28015,-610.31433,1083.74182,1098.42822,-678.26874,1121.16675,735.09741,-1072.39087,948.38745,687.44635,-724.7829,956.84326,835.67303,-926.02759,471.79156,716.74261,-957.36615,104.42038,829.61914,-854.21021,479.85086,704.3999,-793.77972,119.37397,819.39087,-909.86285,1641.38342,711.27188,-898.586885,952.615355
0.504,852.92145,-882.11523,1317.40369,807.88959,-1083.65759,1377.92517,799.44604,-748.77759,1387.92798,902.89319,-1181.84619,1068.60815,1122.67175,-1107.36169,1017.44958,889.90906,-610.58319,1083.5592,1099.38428,-680.50323,1122.1748,732.78577,-1072.17224,946.93646,685.49976,-724.56885,955.53265,837.02246,-926.21436,471.63531,716.85687,-957.38983,104.5471,829.30988,-853.90155,479.16269,703.96112,-793.26984,118.77186,818.69763,-909.54669,1639.27429,709.142765,-898.370545,951.234555
0.508,851.82166,-881.83429,1315.26855,806.8385,-1082.91479,1376.12061,798.8103,-748.79596,1386.03052,903.67236,-1181.24927,1067.95593,1123.32117,-1105.2572,1018.56476,892.66736,-611.01569,1083.38037,1100.302,-682.75574,1123.10205,730.46509,-1071.9696,945.39471,683.52527,-724.3902,954.14905,838.34192,-926.3736,471.42242,716.97321,-957.40057,104.66624,829.06488,-853.57501,478.45648,703.62,-792.85321,118.22979,818.00812,-909.2179,1637.09229,706.99518,-898.1799,949.77188
0.512,850.73975,-881.55499,1313.08948,805.78198,-1082.16504,1374.23694,798.15796,-748.80603,1384.06299,904.45764,-1180.61816,1067.22375,1123.94226,-1103.14893,1019.62262,895.40564,-611.55524,1083.13354,1101.1803,-685.02356,1123.95117,728.13477,-1071.78345,943.7627,681.51794,-724.24274,952.69537,839.62415,-926.49988,471.17239,717.0838,-957.40021,104.77658,828.89191,-853.22784,477.73679,703.39087,-792.54651,117.76028,817.32495,-908.87592,1634.83936,704.826355,-898.013095,948.229035
0.516,849.66583,-881.28088,1310.85413,804.72888,-1081.4082,1372.27441,797.49097,-748.80652,1382.02881,905.24609,-1179.95117,1066.41724,1124.53931,-1101.03918,1020.61902,897.90796,-612.12085,1082.72412,1102.01721,-687.30475,1124.72217,725.79553,-1071.61304,942.04102,679.46899,-724.11578,951.17322,840.86365,-926.59113,470.90384,717.18237,-957.39215,104.87947,828.80957,-852.85541,477.02158,703.27844,-792.36188,117.37257,816.64709,-908.52081,1632.51733,702.63226,-897.86441,946.60712
0.52,848.59406,-881.01349,1308.55396,803.68604,-1080.64502,1370.23389,796.81158,-748.79828,1379.93115,906.03711,-1179.25537,1065.54431,1125.11768,-1098.92761,1021.55511,899.97705,-612.62793,1082.07007,1102.81006,-689.59705,1125.41284,723.4483,-1071.45789,940.23059,677.36566,-723.99359,949.58313,842.05054,-926.64984,470.62845,717.26477,-957.38086,104.97829,828.84613,-852.45184,476.3389,703.2807,-792.3053,117.07172,815.97211,-908.15375,1630.12683,700.40698,-897.72574,944.90686
0.524,847.52356,-880.7536,1306.18433,802.65637,-1079.87659,1368.1167,796.12048,-748.78308,1377.771,906.8302,-1178.55066,1064.61401,1125.68115,-1096.81201,1022.43616,901.54944,-613.01807,1081.14673,1103.55591,-691.89783,1126.01855,721.09393,-1071.31641,938.33221,675.19263,-723.85681,947.92773,843.16803,-926.68274,470.34946,717.3288,-957.37152,105.07748,829.03418,-852.01294,475.7197,703.39032,-792.37415,116.85752,815.29785,-907.77692,1627.66687,698.14328,-897.58661,943.12997
0.528,846.45343,-880.50348,1303.73975,801.64063,-1079.1051,1365.92383,795.41479,-748.76263,1375.54602,907.62158,-1177.86633,1063.63501,1126.23035,-1094.68945,1023.26892,902.70148,-613.27008,1079.99036,1104.25122,-694.20508,1126.53394,718.73169,-1071.18542,936.34729,672.93262,-723.68341,946.21118,844.1991,-926.69769,470.06586,717.37396,-957.36969,105.18161,829.4021,-851.53888,475.19019,703.59473,-792.55737,116.72311,814.62329,-907.39441,1625.13757,695.832155,-897.434415,941.279235
0.532,845.37848,-880.26526,1301.21277,800.6391,-1078.3335,1363.65808,794.69159,-748.73767,1373.25415,908.40723,-1177.22559,1062.61047,1126.76318,-1092.55896,1024.05786,903.56738,-613.39801,1078.66541,1104.89111,-696.51752,1126.95361,716.35938,-1071.06091,934.27734,670.56842,-723.4505,944.43701,845.13525,-926.70068,469.7785,717.40009,-957.38104,105.29408,829.96875,-851.03412,474.76871,703.87622,-792.83716,116.65505,813.9491,-907.01233,1622.54028,693.4639,-897.255705,939.357175
0.536,844.28955,-880.03967,1298.59448,799.65222,-1077.5658,1361.32275,793.95197,-748.70654,1370.89587,909.18896,-1176.63403,1061.53577,1127.27515,-1090.42139,1024.80273,904.28815,-613.4505,1077.24292,1105.47217,-698.83325,1127.27185,713.97516,-1070.93982,932.12366,668.08655,-723.14044,942.60577,845.9787,-926.69354,469.49234,717.40692,-957.41046,105.41617,830.74286,-850.50336,474.4664,704.21344,-793.19049,116.63624,813.27704,-906.63739,1619.87646,691.030855,-897.04013,937.364715
0.54,843.17493,-879.82648,1295.87598,798.67932,-1076.80579,1358.92041,793.1991,-748.66553,1368.47278,909.9743,-1176.08154,1060.4021,1127.76147,-1088.27771,1025.50061,904.99597,-613.50031,1075.79016,1105.99365,-701.15106,1127.48413,711.57861,-1070.8197,929.88782,665.48492,-722.75006,940.71301,846.73877,-926.67432,469.21478,717.39429,-957.46167,105.54643,831.72235,-849.9491,474.28763,704.58319,-793.58984,116.64951,812.60822,-906.27386,1617.14502,688.531765,-896.78488,935.300415
0.544,842.02368,-879.62494,1293.0498,797.7179,-1076.05652,1356.45129,792.43317,-748.61108,1365.98511,910.76965,-1175.55579,1059.20264,1128.21997,-1086.12817,1026.14941,905.79767,-613.62366,1074.35962,1106.45874,-703.47058,1127.58752,709.17139,-1070.69885,927.57172,662.77966,-722.2995,938.74884,847.42847,-926.63739,468.953,717.36304,-957.53601,105.6814,832.89294,-849.37085,474.22784,704.96124,-794.00378,116.68015,811.94165,-905.92285,1614.34375,685.975525,-896.499175,933.16028
0.548,840.83344,-879.43176,1290.1156,796.76538,-1075.31958,1353.91455,791.65076,-748.54285,1363.4303,911.57709,-1175.04944,1057.93677,1128.64893,-1083.97351,1026.745,906.76398,-613.88196,1072.97925,1106.87256,-705.79089,1127.57837,706.75574,-1070.57715,925.1781,660.00043,-721.82642,936.70007,848.0611,-926.5755,468.71161,717.3158,-957.63226,105.81712,834.2262,-848.76581,474.27094,705.32458,-794.40051,116.71655,811.27423,-905.58282,1611.47034,683.378085,-896.201785,930.939085
0.552,839.61597,-879.23969,1287.08142,795.82043,-1074.59583,1351.31018,790.84924,-748.46448,1360.80518,912.39435,-1174.55969,1056.60706,1129.04407,-1081.81775,1027.27917,907.92065,-614.30383,1071.64941,1107.23975,-708.10992,1127.45251,704.33319,-1070.45557,922.71057,657.17615,-721.36426,934.55499,848.64874,-926.48218,468.49179,717.25684,-957.74768,105.95134,835.68152,-848.13013,474.38943,705.65564,-794.75549,116.75056,810.60193,-905.25165,1608.52393,680.75467,-895.909915,928.63278
0.556,838.39221,-879.03668,1283.9624,794.88245,-1073.88489,1348.63965,790.0318,-748.3822,1358.10742,913.21619,-1174.08667,1055.21753,1129.39966,-1079.66724,1027.73975,909.24194,-614.87109,1070.35107,1107.56433,-710.42584,1127.20862,701.90417,-1070.33679,920.17358,654.32727,-720.9281,932.3078,849.20117,-926.35382,468.29132,717.19104,-957.87817,106.08369,837.21216,-847.46088,474.54904,705.94397,-795.05518,116.77671,809.92188,-904.92682,1605.50439,678.11572,-895.632445,926.24069
0.56,837.18506,-878.80811,1280.77759,793.95105,-1073.18445,1345.90527,789.20618,-748.30377,1355.33655,914.03601,-1173.63464,1053.77222,1129.71338,-1077.52771,1028.11792,910.66272,-615.52631,1069.05591,1107.84863,-712.7384,1126.84802,699.46924,-1070.22253,917.57178,651.46875,-720.51978,929.9585,849.72467,-926.19067,468.10461,717.12238,-958.01794,106.21294,838.77313,-846.75787,474.71609,706.18561,-795.29529,116.7907,809.23535,-904.6059,1602.41223,675.468995,-895.371155,923.76514
0.564,836.01367,-878.54059,1277.54553,793.026,-1072.48889,1343.1084,788.38165,-748.23584,1352.49353,914.84827,-1173.20898,1052.27588,1129.9895,-1075.40112,1028.41467,912.10968,-616.20331,1067.73486,1108.09375,-715.04846,1126.37231,697.02966,-1070.11267,914.90979,648.61346,-720.13446,927.51154,850.22375,-925.99884,467.92249,717.05377,-958.15863,106.33409,840.3269,-846.02411,474.86505,706.38098,-795.47687,116.78884,808.54688,-904.28705,1599.24963,672.82156,-895.123565,921.210665
0.568,834.88855,-878.22607,1274.27856,792.1076,-1071.79126,1340.24731,787.56738,-748.18225,1349.58276,915.64777,-1172.81067,1050.73181,1130.23486,-1073.28735,1028.64111,913.52942,-616.85492,1066.36694,1108.30066,-717.3573,1125.78333,694.58691,-1070.00708,912.19159,645.77148,-719.76355,924.97388,850.70251,-925.79169,467.73352,716.98627,-958.2901,106.43802,841.84631,-845.26617,474.98169,706.53308,-795.60297,116.76864,807.86145,-903.9696,1596.01941,670.179195,-894.885315,918.582735
0.572,833.802,-877.8642,1270.97571,791.19702,-1071.08533,1337.31982,786.77014,-748.1438,1346.61047,916.42786,-1172.43958,1049.14258,1130.45532,-1071.18481,1028.81506,914.89423,-617.46094,1064.94189,1108.47144,-719.66614,1125.08508,692.14124,-1069.90552,909.41992,642.95111,-719.40039,922.35406,851.16571,-925.58759,467.52713,716.9187,-958.40228,106.51344,843.3136,-844.49188,475.06061,706.64642,-795.67761,116.72889,807.18036,-903.65552,1592.72351,667.546175,-894.652955,915.88699
0.576,832.72571,-877.46399,1267.61975,790.29431,-1070.36658,1334.32446,785.992,-748.12067,1343.58154,917.18018,-1172.09509,1047.50732,1130.65479,-1069.08984,1028.9552,916.19342,-618.02386,1063.45691,1108.60864,-721.974,1124.28503,689.69275,-1069.80823,906.59644,640.16077,-719.04425,919.6615,851.61938,-925.40479,467.29614,716.84802,-958.487,106.54997,844.71704,-843.70917,475.10068,706.72778,-795.70599,116.66979,806.5,-903.34894,1589.36157,664.92676,-894.42624,913.12897
0.58,831.62366,-877.03961,1264.18872,789.39709,-1069.63171,1331.26147,785.22827,-748.11407,1340.49658,917.89862,-1171.76453,1045.81836,1130.83411,-1066.99805,1029.07605,917.42188,-618.5603,1061.90918,1108.7157,-724.2782,1123.39185,687.242,-1069.71521,903.72278,637.40759,-718.69769,916.90527,852.07196,-925.25543,467.03775,716.77075,-958.539,106.54048,846.04749,-842.92499,475.10178,706.78607,-795.69586,116.59339,805.81335,-903.05371,1585.93311,662.324795,-894.20645,910.314025
0.584,830.47052,-876.60254,1260.66907,788.49988,-1068.87817,1328.13159,784.46747,-748.12585,1337.35339,918.58093,-1171.42432,1044.06396,1130.99329,-1064.90637,1029.18518,918.57611,-619.09039,1060.29358,1108.79822,-726.57654,1122.41223,684.79016,-1069.62708,900.8009,634.69397,-718.36017,914.0918,852.53381,-925.14441,466.75284,716.68494,-958.55603,106.48235,847.29517,-842.14508,475.06375,706.8324,-795.65863,116.50391,805.11353,-902.76959,1582.43958,659.742065,-893.993625,907.44635
0.588,829.25574,-876.15906,1257.05908,787.59412,-1068.10461,1324.93677,783.69391,-748.15686,1334.14893,919.22864,-1171.05115,1042.23706,1131.13293,-1062.81567,1029.28235,919.65527,-619.63037,1058.60474,1108.86255,-728.86932,1121.3512,682.33893,-1069.54297,897.83307,632.0177,-718.02783,911.224,853.01514,-925.07159,466.44531,716.59216,-958.53827,106.37865,848.45129,-841.37274,474.9873,706.87769,-795.60675,116.40629,804.39587,-902.49182,1578.88281,657.178315,-893.7854,904.528535
0.592,827.97705,-875.71191,1253.36243,786.67035,-1067.31152,1321.67993,782.8924,-748.20532,1330.88098,919.84656,-1170.62646,1040.33728,1131.25671,-1060.72827,1029.3634,920.66241,-620.19073,1056.84009,1108.91016,-731.15936,1120.21619,679.8891,-1069.46045,894.82153,629.37567,-717.69861,908.30231,853.52594,-925.03442,466.12207,716.4975,-958.48767,106.23759,849.51068,-840.60919,474.87561,706.93079,-795.55176,116.3052,803.65833,-902.21448,1575.26489,654.632385,-893.57953,901.56192
0.596,826.63464,-875.26233,1249.58374,785.72247,-1066.5011,1318.36499,782.05261,-748.26813,1327.54761,920.44183,-1170.13342,1038.3689,1131.3728,-1058.64502,1029.42554,921.60278,-620.77728,1055.0022,1108.93652,-733.45081,1119.01917,677.43988,-1069.37549,891.7674,626.76526,-717.37311,905.32684,854.07715,-925.02899,465.79443,716.40741,-958.40759,106.07005,850.47217,-839.85541,474.7327,706.99652,-795.50317,116.20521,802.90039,-901.93311,1571.58716,652.10257,-893.3743,898.54712
0.6,825.23132,-874.81165,1245.72803,784.74683,-1065.67529,1314.99512,781.16895,-748.3421,1324.14844,921.02051,-1169.56323,1036.34216,1131.49292,-1056.55957,1029.47192,922.48242,-621.39197,1053.09766,1108.9314,-735.74823,1117.77148,674.98993,-1069.28418,888.67078,624.18298,-717.05219,902.29865,854.68097,-925.05035,465.479,716.3277,-958.30267,105.88789,851.33826,-839.11267,474.56091,707.07532,-795.46783,116.11131,802.12158,-901.64453,1567.85107,649.586455,-893.168185,895.484715
0.604,823.77362,-874.36133,1241.802,783.73914,-1064.83508,1311.5719,780.23743,-748.42407,1320.6842,921.58466,-1168.91821,1034.27026,1131.62915,-1054.45667,1029.51123,923.30823,-622.03455,1051.1333,1108.88293,-738.05408,1116.47827,672.53918,-1069.18384,885.53137,621.62366,-716.73492,899.21948,855.35095,-925.09192,465.19742,716.26221,-958.17896,105.70273,852.11365,-838.3811,474.35992,707.16394,-795.44946,116.0277,801.32031,-901.34631,1564.05786,647.08142,-892.95938,892.375425
0.608,822.26868,-873.91339,1237.81396,782.69385,-1063.98108,1308.09668,779.25311,-748.51044,1317.15698,922.13232,-1168.20813,1032.16504,1131.78882,-1052.31653,1029.55103,924.08734,-622.70203,1049.11572,1108.77954,-740.3678,1115.13721,670.08911,-1069.07214,882.34924,619.07971,-716.41541,896.0907,856.10095,-925.146,464.97345,716.21259,-958.04315,105.52451,852.80725,-837.65808,474.13037,707.25769,-795.44946,115.95683,800.49231,-901.03839,1560.20837,644.58441,-892.743775,889.21997
0.612,820.724,-873.46997,1233.77454,781.60651,-1063.11548,1304.57056,778.21362,-748.59784,1313.5708,922.65985,-1167.44531,1030.03601,1131.96826,-1050.12427,1029.59058,924.82544,-623.388,1047.04968,1108.61255,-742.68665,1113.74194,667.64276,-1068.94678,879.12555,616.53894,-716.08221,892.91272,856.94092,-925.20703,464.82404,716.17828,-957.90289,105.36115,853.43341,-836.93793,473.87808,707.35132,-795.46808,115.89916,799.62982,-900.7226,1556.30396,642.09085,-892.514495,886.019135
0.616,819.15192,-873.03076,1229.69873,780.47491,-1062.24182,1300.99548,777.12115,-748.685,1309.9303,923.16516,-1166.64172,1027.89075,1132.14905,-1047.88062,1029.61377,925.52441,-624.08569,1044.93848,1108.37793,-745.00769,1112.28955,665.20325,-1068.80627,875.86121,613.98993,-715.72595,889.68591,857.86743,-925.27753,464.74139,716.15735,-957.76727,105.21944,854.01056,-836.2132,473.61353,707.44031,-795.50427,115.8543,798.72528,-900.40137,1552.34656,639.59659,-892.26611,882.77356
0.62,817.57153,-872.59119,1225.60474,779.29944,-1061.36328,1297.37329,775.9823,-748.77216,1306.23926,923.64856,-1165.80396,1025.73254,1132.29749,-1045.6062,1029.58911,926.18213,-624.79327,1042.78503,1108.07593,-747.32916,1110.77979,662.77393,-1068.65051,872.55652,611.42853,-715.34882,886.41187,858.85962,-925.36835,464.68832,716.14764,-957.646,105.10544,854.55359,-835.47748,473.34531,707.52106,-795.55493,115.82119,797.77667,-900.07587,1548.34058,637.10123,-891.999665,879.484195
0.624,816.0025,-872.14435,1221.50842,778.08264,-1060.48206,1293.70752,774.80615,-748.85919,1302.50293,924.11182,-1164.93506,1023.56036,1132.37854,-1043.33472,1029.479,926.79468,-625.51599,1040.5896,1107.71191,-749.6488,1109.21179,660.35724,-1068.47986,869.21082,608.85712,-714.96167,883.09216,859.88751,-925.49231,464.62009,716.14789,-957.54797,105.02361,855.06909,-834.72742,473.07465,707.59076,-795.61523,115.79847,796.78894,-899.74554,1544.29358,634.60718,-891.720765,876.15149
0.628,814.45624,-871.68842,1217.41821,776.82825,-1059.60046,1290.00256,773.60339,-748.94409,1298.72937,924.55579,-1164.03931,1021.37146,1132.36975,-1041.09778,1029.25525,927.35834,-626.26251,1038.35095,1107.29529,-751.96106,1107.58008,657.95447,-1068.29407,865.82312,606.27777,-714.57458,879.72839,860.92261,-925.65765,464.50684,716.15747,-957.48065,104.97589,855.55579,-833.9632,472.79474,707.64777,-795.67944,115.78429,795.77094,-899.41003,1540.2168,632.11612,-891.434325,872.775755
0.632,812.93073,-871.23047,1213.33203,775.54126,-1058.72229,1286.26221,772.38232,-749.0246,1294.92639,924.97913,-1163.12378,1019.16003,1132.26611,-1038.91614,1028.90649,927.87012,-627.03955,1036.06799,1106.83899,-754.25757,1105.87744,655.56567,-1068.09241,862.39142,603.69116,-714.19495,876.32178,861.94403,-925.86658,464.33728,716.17505,-957.4491,104.9614,856.0069,-833.18665,472.49295,707.69177,-795.74164,115.77674,794.73157,-899.07129,1536.12207,629.628415,-891.14368,869.3566
0.636,811.4126,-870.78278,1209.24036,774.22693,-1057.85217,1282.48938,771.14539,-749.10052,1291.09656,925.37866,-1162.19641,1016.91736,1132.07361,-1036.79834,1028.4353,928.32861,-627.84961,1033.7395,1106.35522,-756.52917,1104.09851,653.18958,-1067.8739,858.91309,601.09894,-713.83038,872.87311,862.94128,-926.11426,464.11368,716.198,-957.45532,104.97672,856.41406,-832.40137,472.15472,707.72449,-795.79602,115.77409,793.67737,-898.7323,1532.01611,627.14426,-890.85214,865.8931
0.64,809.88226,-870.35583,1205.12866,772.89056,-1056.99463,1278.68579,769.88904,-749.17505,1287.23743,925.74927,-1161.26526,1014.63464,1131.8031,-1034.74243,1027.85181,928.7345,-628.69165,1031.36279,1105.85071,-758.76862,1102.24084,650.82373,-1067.6366,855.38293,598.50098,-713.48328,869.38208,863.91223,-926.38989,463.84714,716.22253,-957.49799,105.01674,856.77307,-831.61261,471.77029,707.74878,-795.83722,115.77526,792.60944,-898.39478,1527.89661,624.662355,-890.55994,862.382505
0.644,808.32019,-869.95587,1200.98083,771.53662,-1056.1543,1274.85059,768.60657,-749.2536,1283.34619,926.086,-1160.33765,1012.30676,1131.46533,-1032.73938,1027.16882,929.09247,-629.56458,1028.93164,1105.32617,-760.97205,1100.30896,648.46442,-1067.37805,851.79199,595.8927,-713.14685,865.84851,864.85669,-926.6795,463.55249,716.24487,-957.57202,105.07553,857.08655,-830.8252,471.34067,707.76801,-795.86066,115.77979,791.52435,-898.05859,1523.75305,622.17856,-890.26245,858.82025
0.648,806.71564,-869.5863,1196.78528,770.16766,-1055.33655,1270.98059,767.29126,-749.34131,1279.42078,926.38611,-1159.4165,1009.93213,1131.07007,-1030.77783,1026.39966,929.4126,-630.47162,1026.43848,1104.78101,-763.13617,1098.31323,646.10681,-1067.09619,848.12842,593.2688,-712.81274,862.2735,865.77344,-926.96857,463.24396,716.26196,-957.66998,105.14673,857.36121,-830.0415,470.87595,707.78467,-795.86389,115.78764,790.41785,-897.7226,1519.57263,619.687805,-889.954465,855.20096
0.652,805.07068,-869.24817,1192.53931,768.78394,-1054.54639,1267.0719,765.93634,-749.44153,1275.45618,926.64929,-1158.49951,1007.51355,1130.62695,-1028.84741,1025.55444,929.70581,-631.4176,1023.88086,1104.2168,-765.25159,1096.25818,643.74744,-1066.79053,844.38586,590.63007,-712.48236,858.6601,866.65833,-927.24304,462.93188,716.27258,-957.78265,105.22406,857.60382,-829.26135,470.39001,707.79987,-795.84607,115.79861,789.28564,-897.38623,1515.3457,617.188755,-889.636445,851.52298
0.656,803.3949,-868.9397,1188.24915,767.38489,-1053.78638,1263.12231,764.53455,-749.55591,1271.44556,926.87634,-1157.58081,1005.05652,1130.14478,-1026.94092,1024.6394,929.974,-632.40051,1021.2644,1103.63843,-767.30267,1094.13916,641.3858,-1066.46436,840.56848,587.98474,-712.16821,855.01245,867.50458,-927.4906,462.62125,716.2771,-957.90002,105.3017,857.82214,-828.48291,469.89972,707.81409,-795.80731,115.81228,788.12238,-897.0517,1511.06689,614.68527,-889.316285,847.790465
0.66,801.69788,-868.65588,1183.92322,765.97021,-1053.05542,1259.13074,763.07947,-749.68488,1267.38391,927.06689,-1156.65588,1002.56787,1129.63037,-1025.05457,1023.65771,930.20758,-633.40973,1018.59888,1103.04993,-769.28137,1091.95593,639.02295,-1066.12305,836.68628,585.34436,-711.88629,851.33398,868.30176,-927.70355,462.31049,716.27747,-958.01233,105.37439,858.02606,-827.70276,469.42505,707.82709,-795.7486,115.82833,786.922,-896.72418,1506.73438,612.183655,-889.00467,844.01013
0.664,799.98328,-868.39148,1179.56677,764.54016,-1052.35034,1255.09619,761.56799,-749.82831,1263.27161,927.22034,-1155.72217,1000.0542,1129.08862,-1023.18646,1022.61133,930.39227,-634.4353,1015.89276,1102.45251,-771.19708,1089.7218,636.65967,-1065.77136,832.74841,582.71838,-711.64771,847.62622,869.03528,-927.88159,461.99014,716.27551,-958.11188,105.43805,858.22601,-826.91638,468.9852,707.8382,-795.672,115.84684,785.6795,-896.40997,1502.34985,609.689025,-888.709535,840.187315
0.668,798.24762,-868.14276,1175.1792,763.09448,-1051.66589,1251.01782,759.99982,-749.98615,1259.11182,927.33539,-1154.77954,997.5202,1128.52173,-1021.33521,1021.50153,930.51477,-635.47357,1013.1521,1101.84277,-773.06885,1087.45581,634.29712,-1065.41443,828.76129,580.11157,-711.45428,843.89044,869.68671,-928.03149,461.6427,716.27307,-958.19391,105.48978,858.42957,-826.11932,468.59149,707.84644,-795.58154,115.86845,784.39215,-896.11407,1497.91833,607.204345,-888.434355,836.325865
0.672,796.48566,-867.90796,1170.7583,761.63171,-1050.99316,1246.89587,758.37622,-750.15753,1254.90991,927.41101,-1153.82959,994.97009,1127.93103,-1019.49915,1020.33057,930.56464,-636.52417,1010.38287,1101.20911,-774.91315,1085.17212,631.93677,-1065.0564,824.72906,577.52362,-711.29865,840.12787,870.23413,-928.16528,461.24442,716.27161,-958.25629,105.52744,858.63959,-825.30707,468.24371,707.85071,-795.48254,115.89404,783.06219,-895.83838,1493.448,604.730195,-888.177525,832.428465
0.676,794.69501,-867.68555,1166.30334,760.14734,-1050.32166,1242.73047,756.70081,-750.34009,1250.67615,927.44672,-1152.87634,992.40985,1127.31824,-1017.677,1019.10266,930.53387,-637.58881,1007.58997,1100.5332,-776.73254,1082.87292,629.57904,-1064.69873,820.65472,574.95209,-711.17078,836.33917,870.65369,-928.2984,460.76874,716.27228,-958.29852,105.54938,858.85522,-824.47485,467.93341,707.85059,-795.38043,115.92446,781.69476,-895.58215,1488.94849,602.265565,-887.934755,828.496945
0.68,792.87292,-867.4743,1161.81348,758.63599,-1049.64221,1238.52051,754.98035,-750.53082,1246.42419,927.44336,-1151.92273,989.84705,1126.68481,-1015.86902,1017.8252,930.41766,-638.67126,1004.77545,1099.80005,-778.51819,1080.55139,627.22241,-1064.34375,816.54114,572.3949,-711.06378,832.52399,870.92383,-928.44672,460.19107,716.27625,-958.32141,105.55496,859.07532,-823.61908,467.65149,707.84644,-795.27905,115.96011,780.29156,-895.34338,1484.42822,599.808655,-887.703765,824.532565
0.684,791.01282,-867.27234,1157.28467,757.09296,-1048.94946,1234.26526,753.2229,-750.72778,1242.1665,927.40302,-1150.96838,987.28845,1126.02917,-1014.07825,1016.5105,930.21405,-639.77661,1001.93958,1099.00134,-780.2677,1078.20557,624.86407,-1063.99634,812.39087,569.84998,-710.9718,828.68066,871.03308,-928.62408,459.49435,716.28479,-958.32635,105.54422,859.30139,-822.7384,467.39227,707.84009,-795.18164,116.00082,778.84784,-895.11957,1479.88892,597.357025,-887.48407,820.535765
0.688,789.1084,-867.07489,1152.71313,755.51587,-1048.24365,1229.96594,751.4361,-750.9292,1237.9104,927.32758,-1150.00879,984.73828,1125.34558,-1012.31055,1015.17371,929.92328,-640.90717,999.0824,1098.1333,-781.9895,1075.84143,622.50024,-1063.66455,808.20612,567.31445,-710.88538,824.80609,870.98438,-928.8396,458.67361,716.29919,-958.31476,105.51816,859.53601,-821.83453,467.15359,707.83466,-795.09094,116.04577,777.35504,-894.90759,1475.32581,594.907345,-887.274965,816.506105
0.692,787.15796,-866.87433,1148.09998,753.90509,-1047.52844,1225.62708,749.62659,-751.13232,1233.66125,927.21643,-1149.04016,982.19653,1124.62451,-1010.57202,1013.82715,929.54803,-642.06281,996.20459,1097.19849,-783.69214,1073.46265,620.12628,-1063.35657,803.98877,564.78528,-710.79102,820.89685,870.79956,-929.09473,457.74261,716.32068,-958.28729,105.47864,859.77954,-820.91156,466.93427,707.83392,-795.00952,116.09362,775.80511,-894.70398,1470.73096,592.45578,-887.073795,812.44281
0.696,785.1665,-866.66144,1143.45435,752.263,-1046.80774,1221.25659,747.79987,-751.33405,1229.42285,927.06537,-1148.06274,979.65515,1123.85498,-1008.86646,1012.4751,929.09283,-643.24213,993.30701,1096.20557,-785.38843,1071.0752,617.73816,-1063.08118,799.74091,562.26111,-710.67603,816.95154,870.52362,-929.37909,456.74344,716.34979,-958.24451,105.42783,860.02832,-819.97565,466.73193,707.84131,-794.93872,116.14288,774.1925,-894.50507,1466.09839,589.999635,-886.878605,808.346225
0.7,783.14746,-866.42609,1138.79492,750.59045,-1046.08545,1216.8645,745.95837,-751.53247,1225.19348,926.86743,-1147.07947,977.09814,1123.02942,-1007.19318,1011.11487,928.56305,-644.44232,990.39056,1095.16663,-787.10034,1068.69031,615.33313,-1062.8468,795.46521,559.74182,-710.53369,812.97144,870.22229,-929.66956,455.74799,716.38574,-958.18677,105.36813,860.27612,-819.03375,466.54358,707.85925,-794.87903,116.19158,772.51428,-894.30688,1461.42517,587.537475,-886.690245,804.218325
0.704,781.12103,-866.15875,1134.146,748.88464,-1045.36609,1212.46033,744.09924,-751.72717,1220.96594,926.61584,-1146.09314,974.51172,1122.14673,-1005.54797,1009.74005,927.96277,-645.65802,987.4566,1094.09375,-788.83954,1066.31274,612.9101,-1062.65967,791.1651,557.23132,-710.36761,808.95776,869.9657,-929.93768,454.83746,716.42688,-958.11542,105.30209,860.51733,-818.09296,466.36774,707.88867,-794.82971,116.23714,770.77148,-894.10504,1456.71204,585.07071,-886.51364,800.06143
