Frame#,sternumU,,,shoulderR,,,shoulderL,,,elbowRin,,,wristRin,,,elbowLin,,,wristLin,,,pvsR,,,pvsL,,,kneeRin,,,heelR,,,kneeLin,,,heelL,,,headT,,,pvCenter,,
Time,X3,Y3,Z3,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X9,Y9,Z9,X13,Y13,Z13,X15,Y15,Z15,X22,Y22,Z22,X23,Y23,Z23,X26,Y26,Z26,X28,Y28,Z28,X33,Y33,Z33,X35,Y35,Z35,X40,Y40,Z40,X41,Y41,Z41
0.044,956.66632,-847.49292,1354.45349,879.96515,-1058.45728,1400.30505,905.06165,-694.01239,1408.26062,804.50525,-1112.17908,1061.49133,965.77618,-1148.88342,893.86389,827.13495,-609.24219,1060.63428,984.00769,-569.8175,923.93622,869.78058,-1032.89331,971.15118,851.68469,-681.76935,968.30127,864.56061,-897.55536,463.83994,718.70251,-949.98761,107.08208,881.6637,-823.77136,475.24915,758.32056,-763.48651,114.18101,946.51111,-861.86951,1674.91089,860.732635,-857.33133,969.726225
0.048,955.87329,-848.0199,1354.41113,879.34375,-1059.10474,1400.11328,904.021,-694.5943,1408.19421,805.23578,-1112.83398,1060.62927,966.54657,-1149.49072,893.8739,825.90912,-609.94116,1060.67712,982.6994,-570.02478,923.94958,869.43115,-1033.55273,971.23975,851.03876,-682.3952,968.19006,864.16992,-897.8501,463.73672,718.53076,-950.07074,106.83215,881.76538,-823.98346,475.23212,758.34973,-763.48761,114.20389,945.15338,-862.48529,1674.95764,860.234955,-857.973965,969.714905
0.052,955.09137,-848.56281,1354.38171,878.74066,-1059.75793,1399.95154,902.98853,-695.20386,1408.13708,806.07465,-1113.43433,1059.66711,967.33258,-1150.11243,893.89612,824.6936,-610.66278,1060.71521,981.40863,-570.2583,923.99231,869.04675,-1034.24573,971.32574,850.3938,-683.03717,968.09888,863.77222,-898.18927,463.57257,718.39539,-950.22687,106.62544,881.86322,-824.18884,475.23065,758.3736,-763.4895,114.23029,943.80042,-863.12506,1675.00342,859.720275,-858.64145,969.71231
0.056,954.31958,-849.1189,1354.36694,878.1687,-1060.41772,1399.83545,901.96533,-695.83691,1408.0907,806.93115,-1114.0332,1058.71167,968.12054,-1150.7478,893.92712,823.47668,-611.39813,1060.73425,980.1344,-570.51666,924.065,868.62567,-1034.97192,971.39691,849.75085,-683.69495,968.02423,863.3587,-898.56897,463.3645,718.2951,-950.44598,106.4566,881.961,-824.38922,475.24698,758.39325,-763.49219,114.26091,942.44965,-863.78992,1675.04932,859.18826,-859.333435,969.71057
0.06,953.5542,-849.68579,1354.36816,877.64264,-1061.08325,1399.78198,900.94983,-696.48804,1408.05603,807.73315,-1114.66785,1057.84521,968.89948,-1151.39551,893.96387,822.24585,-612.13776,1060.72314,978.87689,-570.79901,924.16956,868.16852,-1035.72937,971.45013,849.11029,-684.3703,967.96173,862.92841,-898.9823,463.13956,718.22467,-950.71515,106.32214,882.05939,-824.58685,475.2818,758.41052,-763.49561,114.2962,941.10022,-864.47913,1675.09741,858.639405,-860.049835,969.70593
0.064,952.78882,-850.26318,1354.38574,877.17493,-1061.7522,1399.8009,899.94049,-697.15192,1408.03308,808.44421,-1115.35449,1057.10925,969.66345,-1152.05457,894.00427,820.99512,-612.87482,1060.67712,977.63568,-571.10327,924.30566,867.67072,-1036.51367,971.48639,848.46948,-685.06323,967.90625,862.4856,-899.42047,462.92688,718.17572,-951.02075,106.21957,882.15479,-824.78412,475.33481,758.42706,-763.49945,114.33607,939.75201,-865.19012,1675.15112,858.0701,-860.78845,969.69632
0.068,952.01685,-850.85211,1354.41858,876.76837,-1062.42358,1399.89001,898.93842,-697.82416,1408.01965,809.05524,-1116.0918,1056.51404,970.41125,-1152.72412,894.04749,819.72412,-613.60706,1060.60095,976.40924,-571.42542,924.46912,867.12329,-1037.31799,971.508,847.8233,-685.77112,967.85413,862.03693,-899.87427,462.74942,718.13849,-951.34998,106.14568,882.24072,-824.9834,475.40536,758.44397,-763.50378,114.38,938.40564,-865.91956,1675.21423,857.473295,-861.544555,969.681065
0.072,951.23468,-851.45386,1354.46558,876.41211,-1063.10144,1400.03442,897.94525,-698.50342,1408.01282,809.5719,-1116.86584,1056.05603,971.14417,-1153.40222,894.0932,818.4389,-614.33673,1060.50708,975.19659,-571.75989,924.65326,866.51715,-1038.13525,971.51801,847.16577,-686.4906,967.80377,861.58905,-900.33545,462.62033,718.10388,-951.69214,106.09651,882.30969,-825.1875,475.49231,758.46161,-763.50964,114.42754,937.06128,-866.66547,1675.28833,856.84146,-862.312925,969.66089
0.076,950.44373,-852.06915,1354.52563,876.08313,-1063.79236,1400.21045,896.96075,-699.19141,1408.0105,810.01184,-1117.65967,1055.72437,971.8653,-1154.08435,894.14178,817.1532,-615.06989,1060.41016,973.99829,-572.10138,924.85175,865.84644,-1038.95935,971.52075,846.49219,-687.21991,967.7547,861.14703,-900.79791,462.54373,718.06573,-952.03876,106.06798,882.35461,-825.39948,475.59265,758.48035,-763.51843,114.47863,935.71704,-867.42761,1675.37122,856.169315,-863.08963,969.637725
0.08,949.64819,-852.69885,1354.59583,875.75439,-1064.50269,1400.39148,895.98309,-699.89032,1408.01233,810.4043,-1118.4646,1055.49854,972.58246,-1154.76294,894.19696,815.88446,-615.81488,1060.32312,972.81677,-572.44672,925.06,865.10944,-1039.78589,971.52124,845.80066,-687.95972,967.70715,860.71344,-901.25824,462.51566,718.02161,-952.38287,106.05511,882.36993,-825.6225,475.70071,758.50073,-763.53119,114.53358,934.37024,-868.20477,1675.45801,855.45505,-863.872805,969.614195
0.084,948.85315,-853.34399,1354.67273,875.40479,-1065.23389,1400.55505,895.00983,-700.59973,1408.02051,810.78113,-1119.28345,1055.35156,973.31085,-1155.42944,894.26813,814.64868,-616.5788,1060.2572,971.65643,-572.79626,925.27594,864.30817,-1040.61096,971.52448,845.09161,-688.71143,967.66278,860.28894,-901.71655,462.52573,717.97217,-952.71802,106.05096,882.35333,-825.86047,475.80911,758.52393,-763.54865,114.59283,933.0199,-868.99359,1675.54541,854.69989,-864.661195,969.59363
0.088,948.06354,-854.00446,1354.75391,875.02283,-1065.98376,1400.68823,894.03754,-701.31677,1408.0376,811.16473,-1120.12195,1055.26025,974.06897,-1156.07764,894.36755,813.45996,-617.36188,1060.22021,970.52216,-573.15326,925.49963,863.44781,-1041.43005,971.53436,844.36682,-689.4751,967.62598,859.87512,-902.17426,462.56421,717.91968,-953.03735,106.04742,882.30579,-826.11786,475.91055,758.55072,-763.57056,114.65666,931.66803,-869.79071,1675.63403,853.907315,-865.452575,969.58017
0.092,947.28204,-854.67957,1354.8385,874.60419,-1066.74634,1400.78723,893.06256,-702.03784,1408.06592,811.56604,-1120.98547,1055.20947,974.8714,-1156.70264,894.50616,812.32922,-618.15747,1060.21301,969.41803,-573.52246,925.73468,862.53601,-1042.23682,971.55359,843.62915,-690.24835,967.60352,859.47571,-902.63007,462.62891,717.86761,-953.33447,106.03772,882.2287,-826.39978,475.99918,758.5813,-763.59583,114.72495,930.31781,-870.59436,1675.72803,853.08258,-866.242585,969.578555
0.096,946.50677,-855.36932,1354.92358,874.14758,-1067.51416,1400.85449,892.08301,-702.76038,1408.10706,811.99402,-1121.88721,1055.18616,975.72601,-1157.30151,894.69049,811.25861,-618.9574,1060.23352,968.34869,-573.90741,925.98926,861.58289,-1043.02551,971.58411,842.88245,-691.02808,967.60223,859.09357,-903.08014,462.72269,717.82037,-953.60339,106.0186,882.12079,-826.71082,476.07059,758.61481,-763.62231,114.79703,928.97266,-871.40363,1675.83325,852.23267,-867.026795,969.59317
0.1,945.73206,-856.07367,1355.00378,873.65375,-1068.27991,1400.89648,891.10077,-703.48376,1408.16187,812.46204,-1122.84924,1055.17322,976.63531,-1157.87305,894.92322,810.24213,-619.75616,1060.28223,967.32019,-574.30841,926.27551,860.6015,-1043.79236,971.62762,842.12921,-691.81183,967.62573,858.72797,-903.51996,462.84692,717.78217,-953.83899,105.99077,881.97852,-827.05304,476.12167,758.64978,-763.64771,114.87181,927.63373,-872.21869,1675.95508,851.365355,-867.802095,969.626675
0.104,944.95044,-856.79205,1355.07239,873.12512,-1069.0387,1400.92407,890.11975,-704.20966,1408.23059,812.98212,-1123.89417,1055.15454,977.59888,-1158.41846,895.20544,809.27417,-620.54938,1060.3606,966.33893,-574.72327,926.6062,859.60718,-1044.53748,971.68604,841.36804,-692.59631,967.67352,858.37494,-903.94525,462.99985,717.7561,-954.03711,105.95746,881.79938,-827.42395,476.15137,758.68488,-763.6701,114.94777,926.29852,-873.04089,1676.09631,850.48761,-868.566895,969.67978
