,RSholderX,RSholderY,RSholderZ,LSholderX,LSholderY,LSholderZ,MidHipX,MidHipY,MidHipZ,RHipX,RHipY,RHipZ,LHipX,LHipY,LHipZ,RWristX,RWristY,RWristZ,RElbowX,RElbowY,RElbowZ,LElbowX,LElbowY,LElbowZ,LWristX,LWristY,LWristZ
288,0.08811902312220853,0.13517651778077197,0.5504384144092385,0.05930703000506352,0.42159305013342185,0.5278585160134115,-0.02644042221278011,0.24048960946069972,0.20246537904773337,-0.030160815036066917,0.15094695636235825,0.1999115390616361,-0.041057397398192794,0.3358481270624013,0.18471637899999993,-0.0007457678327672954,-0.04462307439074342,0.27942587929829044,-0.056814495361864316,-0.038459481783116714,0.42912708393229665,-0.1075331142255549,0.5140013271733179,0.3227242758279165,-0.08807178248959553,0.548757270143962,0.18096260689123866
289,0.08874916785528285,0.13505625133868032,0.5512441112984466,0.06014144991130279,0.42152188440507726,0.5287707606634188,-0.025803166788662586,0.24044654509783658,0.20297362681370487,-0.029463657558530153,0.15096289488598774,0.20042660851320537,-0.04054260918783677,0.33570248040291367,0.18518796929091505,-0.0005431847231699302,-0.04496560706468316,0.2792588541987924,-0.055913667772672836,-0.03840201411560088,0.4296812398168365,-0.10671831371113685,0.5139768970586938,0.3231848464743031,-0.0878230643607469,0.5486804671678728,0.18118379052658257
290,0.08925155328551945,0.1348289521551822,0.5519968357823622,0.060969258090286395,0.4214887019872287,0.5296646781107223,-0.02514900190615358,0.2404039197534697,0.20349315329805723,-0.02875617777858393,0.15100135060520237,0.2009398590901447,-0.04004160879095849,0.33563342849812966,0.1856669385779951,-0.00030058839396555903,-0.04530027897648697,0.2790201625192008,-0.055027330006408005,-0.03834701634399821,0.43027597892019787,-0.10588903248506358,0.5139557454816247,0.3236271325834207,-0.08756929818652086,0.5485892061243638,0.1814012398736209
291,0.08968261450950933,0.1345431756680335,0.5527106106969879,0.061804850731507065,0.4214866952766675,0.5305396315533517,-0.024476243898803738,0.2403628561879485,0.20402584789065098,-0.028036473643815056,0.1510607815445401,0.2014554158149473,-0.03954701539534635,0.3356319693952557,0.18615923408371543,-3.031806690444311e-05,-0.045618245732775634,0.2787546809326392,-0.054132339712977665,-0.038290204290956746,0.43088488955268806,-0.10504883490059728,0.5139309780860141,0.3240609698262392,-0.08731493327286381,0.5484890504316509,0.18160941966860206
292,0.09014416824572373,0.1342931650149653,0.5534236693352332,0.06266065168475742,0.4214973086345414,0.5313923394504498,-0.02379127350444144,0.2403290870435652,0.204569815457031,-0.027310724499384497,0.15112925455283077,0.20198280595961834,-0.039044058323942685,0.335665203236878,0.18666976209087177,0.00023179821661709483,-0.04592235915550656,0.27852548062012494,-0.053175364090988796,-0.0382175866055772,0.4314525702007884,-0.10420896168390115,0.5138918788225575,0.3244978874244818,-0.08707393524533356,0.5483979340078967,0.1817957249104988
293,0.09073157450825274,0.13416691999230507,0.5541717082559127,0.06354760441199492,0.42150311792272943,0.5322199179134035,-0.023099534861850134,0.24030809373604697,0.20512380840043556,-0.026584896144506376,0.15119524381524246,0.2025306374537376,-0.03851886442037662,0.33570185767269506,0.18720281027399593,0.00045247325324754284,-0.04621419670040419,0.27839203953109826,-0.05210929882385381,-0.0381148982084639,0.4319362986274153,-0.10337903072096791,0.513828562637989,0.3249488749883386,-0.08685828763903723,0.5483316865020353,0.18194950099823542
294,0.09145921900147527,0.1341747925881089,0.5549576806153768,0.06446085873385367,0.42150151006937336,0.5330243589240051,-0.022394589053758105,0.2403016360847981,0.20569438776119417,-0.02586086632996737,0.15125390030035435,0.20309638829103402,-0.037968855372241664,0.33573348887474574,0.18775621395511968,0.0006309895984081451,-0.046478997275306785,0.2783711011101407,-0.050960886176750916,-0.037967030150690514,0.43243512812876067,-0.10254953328247987,0.5137409784930185,0.32541874335488663,-0.08665645084697497,0.5482806485006539,0.18208269752239578
295,0.09229191168321553,0.13428034529146943,0.555763774041176,0.06538683195829273,0.4215000342434749,0.5338105394764661,-0.021664823780373915,0.24030875360061116,0.206290119192799,-0.025138726684085465,0.15130509863113084,0.20366981566818126,-0.03739863689996382,0.33576489912691443,0.18832305537638389,0.0007859099240490359,-0.04669244533574097,0.2784532240357085,-0.0498014457174082,-0.03775737315524621,0.4331350111264037,-0.10170193582133787,0.5136369899587012,0.3259047610342739,-0.08644352911888811,0.5482222787715679,0.18221868217791926
296,0.09319335717797526,0.13444634663893523,0.5565712593697743,0.06631607329809622,0.42150753845404737,0.5345832380808947,-0.020905943575390273,0.24032712003501638,0.20691154296562836,-0.02442059923261653,0.1513503095995937,0.2042393266987943,-0.03681390286090096,0.33579973715923883,0.18889446668767956,0.0009357600117259751,-0.04683621622987363,0.27862346757286033,-0.04869326166731015,-0.037471834144833176,0.4341913402855019,-0.10082592201439597,0.5135284389767948,0.32639507029299547,-0.08619882588496502,0.5481434997088657,0.18237229184019402
297,0.09411417656467379,0.13461714943845238,0.5573729134903815,0.06725408374608897,0.4215175817415406,0.5353484611427228,-0.02013310533067114,0.24035267224070161,0.20754928546546436,-0.023710717395249888,0.15139026139432596,0.20480341260199753,-0.03622283218316365,0.3358460723013536,0.18946338032538299,0.0011106790235946283,-0.04693812247543001,0.2788220221901775,-0.04762205058187144,-0.03714254442637765,0.43544864595172744,-0.09992769191518408,0.5134185438203611,0.32688240749466263,-0.08591795659871004,0.5480559019583093,0.1825346275636038
298,0.09499666891861717,0.13472810017763814,0.5581674965883162,0.06821187322546476,0.4215162820466939,0.5361137742209282,-0.019371460442093414,0.2403805148687015,0.20818969023180603,-0.023014381728437283,0.15142635771501878,0.20536647592422524,-0.03563633763847078,0.3359140703889964,0.1900249030109983,0.001346572745536788,-0.04705212770330084,0.27896378418052026,-0.04653210558666704,-0.03682698450050434,0.4365828364832242,-0.0990207265729668,0.5133058545196726,0.3273635095975562,-0.08560502023540825,0.5479828721708151,0.18268585129839446
