time,Nosex,Nosey,Neckx,Necky,RSholderx,RSholdery,RElbowx,RElbowy,RWristx,RWristy,LSholderx,LSholdery,LElbowx,LElbowy,LWristx,LWristy,RHipx,RHipy,RKneex,RKneey,RAnklex,RAnkley,LHipx,LHipy,LKneex,LKneey,LAnklex,LAnkley,REyex,REyey,LEyex,LEyey,REarx,REary,LEarx,LEary
82,81.60169808284348,107.64898055680784,91.92892195203022,119.20287087523097,79.22298943902503,119.19249863142875,79.20432399615562,142.13358133793284,82.86341919975689,159.7488829418641,105.84826269208148,120.37361489031032,118.2640651268425,143.41717808352914,122.68418473004326,166.41842723969123,96.34124900744213,161.82312345598496,97.39142638749937,189.43583188480977,109.96743097768656,215.9503921296499,112.52331113513608,161.76161517730756,117.15516447233378,190.71094071949503,125.14977922756718,217.30384478507025,79.19966144016763,105.35420331088007,86.1396907606119,105.31897705398676,-0.5260293343650223,-1.1116139043510411,95.37188923341225,101.91768364387428
83,81.16385307892246,108.53188040535741,92.10014024084107,119.85921861144571,79.07362902322703,119.82334448952916,79.41686786466529,142.265232814305,83.06136760267083,159.56425107325833,105.8712617009938,120.83780121441127,117.93391001448752,143.72639655724868,121.54443111077495,166.95465115806158,95.8278036609219,162.77258209391846,96.26343041628006,189.66606681310347,108.49436962905892,216.10967331524822,112.15239717264205,162.2460176506544,117.04129390462941,191.5186002497592,125.20254161659028,218.05301390634065,78.58961939440229,105.67058595791913,85.5137966617815,105.58095990235927,0.9647564519464735,0.826269214864326,94.89790465604882,102.35741673774397
84,80.61784890631759,109.37955272787872,92.17243803406777,120.48988050846056,78.85854869045191,120.44389353999804,79.56261367776955,142.40259938754295,83.07417126394209,159.17332697264004,105.81021524126035,121.27848605064779,117.59726066434942,144.01363706589143,120.45369792160439,167.47475250956882,95.29170021737966,163.68934476435837,95.14767404987235,189.92201404489245,107.03539118556725,216.29865598340015,111.77078654597501,162.71115088480354,116.9169252934664,192.28713050841984,125.26144900495498,218.73587152441124,77.90546824244471,105.96778652580355,84.78939200570352,105.83400858170003,2.1245649297440017,2.3105758762857884,94.33787906086806,102.78551377892512
85,79.91857770261454,110.16194557552429,92.08517807426755,121.07845527231581,78.5505741862136,121.04650672491191,79.60590995487131,142.5489388202606,82.83768669361507,158.5400555949329,105.62808914208496,121.68110121377556,117.2547992752365,144.26381546556595,119.45142488272998,167.95518467600485,94.72039788130284,164.53593694015063,94.06694413712228,190.22253257013628,105.6024071645024,216.53203986371324,111.37121709589857,163.13164910784064,116.77602041095508,192.99069770685784,125.32308566930064,219.32158559245482,77.11147787235454,106.23176586796971,83.92185405227536,106.06979279692271,2.776273661705877,3.1096898360674436,93.64916923959731,103.19394721093401
86,79.03926611946855,110.85224826597172,91.79261213130117,121.61036594659103,78.12310078868057,121.62144402587617,79.5128056420756,142.70638939549366,82.29782635998225,157.63491613577764,105.29307980788,122.02973393154512,116.90258965783573,144.4635370751692,118.55556642869375,168.37635643715595,94.09989340742797,165.28795952619706,93.04779811266081,190.58769593883144,104.21115939438874,216.8167598898109,110.94018856335553,163.48940584837345,116.60522197190124,193.6057465258076,125.38169457293083,219.79192669172122,76.17930266700371,106.45289571716255,82.87996518239497,106.27947676591396,2.9484301965442627,3.2781325911835477,92.79990241382087,103.5715940031773
87,77.97093622237487,111.430314399142,91.26891091874913,122.07227925914377,77.55262136652802,122.1539178633439,79.25575376416533,142.87539917671256,81.41733615592938,156.44038877006003,104.78063068290425,122.31116333863301,116.5336435401258,144.60205642432587,117.76740939421511,168.72496800645686,93.41850189017018,165.93695011187086,92.11715743109981,191.03264038402122,102.88535089135613,217.1503347449474,110.45992001126334,163.777558807997,116.3864984773318,194.11499134146203,125.42870715911965,220.13747973938052,75.09196238673985,106.62673756104138,81.65192522160271,106.45577416846638,2.796976024360586,3.050010933539205,91.77429073258965,103.90660665742332
88,76.71885561519474,111.88780911347487,90.51149764516505,122.4562305089246,76.82209038224254,122.63003318163865,78.81933473447866,143.05577333244577,80.18315058095608,154.96055936692827,104.07603906172605,122.51873688745233,116.13909040007097,144.67312175774853,117.07932637931054,168.99615949611007,92.6715883429969,166.49014758646658,91.29414859811769,191.561531273046,101.65669265705976,217.52206687730495,109.914912404611,164.00164439800537,116.10164829451305,194.5109562140897,125.45239889477897,220.35576240066817,73.8476850867091,106.75569965961708,80.24785005189099,106.5952213068111,2.493476864762478,2.686379457063275,90.57589226802678,104.18953766308142
89,75.3014328519344,112.23034858655858,89.53966199641526,122.76316666411071,75.92466434313972,123.0435680836771,78.20284535117445,143.24866184376052,78.61308683158244,153.23286735174605,103.17729053190749,122.65402120346229,115.70944238355439,144.67826732633134,116.48118137611108,169.19352744942626,91.86462568932258,166.96505307611545,90.58513005968157,192.1632190055105,100.56016493824096,217.91546312770998,109.29892602316025,164.17631108524213,115.73560583783193,194.7970121710419,125.43770252897632,220.45457876524765,72.46316978389092,106.84943052785256,78.69880254347413,106.69906790900491,2.1889895235652324,2.425814300607608,89.22831077917006,104.41566684718914
90,73.74872612517068,112.47561622943051,88.38731009712393,123.00171268024808,74.86638890486925,123.39667477618627,77.41771324783355,143.45732304926747,76.76141189241308,151.34186605566802,102.09609281372529,122.72578420186439,115.23651339840298,144.62786705938004,115.96441570659536,169.3276056609101,91.01017614394385,167.38144398958437,89.98499625401784,192.81328020823673,99.62423023841542,218.3114405887541,108.61535263913906,164.31975699987552,115.2770568691459,194.98599060498483,125.3661607346233,220.45415151015382,70.9708844617431,106.92280005182809,77.05053853876002,106.77327564404463,2.015780199460211,2.4862548618221485,87.76955300052835,104.58663221577127
91,72.10098261161875,112.65017526219148,87.09558681989418,123.18532096028048,73.66746687465107,123.69730706651832,76.48504611228012,143.68624257828776,74.72459262229975,149.43519005844502,100.85818352854648,122.74839589056218,114.71498871046938,144.53887602028726,115.52282898643762,169.4132788318078,90.12092298364867,167.7539601816682,89.48091735885063,193.4808670565274,98.86218558568437,218.69084424850885,107.87209698603309,164.4480070460936,114.7180527681657,195.0974681393888,125.21607911790673,220.3836147274294,69.41092652715535,106.99353149551109,75.35606362954167,106.82870503100851,2.0891210551591497,3.0661464326820864,86.24362309900975,104.71087740638238
