,Nosex,Nosey,Neckx,Necky,RSholderx,RSholdery,RElbowx,RElbowy,RWristx,RWristy,LSholderx,LSholdery,LElbowx,LElbowy,LWristx,LWristy,RHipx,RHipy,RKneex,RKneey,RAnklex,RAnkley,LHipx,LHipy,LKneex,LKneey,LAnklex,LAnkley,REyex,REyey,LEyex,LEyey,REarx,REary,LEarx,LEary
20,459.734,294.654,503.546,362.499,456.579,362.495,453.681,480.273,430.139,577.236,547.798,362.556,571.31,491.893,553.609,600.96,453.659,597.758,415.374,747.933,418.405,906.888,521.327,600.813,527.224,765.518,536.088,918.661,456.734,277.087,480.093,277.078,1324.444,286.159,512.527,274.249
21,459.623,294.735,497.849,365.309,453.645,365.321,444.886,483.141,421.368,577.215,544.866,365.357,568.486,491.919,550.898,603.729,450.713,594.938,412.357,747.975,409.37,918.587,518.423,600.742,527.227,765.657,536.095,921.543,456.593,277.127,480.014,277.175,1125.715,286.751,509.621,274.264
22,459.514,294.816,491.899,365.334,444.9,365.341,439.069,483.241,412.565,577.374,536.113,365.348,565.466,489.003,550.866,603.779,441.883,597.861,409.394,753.801,388.967,924.434,512.561,600.849,527.099,765.653,536.048,921.573,453.738,280.075,477.169,280.108,951.092,287.372,506.798,277.076
23,456.635,294.871,486.076,365.437,439.003,365.292,435.953,483.069,409.532,577.364,533.165,365.528,562.555,497.754,550.81,603.826,436.03,597.873,403.588,750.878,380.143,927.318,506.732,603.72,524.266,765.689,533.255,921.588,450.683,282.975,468.454,285.881,800.572,288.021,506.575,280.075
24,456.486,297.71,483.214,365.547,436.011,365.287,427.227,486.023,403.637,577.44,533.107,368.45,556.73,497.854,550.776,603.873,433.078,600.732,391.945,756.799,365.381,927.505,506.572,606.74,515.53,768.619,533.23,921.602,441.951,285.967,465.46,288.83,674.157,288.7,503.671,285.882
25,450.75,300.612,480.108,368.403,430.121,365.551,415.432,486.119,389.063,580.243,530.101,371.273,553.826,497.79,550.675,606.717,430.059,600.84,388.915,759.762,356.517,933.405,503.752,609.667,512.529,777.349,533.258,924.436,436.159,288.834,462.47,288.889,571.846,289.407,500.792,285.903
26,441.975,303.577,474.309,371.356,418.353,371.279,409.485,491.985,385.85,589.034,527.222,374.241,553.693,497.758,547.798,609.626,421.281,603.74,385.897,762.61,341.839,936.259,503.597,612.609,509.549,780.26,533.224,924.44,433.214,291.717,459.464,291.687,493.64,290.143,489.003,288.864
27,436.121,303.641,462.567,377.113,412.392,371.292,397.764,497.782,368.315,591.973,518.461,377.17,550.8,500.702,544.875,609.68,415.384,603.779,380.101,762.686,335.98,945.152,494.873,612.597,506.576,777.427,533.133,918.66,430.14,291.737,456.508,291.754,439.538,290.908,483.17,288.923
28,433.199,309.487,456.652,382.991,403.636,380.135,388.831,491.986,362.344,589.003,509.586,380.169,550.676,503.578,538.969,612.606,409.602,603.813,374.204,762.657,324.243,950.925,483.197,612.63,503.701,774.477,530.359,918.629,421.346,291.909,450.751,291.886,409.547,291.864,480.058,291.727
29,430.127,312.413,447.766,385.85,388.973,383.115,371.294,503.607,344.907,594.918,503.71,383.046,541.96,503.649,533.139,618.419,403.638,609.635,365.313,765.732,318.375,951.015,480.18,618.39,500.76,783.177,530.26,918.6,412.56,294.757,438.97,291.962,403.608,291.849,465.533,291.824
30,418.362,312.469,436.054,385.901,383.028,385.88,362.469,494.919,336.028,594.943,494.93,385.886,530.267,503.671,530.116,615.552,389.023,615.474,362.282,771.546,315.493,954.045,474.253,618.468,494.822,783.307,530.209,918.599,409.476,294.734,435.916,294.67,391.835,294.666,459.574,291.848
31,412.537,315.251,424.225,385.988,365.306,386.103,344.776,500.677,321.35,597.756,482.991,385.849,524.354,500.714,527.224,609.638,380.068,603.815,353.644,783.185,315.374,956.963,456.681,609.63,486.01,786.062,527.386,921.533,403.613,294.868,432.902,294.742,386.042,294.842,453.616,291.915
32,409.603,315.241,415.418,385.927,359.534,383.098,335.942,491.916,312.449,597.788,480.075,385.966,509.673,503.612,521.326,609.676,365.39,603.819,344.87,780.356,315.298,959.851,450.701,606.75,482.998,783.193,527.214,915.74,392.005,294.931,424.244,294.776,377.196,300.717,439.094,294.89
33,406.514,312.476,409.393,385.958,344.79,385.873,318.353,486.128,294.833,592.011,462.501,386.02,503.715,500.734,509.607,600.849,362.338,609.627,341.775,786.172,315.302,962.752,436.168,606.753,480.047,783.208,524.256,915.64,388.849,294.858,412.592,294.715,365.397,297.823,435.944,294.781
34,397.739,312.332,389.098,385.997,333.045,386.035,297.756,494.843,282.985,594.908,456.605,385.938,486.077,497.764,503.823,600.81,344.881,603.775,338.952,768.595,315.289,959.884,432.999,603.772,462.57,765.757,509.658,915.681,385.882,294.675,409.619,291.915,362.306,297.77,430.081,294.725
