Frame,NoseX,NoseY,NoseZ,NeckX,NeckY,NeckZ,RSholderX,RSholderY,RSholderZ,RElbowX,RElbowY,RElbowZ,RWristX,RWristY,RWristZ,LSholderX,LSholderY,LSholderZ,LElbowX,LElbowY,LElbowZ,LWristX,LWristY,LWristZ,MidHipX,MidHipY,MidHipZ,RHipX,RHipY,RHipZ,RKneeX,RKneeY,RKneeZ,RAnkleX,RAnkleY,RAnkleZ,LHipX,LHipY,LHipZ,LKneeX,LKneeY,LKneeZ,LAnkleX,LAnkleY,LAnkleZ,REyeX,REyeY,REyeZ,LEyeX,LEyeY,LEyeZ,REarX,REarY,REarZ,LEarX,LEarY,LEarZ,LBigToeX,LBigToeY,LBigToeZ,LSmallToeX,LSmallToeY,LSmallToeZ,LHeelX,LHeelY,LHeelZ,RBigToeX,RBigToeY,RBigToeZ,RSmallToeX,RSmallToeY,RSmallToeZ,RHeelX,RHeelY,RHeelZ
10,-0.9695255617,-0.0050506361,3.3461393439,-1.0677028662,0.038444638,3.1558928227,-1.1053957501,0.1182395531,3.0677929556,-1.1641199006,0.3540128357,3.0090361751,-1.0758950396,0.5266611365,3.1876992022,-0.976,0.079,3.298,-1.0051268183,-0.0782616688,3.5611277379,-0.8548384017,-0.0168336526,3.5509720441,-1.0674125144,0.3447667859,3.3569654128,-1.1107481522,0.4048334338,3.2866882428,-0.8375923493,0.5010283711,3.2267822099,-0.820863623,0.8163968459,3.4208414075,-1.0248408102,0.3000438421,3.3643024539,-0.7862870553,0.3681075825,3.4909068778,-0.8189035207,0.696554905,3.6495919586,-0.9563361669,-0.0151699596,3.2071981309,-1.0294211664,-0.0379766481,3.5406802435,-1.0184061912,-0.0080341212,3.1605708373,1,1,1,-0.6805657486,0.73878603,3.6746676494,-0.7091325295,0.7206163019,3.7825188268,-0.8404979695,0.7211188406,3.5687915561,-0.6873508755,0.9153252812,3.4020985815,-0.7247207268,0.9316226223,3.3769113771,-0.8344030893,0.852112952,3.4407787006
11,-0.972352743,-0.0020679319,3.3809204387,-1.0569865685,0.0531698091,3.1623996498,-1.0955720842,0.1173651574,3.0691984017,-1.1524813028,0.3488810348,3.0098361484,-1.0826711809,0.5308012866,3.2093733869,-0.976,0.079,3.298,-1.0010439018,0.0176278769,3.5200665682,-0.8794440516,0.0819094031,3.5334352808,-1.0721595956,0.3459093831,3.3421295639,-1.1167542029,0.4037987423,3.2859626526,-0.8363528171,0.500750801,3.2281905564,-0.8217101702,0.8168295572,3.4189948264,-1.0310917637,0.3097488566,3.3617916058,-0.7827007137,0.3653794202,3.4882328882,-0.8216286861,0.6904670554,3.647812707,-0.9470684082,-0.0186329472,3.1987773671,-1.0009666816,-0.0355537391,3.4519653553,-1.0104690942,-0.0088346488,3.1552884248,1,1,1,-0.6820325207,0.7334455342,3.6739476177,-0.7142250946,0.7150517055,3.7985735357,-0.8384741742,0.7143389529,3.545365435,-0.6856366952,0.9206357327,3.4018020607,-0.7237164563,0.932804131,3.374775998,-0.8345642029,0.8507329026,3.4354401831
12,-0.9868389155,0.002270833,3.4684304568,-1.0451090364,0.0617647991,3.1690423924,-1.0843465264,0.1191567397,3.0715750651,-1.1418203111,0.3456728424,3.0163610248,-1.0873504185,0.5335552079,3.2246640641,-0.9732997366,0.0768397893,3.2920594205,-0.996981652,0.0849649188,3.4903456955,-0.8760838299,0.0538511272,3.538448244,-1.0675260528,0.3456638257,3.3442547889,-1.1141203112,0.4030430082,3.2859727374,-0.8327472047,0.5005480649,3.2286791538,-0.8228685372,0.8149853968,3.4198063025,-1.0243163266,0.310626751,3.3721088787,-0.7806213181,0.3663570721,3.4881700022,-0.8238891613,0.6887207801,3.6475932547,-0.9397592249,-0.0141416133,3.1985674575,-0.9766733078,-0.0313538198,3.3877084411,-1.0035917679,-0.0069891136,3.1552105425,1,1,1,-0.6844539763,0.7311650175,3.6815224998,-0.7171346029,0.7131475592,3.8067894825,-0.836185924,0.7072267418,3.5209643872,-0.6887050868,0.9191139364,3.4094162471,-0.7232529679,0.9339371262,3.3742964317,-0.8390023011,0.851615105,3.4391016909
13,-1.0098398196,0.0078695121,3.5941747505,-1.0334658449,0.0677702384,3.1720019,-1.0734494531,0.1226255377,3.0727701826,-1.1326858838,0.3430603332,3.0170737778,-1.0921173415,0.5315146442,3.2396095825,-0.9686273022,0.0733719288,3.2817800648,-0.9926652152,0.1316994494,3.4689154525,-0.8901057139,0.1260045719,3.5259031759,-1.0633326674,0.345214448,3.3433757127,-1.1130074686,0.4003305219,3.2884108839,-0.8322753074,0.5001299527,3.2274153751,-0.8234442177,0.8187705593,3.4201287047,-1.0190992374,0.3104574737,3.3707290368,-0.7836945525,0.3640999353,3.4854232166,-0.8249994455,0.6863654105,3.6477031113,-0.9325319054,-0.0108623211,3.1916620189,-0.955694755,-0.0258565171,3.3410621318,-0.9980301985,-0.0056416187,3.1532630685,1,1,1,-0.6883826686,0.7289597522,3.6843523367,-0.7224999889,0.709326487,3.8149489513,-0.8337049251,0.6998731521,3.4955858252,-0.6901351742,0.9193532507,3.4109243463,-0.7229145575,0.9347643687,3.3747565434,-0.8384615055,0.850908799,3.4366434423
14,-1.039055978,0.0141175046,3.7478254612,-1.023345595,0.0745852854,3.1693001932,-1.0630635115,0.1251577614,3.0728322607,-1.1252073907,0.3408830812,3.0154331328,-1.0937063614,0.5340768224,3.2453875483,-0.9625152299,0.0686794345,3.2680633863,-0.9932958857,0.170407702,3.448949458,-0.8908875166,0.1894813859,3.519176346,-1.0724268656,0.3538003408,3.3343602866,-1.1124652124,0.4056436287,3.2699317799,-0.8376033287,0.5003649693,3.2302744871,-0.8176517194,0.8250452809,3.4149616713,-1.0236644605,0.3165466464,3.3567560227,-0.7880989695,0.3621821054,3.4815272266,-0.8252697147,0.6835655125,3.648053426,-0.9215834532,-0.0063074817,3.2001270142,-0.9368688526,-0.0194124101,3.3072804291,-0.9823551186,-0.004657947,3.1521115312,1,1,1,-0.6982737186,0.7230279981,3.7223439931,-0.7296581549,0.7068072224,3.8227962019,-0.831893795,0.6955855064,3.4773295856,-0.6909090191,0.9176371147,3.4236403916,-0.7226675178,0.9329371818,3.3750924251,-0.8356356504,0.8555254632,3.4351190393
15,-1.0611920558,0.0278627279,3.851064784,-1.0137974568,0.0768584076,3.1600344563,-1.0525110281,0.1337595148,3.070446344,-1.1189382255,0.3368626165,3.0123446254,-1.0983780058,0.5316248407,3.2528466816,-0.9553524963,0.0633632994,3.2521082052,-0.9897041806,0.1962306785,3.4327549165,-0.8806527125,0.1374851226,3.5231807572,-1.0660984123,0.350072364,3.3256185895,-1.1104485855,0.4068204439,3.2731918476,-0.8358195281,0.5024274704,3.2291197918,-0.8196367588,0.8258434586,3.4160525716,-1.0199731899,0.3136976114,3.3473671496,-0.7891527805,0.3610523657,3.4811146668,-0.8251968549,0.6807113811,3.6483091303,-0.9173737925,0.0018796777,3.1944198349,-0.9196155392,-0.0125475885,3.2831625194,-0.9714537249,-0.0017788457,3.1531619488,1,1,1,-0.7036025088,0.7197787958,3.7400800822,-0.7343428216,0.7044280694,3.8258227576,-0.8308419386,0.6932662471,3.4645441332,-0.6836399087,0.9161143238,3.4318416324,-0.7205962408,0.9321437415,3.3769584138,-0.8349236648,0.8526821506,3.4288737411
16,-1.0408792412,0.0311415604,3.8056627961,-1.0038567801,0.0809488445,3.151380484,-1.0380552511,0.1381468129,3.0757286812,-1.1122012698,0.3360892928,3.010360506,-1.056673443,0.5217307955,3.1313225105,-0.9474230441,0.057321949,3.2345195,-0.9827603054,0.2123771069,3.419313837,-0.8883106118,0.1921936569,3.5144872623,-1.0593181828,0.3473513576,3.3200485651,-1.109246819,0.4052480757,3.2761116241,-0.8318160955,0.5015015538,3.2271964103,-0.8210856156,0.8215634155,3.4171189526,-1.0159282462,0.3183717782,3.3602349619,-0.7872204872,0.3602277821,3.480003107,-0.8246033839,0.6775476012,3.6487659116,-0.9002536315,0.0008315993,3.1997093333,-0.9040509459,-0.0086176193,3.2677203075,-0.9551224078,-0.0018385896,3.1490660127,1,1,1,-0.7061412011,0.7160565126,3.746001655,-0.7350606471,0.7029616995,3.8283019507,-0.8300742009,0.6926540301,3.455482328,-0.6821163113,0.9114909619,3.4440409737,-0.7193545859,0.926972141,3.3802113972,-0.8373755982,0.8511471417,3.4264765376
17,-0.9895832424,0.0267809075,3.6517680264,-0.9938998973,0.0836641706,3.143713478,-1.0264238474,0.1432400135,3.07661243,-1.1094453902,0.3398472793,3.0083720606,-1.0267749414,0.5147796046,3.0442468775,-0.9392042392,0.0515618108,3.2192507208,-0.9536487898,0.1620272119,3.4532680346,-0.8949804659,0.2245594173,3.5073317114,-1.0546396646,0.3456355343,3.3167936375,-1.1080995381,0.4041004553,3.2777023726,-0.8310553255,0.5005556068,3.2241716929,-0.8226833904,0.8214112085,3.4203286252,-1.0094640151,0.3158399863,3.3582804323,-0.7839191148,0.359896096,3.4816231715,-0.8236299274,0.6741578587,3.649369452,-0.8866775807,0.002227846,3.1992475558,-0.8897191988,-0.0068298652,3.2583405941,-0.9437430123,0.0002790104,3.1479675768,1,1,1,-0.7093448633,0.7133397393,3.7511340701,-0.7334233594,0.7024317451,3.8333532407,-0.8287034023,0.6903161383,3.4458967544,-0.6804639859,0.9075762192,3.4507836706,-0.7197990955,0.9191452985,3.3769124804,-0.8410562391,0.854349199,3.4320209641
18,-0.9543057558,0.0187354987,3.6164406198,-0.9796088184,0.085916122,3.1459521088,-1.0114509152,0.1447960926,3.0780678996,-1.1041921549,0.3431303762,3.0107029264,-1.0044130224,0.5083554672,2.9728597262,-0.931044466,0.0460069709,3.2056753255,-0.9405061614,0.1552660294,3.4558971566,-0.9009291145,0.2403473304,3.5015688803,-1.0496040987,0.3446533829,3.316849387,-1.1048308086,0.4005613248,3.2780529309,-0.8299597661,0.4995950481,3.2203431641,-0.8179061651,0.8229210386,3.4183487733,-1.0039355951,0.3177742872,3.3711720283,-0.7788080545,0.3596540127,3.4825354327,-0.824000057,0.6716838335,3.6489994901,-0.8729868679,0.0024364459,3.1959388389,-0.8808800011,-0.0068758276,3.2928281968,-0.9294943164,-0.0003366716,3.1423031179,1,1,1,-0.713303996,0.7116270381,3.7556904557,-0.7424941978,0.7009643416,3.8316368921,-0.8271626097,0.6867187403,3.4361991297,-0.6725041945,0.9049891725,3.446789814,-0.7163413784,0.9228881911,3.3809884228,-0.8369887473,0.8577668539,3.4298540746
19,-0.9269375367,0.0155650994,3.5941689045,-0.9651261478,0.0853984727,3.1494770571,-0.9991721399,0.145661643,3.0753480099,-1.0973863776,0.3406637628,3.0099727183,-0.9910638655,0.5031264981,2.9294027262,-0.9226576597,0.0406019951,3.1933359248,-0.939288801,0.1800483864,3.4356633429,-0.8952750173,0.2648375689,3.4981733391,-1.0456587338,0.340424549,3.3085152822,-1.1043362072,0.3931155053,3.2774983221,-0.834022955,0.4964625921,3.2175489104,-0.8146896594,0.8242931436,3.417984396,-0.9996305202,0.3148635637,3.3622104513,-0.7796703734,0.3592071735,3.4810400099,-0.8256209694,0.6696080103,3.6476488547,-0.8592125294,0.0020483834,3.1908224239,-0.8763197906,-0.0082601465,3.3593326495,-0.9193650532,-0.0007860275,3.1389793736,1,1,1,-0.7164637257,0.7103770224,3.7746849048,-0.7418203787,0.6982724285,3.8374082346,-0.8309008447,0.6840931776,3.4266899218,-0.6699365923,0.9039114791,3.447386906,-0.7154386895,0.919136232,3.379100468,-0.8337499317,0.8599910765,3.4274621054
