,Nosex,Nosey,Neckx,Necky,RSholderx,RSholdery,RElbowx,RElbowy,RWristx,RWristy,LSholderx,LSholdery,LElbowx,LElbowy,LWristx,LWristy,RHipx,RHipy,RKneex,RKneey,RAnklex,RAnkley,LHipx,LHipy,LKneex,LKneey,LAnklex,LAnkley,REyex,REyey,LEyex,LEyey,REarx,REary,LEarx,LEary
0,0.0,0.0,217.202,184.921,251.74,183.782,262.15,233.28400000000002,271.35,269.025,184.90599999999998,187.18599999999998,180.359,234.44799999999998,201.06099999999998,237.945,243.641,263.327,243.641,303.645,241.365,345.16,207.917,266.738,211.43200000000002,316.289,216.00799999999998,365.898,0.0,0.0,0.0,0.0,231.00400000000002,148.02700000000002,202.205,151.46
1,0.0,0.0,217.247,183.74099999999999,250.593,180.363,263.286,226.452,271.312,263.313,188.347,187.17700000000002,180.355,228.715,198.765,242.548,243.71400000000003,262.16,243.62900000000002,307.073,241.403,346.265,207.99099999999999,263.328,214.845,310.535,217.209,357.79,0.0,0.0,0.0,0.0,232.15099999999998,144.576,202.201,149.166
2,0.0,0.0,218.373,180.30200000000002,251.747,179.18599999999998,264.44,225.208,271.408,256.362,188.37099999999998,181.47799999999998,180.324,226.361,198.775,244.80700000000002,243.74200000000002,259.812,243.63299999999998,300.186,242.507,343.976,209.148,260.988,215.99400000000003,300.205,218.324,346.292,0.0,0.0,0.0,0.0,232.171,143.463,203.36599999999999,145.74
3,0.0,0.0,219.49099999999999,178.02,252.882,176.84900000000002,263.345,218.37599999999998,271.362,254.05200000000002,188.41400000000002,179.179,180.321,224.065,203.345,242.51,243.74599999999998,254.09900000000002,243.642,300.134,242.56,343.965,209.136,256.363,216.084,300.168,221.778,341.65,0.0,0.0,0.0,0.0,234.43099999999998,141.124,204.516,143.393
4,0.0,0.0,220.638,174.554,252.88400000000001,172.247,263.29400000000004,218.31799999999998,264.453,251.764,189.52900000000002,176.843,180.34799999999998,220.62599999999998,201.04,241.37400000000002,244.797,252.933,243.65900000000002,299.047,242.513,343.985,211.422,254.051,217.22400000000002,291.002,224.09,332.455,0.0,0.0,0.0,0.0,233.343,138.812,206.748,143.382
5,0.0,0.0,220.655,171.128,252.872,171.082,263.327,216.042,264.49,244.9,189.558,172.25900000000001,182.605,217.21,199.90099999999998,236.824,243.71900000000002,250.59,243.636,299.033,242.49599999999998,345.097,210.297,250.602,217.234,289.8,225.203,326.625,0.0,0.0,0.0,0.0,234.487,138.797,206.80200000000002,142.235
6,0.0,0.0,222.96200000000002,171.08599999999998,252.933,169.982,263.307,215.983,264.464,242.53900000000002,190.69400000000002,172.22,181.438,215.99900000000002,198.76,235.614,244.804,247.15599999999998,243.666,297.86400000000003,241.392,342.80800000000005,211.424,247.16,218.33700000000002,294.401,226.438,326.663,0.0,0.0,0.0,0.0,234.50599999999997,136.533,206.828,142.205
7,0.0,0.0,224.078,171.033,252.898,169.945,263.248,211.417,264.423,236.77599999999998,191.85299999999998,171.115,181.463,213.734,197.56,234.44799999999998,243.72,243.715,243.672,292.086,242.5,338.249,211.445,243.69299999999998,217.217,280.565,225.282,317.438,0.0,0.0,0.0,0.0,234.493,136.519,207.928,139.971
8,0.0,0.0,222.96599999999998,169.91400000000002,251.757,168.761,262.156,206.803,264.45,233.28799999999998,192.98,171.054,181.44,207.972,189.582,227.56,243.72,242.53099999999998,243.71,290.931,242.519,339.38800000000003,212.588,242.517,217.22,275.98400000000004,224.08700000000002,308.272,0.0,0.0,0.0,0.0,234.46400000000003,135.35,207.95,138.821
9,0.0,0.0,224.067,169.865,250.613,167.63099999999997,262.152,205.63400000000001,264.437,232.141,196.423,169.935,181.50099999999998,206.84900000000002,189.533,225.248,243.71099999999998,241.37400000000002,243.653,290.97700000000003,240.24599999999998,340.5,213.701,242.512,217.196,289.795,227.546,323.231,0.0,0.0,0.0,0.0,233.329,136.5,207.97099999999998,138.797
10,0.0,0.0,221.81400000000002,167.645,248.30900000000003,164.17700000000002,263.245,203.355,263.334,226.386,195.287,169.908,180.364,206.774,190.65900000000002,225.21200000000002,243.72,237.94799999999998,243.669,289.77099999999996,241.373,337.10400000000004,214.84099999999998,240.218,218.33700000000002,272.551,225.22299999999998,302.501,0.0,0.0,0.0,0.0,233.326,135.349,207.935,138.797
11,0.0,0.0,219.521,165.327,246.025,163.03,262.075,199.891,263.346,225.275,192.984,167.63299999999998,180.312,205.67700000000002,194.11599999999999,225.208,241.403,236.763,243.66400000000002,285.199,241.37400000000002,335.941,210.299,235.657,217.24,272.518,225.231,308.262,0.0,0.0,0.0,0.0,233.322,134.203,206.771,135.373
12,0.0,0.0,218.373,163.036,244.898,161.91899999999998,260.95,201.072,263.272,225.265,192.987,165.325,180.27900000000002,202.21099999999998,194.14,220.62900000000002,242.52599999999998,234.51,244.86,284.032,241.393,335.902,211.43900000000002,234.49200000000002,218.368,272.526,226.442,308.272,0.0,0.0,0.0,0.0,229.87900000000002,133.086,206.762,135.33
13,0.0,0.0,217.21599999999998,161.892,243.748,161.88,255.22,201.035,264.423,224.114,190.683,162.995,180.31,198.734,194.11700000000002,217.18400000000003,239.10299999999998,233.295,244.915,280.541,242.50099999999998,330.142,210.294,233.322,218.34799999999998,271.366,225.255,302.475,0.0,0.0,0.0,0.0,228.725,132.993,206.757,134.171
