0,NoseX,NoseY,NoseZ,NeckX,NeckY,NeckZ,RSholderX,RSholderY,RSholderZ,RElbowX,RElbowY,RElbowZ,RWristX,RWristY,RWristZ,LSholderX,LSholderY,LSholderZ,LElbowX,LElbowY,LElbowZ,LWristX,LWristY,LWristZ,MidHipX,MidHipY,MidHipZ,RHipX,RHipY,RHipZ,RKneeX,RKneeY,RKneeZ,RAnkleX,RAnkleY,RAnkleZ,LHipX,LHipY,LHipZ,LKneeX,LKneeY,LKneeZ,LAnkleX,LAnkleY,LAnkleZ,REyeX,REyeY,REyeZ,LEyeX,LEyeY,LEyeZ,REarX,REarY,REarZ,LEarX,LEarY,LEarZ,LBigToeX,LBigToeY,LBigToeZ,LSmallToeX,LSmallToeY,LSmallToeZ,LHeelX,LHeelY,LHeelZ,RBigToeX,RBigToeY,RBigToeZ,RSmallToeX,RSmallToeY,RSmallToeZ,RHeelX,RHeelY,RHeelZ
0,0.029903984748268938,0.35296035965203976,0.3158254838000001,0.09257273079768523,0.34829762809900966,0.462266213,-0.022119743391166298,0.21562389487221711,0.3988208280000001,-0.20220456436590079,0.07916237128439083,0.13866374119999988,0.0,0.0,0.0,0.0034648565325435805,0.5510109078521341,0.48113716770000015,-0.08913070440965387,0.6851113166912116,0.2914844786000001,-0.1490310264358765,0.7107694342241189,0.1065531063999999,0.018560773420920662,0.4768511170041298,0.07391555879999989,-0.06392555764229711,0.405435811291374,0.020428557699999964,-0.19759551423837785,0.42892830223047235,-0.39260224700000024,-0.3199850923085797,0.397631037957509,-0.8158719865,-0.014069348385127859,0.5771663668182684,0.06655853379999989,-0.1656776314652444,0.6171952097074626,-0.37893402529999987,-0.11681594201570558,0.5968515874530396,-0.7630754997000001,0.04238776914245525,0.352557792164959,0.3666978049999999,0.10905472292402771,0.36694748615562606,0.3994766698999999,0.030621948659105842,0.26706078950780193,0.42477385859999994,0.23808836286012827,0.4147478593090027,0.47229455279999993,-0.16545018095242336,0.5785936409964433,-0.884402983,-0.04416022385982732,0.6105133349528862,-0.8132701534000003,-0.14373431828705185,0.5743443405655269,-0.7922272553999998,-0.21674117428604836,0.42400080423058994,-0.8362024762999999,-0.36546522190942377,0.37461102883995295,-0.9038471932000001,-0.23131264598472176,0.44067120135253524,-0.7999427179999999
1,0.031825583046421545,0.3523639433326609,0.31613890771534514,0.09289191160620876,0.348626285644586,0.4620197056034308,-0.021529959935682692,0.21566249535802678,0.39913426215679854,-0.19968427103085684,0.07834586275551231,0.13970628987959202,0.0,0.0,0.0,0.004217225488780758,0.5515607166189448,0.4808495020293747,-0.08751975040579214,0.6857807212288553,0.29135368202202266,-0.1482565808411524,0.7108783858691754,0.10687592827852517,0.020426016785614586,0.47706750483399335,0.0752973884749839,-0.058289207160291436,0.4054982148782944,0.02396786140558476,-0.19547325968531237,0.42893828826592767,-0.3912585906982391,-0.31885012899549037,0.39782354674480286,-0.815410226435,-0.012882554900759511,0.5773296232922964,0.06713515214566007,-0.16420073972928517,0.6176337320968505,-0.37829952848829485,-0.11525926557081911,0.5969776002840202,-0.7623687433844387,0.04409710142153346,0.35167352921069744,0.36473687498290497,0.10493307876194041,0.3663693245551333,0.39690091675679634,0.03242282846392218,0.2669115933067257,0.42473052062425043,0.23887922176577653,0.41484603639871054,0.4722166092559117,-0.16287195478158453,0.5785406468654122,-0.8844857954083934,-0.040381584005222924,0.610063773256552,-0.8135452895139139,-0.14261408931037448,0.5745491999956449,-0.7917745254976889,-0.21414512531119673,0.42409690615645407,-0.8357621549278504,-0.36288133489372326,0.3745976661371514,-0.9034889829582172,-0.22983805610862576,0.4405045004980005,-0.7995770375905014
2,0.03275060523272888,0.35189166254786786,0.31623806077232924,0.09286459588038588,0.34879808618952723,0.4616611375514112,-0.02176985076287038,0.21558868534835582,0.3990889511429872,-0.19814511058222306,0.07773728767263838,0.14032733000117018,0.0,0.0,0.0,0.004287903337235969,0.5518788789614216,0.48040534937120716,-0.08717700191020701,0.6862123563678243,0.29065716680864656,-0.14802864640743635,0.7107819381348377,0.10682178261021917,0.021132658197961847,0.4772157797595209,0.07606456136434565,-0.05457988123194186,0.40544960477034514,0.026421856268524727,-0.19434255643030585,0.428918853286469,-0.3903755587168264,-0.3185215828914297,0.39791763292930976,-0.815282994295219,-0.012562471887379365,0.5774252524122215,0.06729966571080329,-0.16371597476786542,0.6178882720348464,-0.3780978173971341,-0.11463556318701586,0.5970334488901997,-0.7620709230947762,0.04475000019457798,0.35092870764596346,0.36315551895580206,0.1018398479734849,0.36586384321240256,0.3950598846458935,0.033161506155541975,0.2666979924917636,0.42446831290914483,0.23901750681920297,0.4149032114889414,0.47203351422691037,-0.16130632663857533,0.5784307553400352,-0.8847376731106767,-0.03816925544218632,0.6097455261503921,-0.813883696858842,-0.14233245572087563,0.5746668485401436,-0.791675778383272,-0.21265551166792437,0.4242587658077122,-0.8356093541069637,-0.36159052238065714,0.3745610325181533,-0.9035021022844363,-0.22947177859959442,0.4402828048213631,-0.7995889718715077
3,0.03282299232687696,0.35153177107729844,0.31615660599169093,0.0925612320358337,0.34883667992725076,0.4612103518264184,-0.022716999689953308,0.2154201494136621,0.3987370707859916,-0.19745981013879849,0.07732042181377166,0.1405816052606158,0.0,0.0,0.0,0.0037790461200449526,0.5519961986452612,0.4798329459654496,-0.08792167577883782,0.6864325585563067,0.28947605857107317,-0.14827026088168663,0.7105152191712699,0.1064477380414476,0.020855139379097665,0.4772991762282572,0.07630347905485052,-0.05254445346242433,0.4052978755515995,0.027937846354326914,-0.19405437034273124,0.4288758148272066,-0.38988205194867037,-0.3188805496047372,0.3979298735658861,-0.815440509450889,-0.012985985664782474,0.5774664354893743,0.06711178173449465,-0.16408105203757103,0.6179830542829455,-0.37826635166813183,-0.11481157394300603,0.5970330647068932,-0.7621238570360731,0.04449887076944252,0.3503092882975289,0.36190770033398867,0.09965575923329656,0.3654254777197621,0.39385909961855076,0.03299186677465607,0.26643269557005694,0.4240201290084011,0.23860550813185583,0.4149255280150692,0.47176605338248,-0.16063068965032634,0.5782799250120743,-0.8851339483725693,-0.03731658099316739,0.6095436231140371,-0.8142772971660056,-0.14276915914334404,0.5747135658347869,-0.7918804043846172,-0.2121233863104928,0.4244787732020164,-0.835705467451929,-0.36142000706459904,0.3745093995697711,-0.90383748775055,-0.23005715946990823,0.44001794764081614,-0.7999178040551909
4,0.03218668534855174,0.35127252270059034,0.3159282063941688,0.0920522684881695,0.3487657170511737,0.4606871914109303,-0.02424899053415541,0.2151745721244038,0.3981307969132371,-0.19750109681938235,0.07707904095691472,0.14052385935381,0.0,0.0,0.0,0.002792809879343447,0.5519434794361583,0.47916052805205395,-0.08957298886762408,0.6864676642424908,0.2878914829205036,-0.14890446201086138,0.710113357128635,0.10581086321857615,0.01976790205015726,0.47732092868774784,0.07610054313326395,-0.05192979745691492,0.40505092180613084,0.02866313572849833,-0.19445966729196174,0.4288149904232505,-0.3897069712866796,-0.31980812474375303,0.3978768457093892,-0.8158329912722435,-0.014029982552763894,0.5774663538350845,0.0666312074557992,-0.16515368699498792,0.6179423036026439,-0.3787425909429024,-0.1156540369174997,0.5969903791694169,-0.7624693634133894,0.04349611845398081,0.3498012319921656,0.36094738253276226,0.09826154121601051,0.3650486636695403,0.39320408772602805,0.03206779536195532,0.2661284110487461,0.42341886247573735,0.23774551581518352,0.4149191294124688,0.47143501239210545,-0.160722436943768,0.5781041144732927,-0.8856499534597906,-0.03761690348061595,0.6094430936271182,-0.8147180121666268,-0.14380394120256848,0.5747056315153386,-0.7923377938295937,-0.21239980219316368,0.42474931835701896,-0.8360118885773344,-0.36219701163992296,0.37445103887881664,-0.9044460759284503,-0.23143754473184763,0.43972176227455234,-0.8005028173537235
5,0.030985625317439265,0.3511021711973814,0.31558652500050155,0.09140815365301029,0.348608847754713,0.4601114992874243,-0.026243407112700626,0.21486963805103884,0.39732230535214935,-0.19814169774277357,0.07699692088007015,0.14020883597663408,0.0,0.0,0.0,0.0014313506572671884,0.5517515250998092,0.4784163318709725,-0.09195015803250527,0.6863440098745653,0.285984565468139,-0.14985428754191882,0.7096114801570977,0.10496822678797055,0.018045387932275864,0.47728427158553777,0.0755421551863513,-0.05248278682058965,0.40471663811801223,0.02874502845654604,-0.19540941314737045,0.42874219760971094,-0.389779217623762,-0.3211854039168168,0.3977751264146757,-0.816410659129515,-0.015571348871118676,0.577438188760683,0.06591765011378205,-0.16679159509670213,0.6177902447554363,-0.3794639948630599,-0.11702969118920693,0.5969193237130861,-0.7630492604317856,0.04189414855604659,0.34939049955664564,0.36022852896742036,0.09753792259626198,0.3647278366540657,0.3930003750195847,0.030543176958130584,0.26579784743497237,0.42269740686487184,0.23653981998063434,0.4148901591165144,0.47106117692527094,-0.1614589616458308,0.5779192823154526,-0.8862610206380598,-0.03886356572698188,0.6094289671692666,-0.8151977635919263,-0.1453165435233375,0.574659325217562,-0.7929973370460699,-0.21333581227019857,0.42506279129037183,-0.8364900110977692,-0.3637487588010025,0.37439422203210204,-0.9052788033900296,-0.23345628039769312,0.4394060820407646,-0.8012832949792769
6,0.02936375325322549,0.3510089703473095,0.31516522483142767,0.09069933594597333,0.34838972223128595,0.4595031184383782,-0.028577833242812902,0.21452303176402532,0.39636377193015354,-0.19925434002777132,0.0770578373612406,0.13969127882496934,0.0,0.0,0.0,-0.00020317550404807863,0.5514511394019096,0.4776285936621569,-0.09487240012942076,0.6860879319007186,0.28383643182518054,-0.15104277522181717,0.7090447164068215,0.10397689739599648,0.015862038746588702,0.47719243936917244,0.07471471680087799,-0.05395029515862453,0.40430291907131705,0.028330828603977055,-0.19675457377833047,0.4286632539216982,-0.3900276918528259,-0.32289348273226837,0.3976412927366022,-0.8171237323929362,-0.017486970939641872,0.5773951215774993,0.0650308169475082,-0.16885249179929945,0.6175511025028183,-0.38036802307021855,-0.11880527583683788,0.5968338297732172,-0.7638053662963222,0.03984536638349357,0.3490630518177407,0.3597051030532606,0.09736563204868627,0.3644574322656662,0.3931534875504806,0.028571896603872705,0.2654537132358762,0.4218886557295224,0.2350907107396567,0.4148447605625802,0.4706653326514612,-0.16271765688344517,0.5777413871303164,-0.8869424821730966,-0.04084991055471499,0.6094862732201132,-0.8157084731731259,-0.14718670773044001,0.5745909265772214,-0.7938084243619143,-0.21478246949585902,0.4254115820197273,-0.8371012286278227,-0.36590247124221104,0.37434722061643955,-0.9062866067071804,-0.23595671247972522,0.43908274025764593,-0.8021985201440234
7,0.02746501017559642,0.35098117393001227,0.3146979689076858,0.08999626378267578,0.3481319906743094,0.4588818918462693,-0.031129852741716164,0.2141524378338212,0.3953073724746751,-0.2007117507931747,0.07724556617842862,0.139025931594697,0.0,0.0,0.0,-0.002008612562466618,0.5510731261081553,0.47682554966555907,-0.09815893201431009,0.6857257667691387,0.28152820760282926,-0.15239296279751455,0.7084481940279702,0.10289394368901966,0.013392296214230996,0.4770486664861966,0.07370462956360943,-0.05607919607619559,0.4038176592501184,0.02756784023629844,-0.19834611505421498,0.42858397689432226,-0.3903812948667796,-0.3248134567984473,0.3974919217300254,-0.8179224304327407,-0.019653735078128533,0.5773503335968643,0.06403041519604272,-0.17119409255936596,0.6172491016062857,-0.38139213520599263,-0.12084752993910264,0.5967478287851251,-0.7646794992120598,0.0375021772441755,0.3488048496022228,0.35933106820558025,0.09762539824791851,0.3642318860966704,0.39356895136997533,0.026307839339872543,0.2651087169585985,0.4210255026234071,0.2335004782036989,0.4147890771860407,0.47026826524016074,-0.16437591578354163,0.5775863875096467,-0.8876696703306206,-0.04336928078626519,0.6096000412592895,-0.8162420626414467,-0.14929417544866452,0.5745167152300802,-0.7947204461049957,-0.21659082682440667,0.4257880805627373,-0.8378069347820831,-0.3684853716579227,0.37431830621864093,-0.907420422451795,-0.23878218699022447,0.4387635702433892,-0.8031877760601345
8,0.02543333710423805,0.35100703572512754,0.3142184202500146,0.08936938557873479,0.3478593032772005,0.4582676624935755,-0.033777049426634356,0.2137755408308845,0.39420528281313955,-0.20238665715778267,0.07754388310963682,0.13826753798169833,0.0,0.0,0.0,-0.00388280447585269,0.5506482889842419,0.4760354361211313,-0.10162897054311268,0.6852838509280146,0.27914101841228645,-0.15382788801596914,0.7078570411707078,0.10177643431340583,0.010810602056337968,0.47685618738415575,0.072598295061311,-0.05861636317847885,0.40326875323848976,0.026603367419017195,-0.20003500284439707,0.4285101840626933,-0.39076892755853126,-0.32682642172369347,0.39734359044980233,-0.8187569726191605,-0.021948527606373724,0.5773170061301077,0.06297615209845073,-0.17367411283348752,0.6169084668273332,-0.38247379091199635,-0.1230231925747113,0.5966752521841263,-0.7656134773840583,0.0350169864459461,0.34860185373686386,0.35906038783967675,0.09819794986859395,0.3640456337394066,0.3941522925293284,0.023904890206820947,0.2647755671102802,0.4201408411002442,0.23187141248420928,0.4147292524222702,0.4698907603608538,-0.1663111314730507,0.5774702420452061,-0.8884179173763505,-0.046215019244082285,0.609755300766426,-0.8167904537281103,-0.1515186883027998,0.5744529708119022,-0.7956827926031826,-0.21861193721010308,0.42618467693705414,-0.8385685231751396,-0.371324682742511,0.37431575042551857,-0.9086311871957661,-0.24177604994147134,0.43846040531618713,-0.8041903459397823
9,0.023412675058836367,0.3510748095122931,0.3137602418791526,0.08888914974976751,0.3475953102333764,0.45768027336277395,-0.03639700711479142,0.2134100253256732,0.39310967877297226,-0.20415178624039446,0.07793656393286783,0.13747084168185456,0.0,0.0,0.0,-0.005723595202070557,0.5502074317958652,0.4752864892688255,-0.10510173257176798,0.6847885208255343,0.27675598986475325,-0.15527058862413917,0.7073063859851979,0.10068143791552067,0.00829139799404484,0.47661823651059493,0.07148211488074811,-0.06130867007065037,0.4026640956205041,0.02558471421764038,-0.20167220301824973,0.4284476929619217,-0.3911194908209892,-0.32881347311634684,0.39721287595078975,-0.8195775783224288,-0.024248234844172493,0.5773083204885601,0.06192773489379724,-0.1761502680782501,0.6165534229274569,-0.3835504498298438,-0.12519900282237398,0.5966300314055362,-0.7665491190173785,0.03254219929665911,0.3484400250484356,0.3588470253708479,0.09896401558534784,0.3638931107862031,0.3948090370797994,0.02151693424540878,0.2644669721980621,0.4192675647137516,0.23030580369263629,0.4146714297066432,0.469553603683025,-0.16840069707890282,0.577408909328757,-0.8891625555760064,-0.049180468750616144,0.6099370812211541,-0.8173455681643383,-0.15373998791763463,0.5744159729584513,-0.7966448541843438,-0.22069685360720986,0.4265937611603299,-0.8393473874215812,-0.37424762719034976,0.37434782482388457,-0.9098698375109854,-0.2447816473457463,0.43818507879423263,-0.805145512995139
