nan,nan,nan,-53.010025,-32.191696,501.584991,-4.987516,-33.803669,505.154999,9.157866,35.173061,523.260010,23.639910,92.996048,561.000000,-98.279312,-29.849722,508.470001,-114.316727,38.639111,552.330017,-81.864326,43.511101,537.794983,-46.106152,85.195038,550.289978,-19.298822,83.515121,559.215027,-21.912479,166.090317,634.950012,-27.581011,259.737762,689.775024,-72.778519,89.515854,558.450012,-75.322884,183.306213,616.844971,-63.866280,254.059555,589.049988,-578.458496,-62.969845,648.974976,0.000000,0.000000,0.000000,-34.851891,-85.611641,517.395020,-76.899216,-82.405167,524.025024,-72.053398,260.960724,590.070007,-80.041473,267.682281,601.544983,-62.253765,266.959656,589.049988,-7.172859,251.688400,726.494995,-7.135094,254.319839,722.669983,-36.515831,269.221893,680.340027,
nan,nan,nan,-52.450748,-35.488476,509.489990,-5.055493,-38.469490,512.039978,9.327456,31.447594,532.950012,22.415653,86.519623,568.905029,-98.539429,-33.190014,517.140015,-115.425056,34.433773,557.684998,-82.990013,44.109409,545.190002,-46.640282,81.610428,556.664978,-19.571627,81.590714,567.119995,-22.035681,165.276230,638.520020,-27.570814,257.754181,689.520020,-73.908409,86.248154,567.119995,-74.821442,177.682419,626.789978,-63.439556,247.396210,600.270020,-552.308228,-66.157021,645.405029,0.000000,0.000000,0.000000,-35.332840,-89.664871,524.534973,-76.529655,-86.477554,531.419983,-67.151192,253.933716,604.094971,-76.915985,260.658203,616.080017,-62.872639,263.408051,610.724976,-7.170341,251.600052,726.239990,-5.164078,254.678802,723.690002,-34.718357,267.860504,681.614990,
nan,nan,nan,-51.848190,-40.288174,517.395020,-5.133542,-41.910072,519.945007,9.488120,26.052996,542.130005,21.269655,80.285568,580.125000,-98.464729,-37.953880,524.280029,-116.744499,30.195084,564.059998,-86.853340,43.812946,560.489990,-45.839779,78.274017,565.590027,-19.756430,77.659714,572.474976,-22.044481,163.593597,638.775024,-27.672777,258.707397,692.070007,-73.266891,81.045914,574.260010,-74.741425,172.887146,640.815002,-62.708458,244.201553,625.770020,-525.993774,-69.250031,641.325012,0.000000,0.000000,0.000000,-34.440739,-94.021233,532.950012,-78.292336,-89.957619,543.659973,-62.325153,247.816559,621.945007,-76.882843,262.651001,659.174988,-64.241669,262.456665,641.070007,-7.218177,251.277237,731.085022,-5.176815,255.306961,725.474976,-34.640427,265.397522,680.085022,
nan,nan,nan,-52.512585,-43.673450,524.025024,-5.196484,-45.305511,526.320007,11.142501,21.936073,550.544983,20.096834,75.493149,592.364990,-98.209358,-41.320694,530.655029,-117.747284,25.782349,568.905029,-90.800438,45.008930,575.789978,-46.335789,74.425850,571.710022,-18.440458,73.965744,580.380005,-22.158884,160.927170,642.090027,-27.601400,256.150482,690.284973,-74.112778,77.211090,580.890015,-74.729836,168.034454,656.114990,-62.760166,238.928711,643.875000,-488.365753,-70.620369,622.455017,0.000000,0.000000,0.000000,-34.918625,-98.284195,540.344971,-77.272392,-93.500809,546.974976,-59.868382,246.827927,650.760010,-72.188248,250.711731,665.804993,-63.456120,252.271057,651.015015,-7.200553,250.663712,729.299988,-5.153160,254.140366,722.159973,-34.952152,265.907349,686.205017,
-1134.838501,-214.412216,1024.589966,-51.724319,-47.131325,530.655029,-5.269496,-48.864140,533.715027,11.287007,16.113956,557.684998,18.769514,68.458504,601.799988,-97.965569,-44.778564,537.284973,-118.697281,19.710640,573.494995,-94.217644,44.298298,587.265015,-46.790466,70.414963,577.320007,-20.170040,71.285820,584.460022,-22.220486,159.611938,643.875000,-27.713562,257.191376,693.090027,-73.254829,73.171967,586.755005,-74.549454,162.577499,670.650024,-63.993095,239.567307,675.494995,-446.160004,-70.843948,595.679993,0.000000,0.000000,0.000000,-33.897083,-101.128716,547.739990,-76.728874,-97.710098,553.859985,-56.483364,250.979584,696.914978,-69.645561,239.929062,676.515015,-63.727364,247.779892,672.690002,-7.195518,250.488419,728.789978,-5.151341,254.050644,721.905029,-34.783298,264.622772,682.890015,
-822.574829,-162.650192,777.239990,-52.594261,-50.878197,539.580017,-6.817354,-52.454250,540.599976,11.483124,11.734411,567.375000,17.441324,63.022335,613.020020,-97.822884,-48.376984,544.679993,-119.805611,15.140916,578.849976,-95.404053,43.228241,594.659973,-47.369148,66.485977,584.460022,-20.363646,67.124146,590.070007,-22.387688,157.261261,648.719971,-27.693171,255.106216,692.580017,-74.496437,69.511803,596.700012,-74.483009,159.011475,686.969971,-63.997234,235.286026,695.640015,-404.950378,-70.615723,567.630005,0.000000,0.000000,0.000000,-34.307384,-105.387955,554.369995,-78.424538,-101.419128,566.099976,-51.954754,236.289993,687.479980,-66.191422,236.321014,698.700012,-65.240585,247.622406,709.155029,-7.215660,251.189590,730.830017,-5.160439,254.499313,723.179993,-34.822266,263.047729,683.655029,
-677.750854,-142.396622,671.669983,-51.914368,-54.671913,547.994995,-6.920259,-56.250458,548.760010,10.050445,7.160731,574.260010,17.825846,57.551250,626.534973,-99.700577,-52.344910,555.135010,-121.230614,10.510694,585.734985,-98.987549,40.778126,606.645020,-47.989159,64.114426,592.109985,-20.583649,64.583832,596.445007,-22.449289,154.132492,650.505005,-27.611597,252.464447,690.539978,-73.641434,65.301735,603.075012,-76.473648,155.537933,705.330017,-65.780273,237.153976,736.950012,-304.218658,-58.058067,447.015015,0.000000,0.000000,0.000000,-34.970177,-108.970871,565.080017,-77.532791,-105.413033,570.945007,-45.398495,222.420013,673.965027,-67.750732,236.989853,736.440002,-66.281021,249.123016,742.559998,-7.230765,251.715454,732.359985,-5.169537,254.948029,724.455017,-34.809277,261.078796,683.400024,
-589.831970,-130.286957,614.549988,-52.566620,-56.877785,554.880005,-8.520323,-59.943264,555.135010,10.175406,4.066622,581.400024,16.340218,51.412838,635.460022,-99.578972,-56.172909,563.039978,-122.497276,7.380131,591.854980,-103.271255,40.136902,622.455017,-48.443836,59.813148,597.719971,-20.865255,60.502121,604.604980,-20.887304,152.164673,657.390015,-27.570814,250.203995,689.520020,-74.264191,62.524235,608.174988,-75.486061,149.685013,714.255005,-66.189842,237.803909,765.000000,-298.288055,-62.334766,460.529999,0.000000,0.000000,0.000000,-35.380478,-111.814453,571.710022,-78.294617,-108.027107,576.554993,-41.471851,211.985214,670.140015,-66.256035,235.945450,765.765015,-65.792702,242.621902,760.409973,-5.240502,250.406219,734.400024,-5.158619,254.409576,722.924988,-34.835251,257.529236,683.909973,
-561.931213,-130.449142,615.315002,-53.363811,-60.824375,563.294983,-8.641649,-62.338150,563.039978,10.318218,-0.718029,589.559998,16.779539,47.436134,652.544983,-99.636101,-60.221653,572.219971,-124.027840,2.551039,599.250000,nan,nan,nan,-49.022518,55.560265,604.859985,-21.032459,55.981888,609.450012,-21.008837,149.429916,661.215027,-27.417870,245.061874,685.695007,-75.322884,58.349762,616.844971,-76.671844,146.078445,725.474976,-65.334854,231.728149,779.789978,-300.876831,-68.914146,489.345001,0.000000,0.000000,0.000000,-37.291576,-114.441483,577.065002,-79.229584,-110.914284,583.440002,-37.774094,204.491501,669.630005,-65.505775,230.194138,781.830017,-66.763489,237.752563,771.630005,-5.245961,248.654541,735.164978,-5.185913,253.766205,726.750000,-34.770313,255.180450,682.635010,
-534.093811,-131.914520,614.294983,-55.726059,-64.863121,571.710022,-10.344376,-66.457794,571.965027,8.809726,-3.993633,596.700012,15.157264,42.537548,659.684998,-101.190147,-62.751816,581.145020,-125.980621,-0.741321,608.684998,-113.103157,34.065136,670.650024,-49.518532,52.777332,610.979980,-22.957270,53.239910,616.335022,-21.276205,145.832336,669.630005,-27.499439,242.025620,687.734985,-76.225891,53.922752,624.239990,-77.318634,141.302567,731.594971,-66.125366,228.050461,789.224976,-301.499847,-75.435974,515.609985,0.000000,0.000000,0.000000,-37.934250,-118.020668,587.010010,-80.406944,-114.183372,592.109985,-36.009430,199.371094,670.905029,-66.424477,226.911774,792.794983,-64.993011,232.639206,775.710022,-5.282353,248.353073,740.265015,-5.200470,252.483475,728.789978,-34.913185,250.599869,685.440002,
